season_end_year,game_id,game_date,matchup,result,team_points,team_plus_minus,team_source_url,franchise
2001,20000255,2000-12-05,CHI @ MIN,L,90,-10,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,MIN
2001,20000229,2000-12-01,CHI vs. NYK,L,86,-5,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,NYK
2001,20000217,2000-11-30,CHI @ ATL,W,91,9,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,ATL
2001,20000203,2000-11-28,CHI vs. MIN,L,76,-20,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,MIN
2001,20000194,2000-11-26,CHI @ TOR,L,89,-12,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,TOR
2001,20000169,2000-11-22,CHI @ SAC,L,71,-29,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,SAC
2001,20000158,2000-11-21,CHI @ GSW,L,77,-12,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,GSW
2001,20000147,2000-11-19,CHI @ LAL,L,96,-8,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,LAL
2001,20000141,2000-11-18,CHI @ UTA,L,64,-45,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,UTA
2001,20000122,2000-11-16,CHI @ DEN,L,85,-4,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,DEN
2001,20000106,2000-11-14,CHI @ HOU,L,83,-27,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,HOU
2001,20000091,2000-11-11,CHI vs. TOR,L,75,-23,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,TOR
2001,20000074,2000-11-09,CHI vs. ORL,W,95,5,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,ORL
2001,20000056,2000-11-07,CHI vs. WAS,L,83,-5,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,WAS
2001,20000039,2000-11-04,CHI @ IND,L,81,-13,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,IND
2001,20000033,2000-11-03,CHI vs. NJN,L,82,-10,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,BKN
2001,20000006,2000-10-31,CHI vs. SAC,L,81,-19,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,SAC
2002,20101177,2002-04-17,CHI @ CHH,L,106,-6,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,CHA
2002,20101162,2002-04-15,CHI @ PHI,W,98,2,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,PHI
2002,20101150,2002-04-13,CHI vs. DET,L,106,-18,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,DET
2002,20101131,2002-04-11,CHI @ NYK,W,104,3,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,NYK
2002,20101127,2002-04-10,CHI @ DET,W,102,1,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,DET
2002,20101108,2002-04-08,CHI vs. BOS,W,105,5,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,BOS
2002,20101096,2002-04-06,CHI @ CLE,L,101,-19,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,CLE
2002,20101089,2002-04-05,CHI vs. TOR,L,96,-2,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,TOR
2002,20101068,2002-04-03,CHI @ TOR,L,104,-13,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,TOR
2002,20101044,2002-03-30,CHI vs. DEN,L,84,-16,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,DEN
2002,20101028,2002-03-28,CHI vs. PHI,L,79,-20,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,PHI
2002,20101010,2002-03-26,CHI @ ORL,L,82,-14,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,ORL
2002,20100987,2002-03-23,CHI @ ATL,L,96,-16,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,ATL
2002,20100984,2002-03-22,CHI vs. POR,L,93,-16,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,POR
2002,20100961,2002-03-19,CHI vs. ATL,L,96,-6,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,ATL
2002,20100939,2002-03-16,CHI @ HOU,W,114,2,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,HOU
2002,20100924,2002-03-14,CHI @ SAS,L,86,-5,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,SAS
2002,20100911,2002-03-12,CHI @ MIL,L,81,-29,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,MIL
2002,20100904,2002-03-11,CHI vs. SAC,L,103,-4,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,SAC
2002,20100888,2002-03-09,CHI vs. SAS,L,73,-27,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,SAS
2002,20100879,2002-03-08,CHI vs. LAC,L,90,-4,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,LAC
2002,20100866,2002-03-06,CHI vs. MIA,L,87,-5,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,MIA
2002,20100852,2002-03-05,CHI @ WAS,L,90,-25,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,WAS
2002,20100839,2002-03-03,CHI @ NJN,L,84,-8,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,BKN
