season,season_type,GAME_ID,PLAYER_ID,PLAYER_NAME,GAME_DATE,MATCHUP,WL,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,MIN,h1_PTS,h1_FGM,h1_FGA,h1_FG3M,h1_FG3A,h1_FTM,h1_FTA,h1_MIN,h1_played,h2_PTS,h2_FGM,h2_FGA,h2_FG3M,h2_FG3A,h2_FTM,h2_FTA,h2_MIN,h2_played,ot_PTS,ot_FGM,ot_FGA,ot_FG3M,ot_FG3A,ot_FTM,ot_FTA,ot_MIN,ot_played,q1_PTS,q1_FGM,q1_FGA,q1_FG3M,q1_FG3A,q1_FTM,q1_FTA,q1_MIN,q1_played,q2_PTS,q2_FGM,q2_FGA,q2_FG3M,q2_FG3A,q2_FTM,q2_FTA,q2_MIN,q2_played,q3_PTS,q3_FGM,q3_FGA,q3_FG3M,q3_FG3A,q3_FTM,q3_FTA,q3_MIN,q3_played,q4_PTS,q4_FGM,q4_FGA,q4_FG3M,q4_FG3A,q4_FTM,q4_FTA,q4_MIN,q4_played
2011-12,Regular Season,0021100897,201149,Joakim Noah,2012-04-15T00:00:00,CHI @ DET,W,20,8,15,0,0,4,4,40.24666666666667,12.0,6.0,9.0,0.0,0.0,0.0,0.0,16.365,True,4.0,0.0,3.0,0.0,0.0,4.0,4.0,18.881666666666668,True,4.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,True,6.0,3.0,4.0,0.0,0.0,0.0,0.0,11.065,True,6.0,3.0,5.0,0.0,0.0,0.0,0.0,5.3,True,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.7,True,4.0,0.0,1.0,0.0,0.0,4.0,4.0,10.181666666666667,True
2011-12,Regular Season,0021100897,2430,Carlos Boozer,2012-04-15T00:00:00,CHI @ DET,W,15,7,13,0,0,1,2,41.92166666666667,6.0,3.0,5.0,0.0,0.0,0.0,0.0,16.365,True,5.0,2.0,4.0,0.0,0.0,1.0,2.0,21.055,True,4.0,2.0,4.0,0.0,0.0,0.0,0.0,4.501666666666667,True,4.0,2.0,3.0,0.0,0.0,0.0,0.0,11.065,True,2.0,1.0,2.0,0.0,0.0,0.0,0.0,5.3,True,1.0,0.0,1.0,0.0,0.0,1.0,2.0,9.583333333333334,True,4.0,2.0,3.0,0.0,0.0,0.0,0.0,11.471666666666666,True
2011-12,Regular Season,0021100897,2736,Luol Deng,2012-04-15T00:00:00,CHI @ DET,W,2,1,8,0,4,0,0,44.68333333333333,2.0,1.0,3.0,0.0,2.0,0.0,0.0,18.866666666666667,True,0.0,0.0,5.0,0.0,2.0,0.0,0.0,20.816666666666666,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,True,2.0,1.0,3.0,0.0,2.0,0.0,0.0,12.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.866666666666666,True,0.0,0.0,3.0,0.0,1.0,0.0,0.0,10.266666666666667,True,0.0,0.0,2.0,0.0,1.0,0.0,0.0,10.55,True
2011-12,Regular Season,0021100897,2594,Kyle Korver,2012-04-15T00:00:00,CHI @ DET,W,13,4,6,2,4,3,3,27.261666666666667,2.0,1.0,1.0,0.0,0.0,0.0,0.0,9.6,True,6.0,2.0,3.0,1.0,2.0,1.0,1.0,12.998333333333333,True,5.0,1.0,2.0,1.0,2.0,2.0,2.0,4.663333333333333,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.0,1.0,1.0,0.0,0.0,0.0,0.0,9.6,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5266666666666666,True,6.0,2.0,3.0,1.0,2.0,1.0,1.0,11.471666666666666,True
2011-12,Regular Season,0021100897,1888,Richard Hamilton,2012-04-15T00:00:00,CHI @ DET,W,13,6,12,1,2,0,0,20.648333333333333,6.0,3.0,5.0,0.0,0.0,0.0,0.0,11.065,True,7.0,3.0,7.0,1.0,2.0,0.0,0.0,9.583333333333334,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,6.0,3.0,5.0,0.0,0.0,0.0,0.0,11.065,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,7.0,3.0,7.0,1.0,2.0,0.0,0.0,9.583333333333334,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2011-12,Regular Season,0021100897,201959,Taj Gibson,2012-04-15T00:00:00,CHI @ DET,W,4,1,4,0,0,2,2,12.016666666666667,4.0,1.0,4.0,0.0,0.0,2.0,2.0,7.635,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.381666666666667,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.935,True,4.0,1.0,4.0,0.0,0.0,2.0,2.0,6.7,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166666666666665,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.965,True
2011-12,Regular Season,0021100897,201228,C.J. Watson,2012-04-15T00:00:00,CHI @ DET,W,4,1,5,1,3,1,2,12.045,3.0,1.0,2.0,1.0,2.0,0.0,0.0,6.7,True,1.0,0.0,3.0,0.0,1.0,1.0,2.0,5.183333333333334,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16166666666666665,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,3.0,1.0,2.0,1.0,2.0,0.0,0.0,6.7,True,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.3,True,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.8833333333333333,True
2011-12,Regular Season,0021100897,201600,Omer Asik,2012-04-15T00:00:00,CHI @ DET,W,2,1,1,0,0,0,0,11.316666666666666,2.0,1.0,1.0,0.0,0.0,0.0,0.0,7.635,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6816666666666666,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.935,True,2.0,1.0,1.0,0.0,0.0,0.0,0.0,6.7,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38166666666666665,True
2011-12,Regular Season,0021100897,200758,Ronnie Brewer,2012-04-15T00:00:00,CHI @ DET,W,3,1,5,0,0,1,2,13.2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.468333333333334,True,2.0,1.0,2.0,0.0,0.0,0.0,0.0,4.395,True,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.33666666666666667,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.935,True,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.533333333333333,True,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.4166666666666665,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9783333333333333,True
2011-12,Regular Season,0021100897,202710,Jimmy Butler III,2012-04-15T00:00:00,CHI @ DET,W,0,0,0,0,0,0,0,0.5433333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20666666666666667,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33666666666666667,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20666666666666667,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
