game_id,game_date,matchup,result,team_points,team_plus_minus,season_end_year,team_source_url,source_opponent,franchise
20000203,2000-11-28,CHI vs. MIN,L,76,-20,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,MIN,MIN
20000194,2000-11-26,CHI @ TOR,L,89,-12,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,TOR,TOR
20000169,2000-11-22,CHI @ SAC,L,71,-29,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,SAC,SAC
20000158,2000-11-21,CHI @ GSW,L,77,-12,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,GSW,GSW
20000147,2000-11-19,CHI @ LAL,L,96,-8,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,LAL,LAL
20000141,2000-11-18,CHI @ UTA,L,64,-45,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,UTA,UTA
20000122,2000-11-16,CHI @ DEN,L,85,-4,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,DEN,DEN
20000106,2000-11-14,CHI @ HOU,L,83,-27,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,HOU,HOU
20000091,2000-11-11,CHI vs. TOR,L,75,-23,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,TOR,TOR
20000074,2000-11-09,CHI vs. ORL,W,95,5,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,ORL,ORL
20000056,2000-11-07,CHI vs. WAS,L,83,-5,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,WAS,WAS
20000039,2000-11-04,CHI @ IND,L,81,-13,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,IND,IND
20000033,2000-11-03,CHI vs. NJN,L,82,-10,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,NJN,BKN
20000006,2000-10-31,CHI vs. SAC,L,81,-19,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,SAC,SAC
20101177,2002-04-17,CHI @ CHH,L,106,-6,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,CHH,CHA
20101162,2002-04-15,CHI @ PHI,W,98,2,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,PHI,PHI
20101150,2002-04-13,CHI vs. DET,L,106,-18,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,DET,DET
20101131,2002-04-11,CHI @ NYK,W,104,3,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,NYK,NYK
20101127,2002-04-10,CHI @ DET,W,102,1,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,DET,DET
20101108,2002-04-08,CHI vs. BOS,W,105,5,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,BOS,BOS
20101096,2002-04-06,CHI @ CLE,L,101,-19,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,CLE,CLE
20101089,2002-04-05,CHI vs. TOR,L,96,-2,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,TOR,TOR
20101068,2002-04-03,CHI @ TOR,L,104,-13,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,TOR,TOR
20101044,2002-03-30,CHI vs. DEN,L,84,-16,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,DEN,DEN
20101028,2002-03-28,CHI vs. PHI,L,79,-20,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,PHI,PHI
20101010,2002-03-26,CHI @ ORL,L,82,-14,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,ORL,ORL
20100987,2002-03-23,CHI @ ATL,L,96,-16,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,ATL,ATL
20100984,2002-03-22,CHI vs. POR,L,93,-16,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,POR,POR
20100961,2002-03-19,CHI vs. ATL,L,96,-6,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,ATL,ATL
20100939,2002-03-16,CHI @ HOU,W,114,2,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,HOU,HOU
20100924,2002-03-14,CHI @ SAS,L,86,-5,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,SAS,SAS
20100911,2002-03-12,CHI @ MIL,L,81,-29,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,MIL,MIL
20100904,2002-03-11,CHI vs. SAC,L,103,-4,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,SAC,SAC
20100888,2002-03-09,CHI vs. SAS,L,73,-27,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,SAS,SAS
20100879,2002-03-08,CHI vs. LAC,L,90,-4,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,LAC,LAC
20100866,2002-03-06,CHI vs. MIA,L,87,-5,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,MIA,MIA
20100852,2002-03-05,CHI @ WAS,L,90,-25,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,WAS,WAS
20100839,2002-03-03,CHI @ NJN,L,84,-8,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,NJN,BKN
20100828,2002-03-01,CHI vs. WAS,W,90,9,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,WAS,WAS
20100814,2002-02-27,CHI @ DET,L,89,-12,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,DET,DET
20100804,2002-02-26,CHI vs. ORL,L,97,-15,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,ORL,ORL
20100786,2002-02-23,CHI vs. GSW,W,105,14,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,GSW,GSW
20100779,2002-02-22,CHI vs. PHX,W,91,8,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,PHX,PHX
20100764,2002-02-20,CHI vs. NYK,W,113,4,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,NYK,NYK
20100749,2002-02-18,CHI @ MIA,L,80,-22,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,MIA,MIA
20100732,2002-02-16,CHI vs. CLE,L,101,-13,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,CLE,CLE
20100726,2002-02-15,CHI vs. NJN,L,81,-25,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,NJN,BKN
20100709,2002-02-13,CHI @ CHH,L,91,-22,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,CHH,CHA
20100703,2002-02-12,CHI vs. MIL,W,96,4,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,MIL,MIL
