season,player_id,player,age,clutch_games,clutch_minutes,clutch_points,clutch_fgm,clutch_fga,clutch_ftm,clutch_fta,wins,losses,source_url,season_end_year,games,clutch_points_per_game,clutch_points_per_minute,clutch_points_per_5_minutes,qualified,selected,league_average_clutch_points,league_qualified_players,league_average_ratio
2015-16,2550,Kirk Hinrich,35,12,29.481666666666666,5,1,2,2,2,8,4,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2015-16&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2016,12,0.4166666666666667,0.16959692464243314,0.8479846232121657,True,False,37.104166666666664,288,0.1347557551937114
2016-17,2548,Dwyane Wade,35,25,96.65166666666669,66,23,60,17,19,13,12,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2016-17&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2017,25,2.64,0.6828645824352053,3.4143229121760266,True,False,37.05281690140845,284,1.7812410909436474
2020-21,202066,Garrett Temple,35,28,91.57,22,8,19,4,5,14,14,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2020-21&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2021,28,0.7857142857142857,0.24025335808670964,1.2012667904335481,True,False,31.9,270,0.6896551724137931
2025-26,202696,Nikola Vučević,35,28,106.58666666666667,60,24,49,5,6,15,13,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2025-26&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2026,28,2.142857142857143,0.5629221916437328,2.814610958218664,True,False,32.15972222222222,288,1.8656877564240986
2003-04,383,Kendall Gill,36,19,64.45666666666666,19,5,19,8,13,7,12,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2004,19,1.0,0.2947716812328696,1.473858406164348,True,False,37.690298507462686,268,0.5041085041085042
2004-05,213,Antonio Davis,36,23,77.95833333333333,23,9,16,5,6,16,7,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2004-05&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2005,23,1.0,0.2950293960448958,1.475146980224479,True,True,38.62671232876713,292,0.5954428584094335
2013-14,1737,Nazr Mohammed,36,1,4.803333333333334,1,0,1,1,2,0,1,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2014,1,1.0,0.2081887578070784,1.040943789035392,False,False,38.21146953405018,279,0.02617015289372479
2006-07,136,P.J. Brown,37,10,34.39,9,3,9,3,4,5,5,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2006-07&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2007,10,0.9,0.2617039837161966,1.3085199185809828,True,True,40.31818181818182,286,0.22322435174746336
2022-23,201609,Goran Dragic,37,7,15.205,2,1,2,0,0,0,7,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2022-23&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2023,7,0.2857142857142857,0.1315356790529431,0.6576783952647156,False,False,38.29710144927536,276,0.0522232734153264
2001-02,891,Charles Oakley,38,18,59.425,7,2,3,2,4,5,13,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2002,18,0.3888888888888889,0.11779554059739168,0.5889777029869584,True,False,37.43223443223443,273,0.1870045992758587
2003-04,937,Scottie Pippen,38,9,43.65,14,4,10,4,4,2,7,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2004,9,1.5555555555555556,0.3207331042382589,1.6036655211912945,False,False,37.690298507462686,268,0.37144837144837145
2008-09,283,Lindsey Hunter,38,2,0.7333333333333333,0,0,0,0,0,0,2,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2009,2,0.0,0.0,0.0,False,False,40.14855072463768,276,0.0
2010-11,703,Kurt Thomas,38,18,51.495,18,8,8,2,5,13,5,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2011,18,1.0,0.3495484998543548,1.747742499271774,True,True,40.72222222222222,270,0.44201909959072305
2009-10,283,Lindsey Hunter,39,2,4.488333333333333,0,0,1,0,0,1,1,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2009-10&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2010,2,0.0,0.0,0.0,False,False,37.41573033707865,267,0.0
