season,player_id,player,clutch_games,clutch_points
2005-06,101180,Sarunas Jasikevicius,30,18
2005-06,2562,Sasha Pavlovic,10,9
2005-06,2756,Sasha Vujacic,13,10
2005-06,1513,Scot Pollard,8,0
2005-06,1909,Scott Padgett,7,9
2005-06,1752,Sean Marks,2,7
2005-06,101118,Sean May,4,6
2005-06,2742,Sebastian Telfair,17,18
2005-06,2752,Sergei Monia,4,2
2005-06,1000,Shandon Anderson,14,4
2005-06,2203,Shane Battier,41,43
2005-06,406,Shaquille O'Neal,25,46
2005-06,949,Shareef Abdur-Rahim,24,32
2005-06,2733,Shaun Livingston,23,5
2005-06,101183,Shavlik Randolph,2,0
2005-06,1890,Shawn Marion,40,111
2005-06,2470,Smush Parker,38,42
2005-06,2049,Speedy Claxton,37,45
2005-06,278,Stacey Augmon,6,0
2005-06,101211,Stephen Graham,6,2
2005-06,1536,Stephen Jackson,39,67
2005-06,950,Stephon Marbury,27,77
2005-06,2581,Steve Blake,29,48
2005-06,1883,Steve Francis,29,71
2005-06,959,Steve Nash,41,128
2005-06,2212,Steven Hunter,10,8
2005-06,2031,Stromile Swift,23,24
2005-06,2551,T.J. Ford,41,71
2005-06,2419,Tayshaun Prince,37,48
2005-06,2242,Terence Morris,2,0
2005-06,689,Theo Ratliff,24,20
2005-06,1495,Tim Duncan,37,78
2005-06,1501,Tim Thomas,4,0
2005-06,389,Toni Kukoc,17,5
2005-06,2754,Tony Allen,25,8
2005-06,1499,Tony Battie,24,11
2005-06,960,Tony Delk,6,2
2005-06,2225,Tony Parker,38,71
2005-06,1503,Tracy McGrady,19,53
2005-06,101143,Travis Diener,7,0
2005-06,2566,Travis Outlaw,11,4
2005-06,2239,Trenton Hassell,43,42
2005-06,2772,Trevor Ariza,15,4
2005-06,1607,Troy Hudson,18,22
2005-06,2211,Troy Murphy,38,34
2005-06,1731,Tyronn Lue,28,40
2005-06,2199,Tyson Chandler,41,15
2005-06,2617,Udonis Haslem,33,32
2005-06,2751,Viktor Khryapa,19,8
2005-06,1713,Vince Carter,40,122
2005-06,958,Vitaly Potapenko,1,0
2005-06,2209,Vladimir Radmanovic,32,38
2005-06,702,Voshon Lenard,4,0
2005-06,1887,Wally Szczerbiak,47,55
2005-06,962,Walter McCarty,3,0
2005-06,101134,Wayne Simien,5,5
2005-06,101198,Will Bynum,3,4
2005-06,2584,Willie Green,1,0
2005-06,2397,Yao Ming,26,63
2005-06,101117,Yaroslav Korolev,1,0
2005-06,2216,Zach Randolph,34,65
2005-06,2560,Zarko Cabarkapa,5,2
2005-06,2585,Zaza Pachulia,41,36
2005-06,1442,Zeljko Rebraca,3,0
2005-06,2565,Zoran Planinic,3,5
2005-06,980,Zydrunas Ilgauskas,40,56
