season_end_year_prev,season_prev,player_id,player_prev,games_prev,minutes_prev,points_prev,team_games_prev,team_points_prev,player_source_url_prev,team_source_url_prev,minutes_per_game_prev,points_per_game_prev,points_per_36_prev,qualified_prev,join_year,season_end_year_cur,season_cur,player_cur,games_cur,minutes_cur,points_cur,team_games_cur,team_points_cur,player_source_url_cur,team_source_url_cur,minutes_per_game_cur,points_per_game_cur,points_per_36_cur,qualified_cur,gain_per_36,percentage_increase,gain_per_game,gain_minutes_per_game,rank
2009,2008–09,201149,Joakim Noah,80,1938.27,537,82,8378,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&TeamID=1610612741,24.228375,6.7125,9.973842653500286,True,2010,2010,2009–10,Joakim Noah,64,1924.69,687,82,7993,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741,30.07328125,10.734375,12.849861536143482,True,2.876018882643196,28.83561514411767,4.021875,5.844906250000001,20
2017,2016–17,201577,Robin Lopez,81,2270.7566666666667,839,82,8435,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741,28.0340329218107,10.358024691358025,13.301293107877404,True,2018,2018,2017–18,Robin Lopez,64,1689.7766666666666,756,82,8440,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&TeamID=1610612741,26.402760416666666,11.8125,16.10627045388641,True,2.8049773460090055,21.08800492748948,1.4544753086419746,-1.6312725051440324,21
2005,2004–05,2768,Chris Duhon,82,2171.7633333333333,487,82,7745,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,26.48491869918699,5.939024390243903,8.072702826735265,True,2006,2006,2005–06,Chris Duhon,74,2154.4816666666666,647,82,8020,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&TeamID=1610612741,29.114617117117117,8.743243243243244,10.810952982503913,True,2.7382501557686485,33.91986815989413,2.804218852999341,2.6296984179301255,22
2017,2016–17,1627756,Denzel Valentine,57,976.5283333333332,291,82,8435,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741,17.13207602339181,5.105263157894737,10.727799329939225,True,2018,2018,2017–18,Denzel Valentine,77,2095.141666666667,783,82,8440,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&TeamID=1610612741,27.209632034632037,10.168831168831169,13.453982825345937,True,2.726183495406712,25.41232746401639,5.063568010936431,10.077556011240226,23
2006,2005–06,2736,Luol Deng,78,2603.6233333333334,1112,82,8020,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&TeamID=1610612741,33.37978632478632,14.256410256410257,15.375495943473645,True,2007,2007,2006–07,Luol Deng,82,3071.3783333333336,1540,82,8100,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2006-07&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2006-07&SeasonType=Regular%20Season&TeamID=1610612741,37.45583333333334,18.78048780487805,18.050527803206705,True,2.6750318597330605,17.398020002525623,4.524077548467792,4.076047008547015,24
2018,2017–18,1628374,Lauri Markkanen,68,2020.02,1033,82,8440,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&TeamID=1610612741,29.706176470588236,15.191176470588236,18.40971871565628,True,2019,2019,2018–19,Lauri Markkanen,52,1682.128333333333,974,82,8605,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2018-19&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2018-19&SeasonType=Regular%20Season&TeamID=1610612741,32.34862179487179,18.73076923076923,20.84502074257117,True,2.43530202691489,13.228350006476866,3.5395927601809944,2.6424453242835533,25
2024,2023–24,202696,Nikola Vučević,76,2609.5016666666666,1370,82,9206,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&TeamID=1610612741,34.335548245614035,18.026315789473685,18.900160375448444,True,2025,2025,2024–25,Nikola Vučević,73,2278.25,1349,82,9660,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741,31.208904109589042,18.47945205479452,21.316361242181497,True,2.4162008667330532,12.784023091527466,0.4531362653208362,-3.126644136024993,26
2003,2002–03,1944,Eddie Robinson,64,1354.361666666667,364,82,7786,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,21.16190104166667,5.6875,9.675406741429233,True,2004,2004,2003–04,Eddie Robinson,51,1022.5866666666668,343,82,7355,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,20.050718954248367,6.7254901960784315,12.07526012465121,True,2.399853383221977,24.80364337497066,1.0379901960784315,-1.1111820874183032,27
2002,2001–02,2199,Tyson Chandler,71,1392.8166666666666,436,82,7335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,19.617136150234742,6.140845070422535,11.269250559417966,True,2003,2003,2002–03,Tyson Chandler,75,1825.3116666666667,691,82,7786,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,24.33748888888889,9.213333333333333,13.62835753163615,True,2.359106972218184,20.934018280804175,3.072488262910798,4.720352738654146,28
2004,2003–04,2201,Eddy Curry,73,2158.2633333333333,1070,82,7355,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,29.565251141552512,14.657534246575343,17.847683090880167,True,2005,2005,2004–05,Eddy Curry,63,1811.59,1012,82,7745,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,28.755396825396826,16.063492063492063,20.110510656384726,True,2.2628275655045584,12.678550789938786,1.40595781691672,-0.8098543161556861,29
