season_end_year_prev,season_prev,player_id,player_prev,games_prev,minutes_prev,points_prev,team_games_prev,team_points_prev,player_source_url_prev,team_source_url_prev,minutes_per_game_prev,points_per_game_prev,points_per_36_prev,qualified_prev,advanced_player_prev,advanced_games_prev,advanced_minutes_per_game_prev,possessions_prev,pace_prev,_merge_prev,points_per_100_prev,points_per_75_prev,join_year,season_end_year_cur,season_cur,player_cur,games_cur,minutes_cur,points_cur,team_games_cur,team_points_cur,player_source_url_cur,team_source_url_cur,minutes_per_game_cur,points_per_game_cur,points_per_36_cur,qualified_cur,advanced_player_cur,advanced_games_cur,advanced_minutes_per_game_cur,possessions_cur,pace_cur,_merge_cur,points_per_100_cur,points_per_75_cur,gain_points_per_36,gain_points_per_100,gain_points_per_75,gain_points_per_game,gain_minutes_per_game
2021,2020–21,1629632,Coby White,69,2155.82,1041,72,7969,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2020-21&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2020-21&SeasonType=Regular%20Season&TeamID=1610612741,31.243768115942032,15.08695652173913,17.38364056368342,True,Coby White,69,31.2,4572,101.62,both,22.769028871391075,17.076771653543307,2022,2022,2021–22,Coby White,61,1674.9266666666667,772,82,9152,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741,27.457814207650273,12.655737704918034,16.59296526415087,True,Coby White,61,27.5,3476,99.5,both,22.209436133486765,16.657077100115075,-0.7906752995325519,-0.5595927379043104,-0.4196945534282328,-2.4312188168210973,-3.7859539082917593
2012,2011–12,201959,Taj Gibson,63,1284.4566666666667,484,66,6359,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2011-12&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2011-12&SeasonType=Regular%20Season&TeamID=1610612741,20.38820105820106,7.682539682539683,13.56526884259752,True,Taj Gibson,63,20.4,2414,90.79,both,20.049710024855013,15.037282518641259,2013,2013,2012–13,Taj Gibson,65,1459.3766666666668,517,82,7641,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2012-13&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2012-13&SeasonType=Regular%20Season&TeamID=1610612741,22.45194871794872,7.953846153846154,12.753390146021246,True,Taj Gibson,65,22.5,2741,90.7,both,18.861729295877417,14.146296971908063,-0.8118786965762741,-1.187980728977596,-0.8909855467331962,0.27130647130647123,2.063747659747662
2007,2006–07,1112,Ben Wallace,77,2696.6483333333335,494,82,8100,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2006-07&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2006-07&SeasonType=Regular%20Season&TeamID=1610612741,35.02140692640693,6.415584415584416,6.594853240658619,True,Ben Wallace,77,35.0,5298,94.37,both,9.324273310683278,6.9932049830124585,2008,2008,2007–08,Ben Wallace,50,1627.37,255,82,7981,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2007-08&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2007-08&SeasonType=Regular%20Season&TeamID=1610612741,32.547399999999996,5.1,5.641003582467418,True,Ben Wallace,50,32.5,3130,92.22,both,8.146964856230031,6.110223642172524,-0.953849658191201,-1.1773084544532466,-0.882981340839935,-1.315584415584416,-2.474006926406936
2016,2015–16,202703,Nikola Mirotic,66,1646.11,777,82,8335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2015-16&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2015-16&SeasonType=Regular%20Season&TeamID=1610612741,24.941060606060603,11.772727272727272,16.992789060269363,True,Nikola Mirotic,66,24.9,3379,98.27,both,22.994968925717668,17.24622669428825,2017,2017,2016–17,Nikola Mirotic,70,1678.9116666666666,744,82,8435,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741,23.98445238095238,10.628571428571428,15.953191899117186,True,Nikola Mirotic,70,24.0,3428,97.85,both,21.703617269544925,16.277712952158694,-1.0395971611521766,-1.2913516561727434,-0.9685137421295558,-1.1441558441558435,-0.9566082251082229
2020,2019–20,1629632,Coby White,65,1674.0,859,65,6945,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2019-20&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2019-20&SeasonType=Regular%20Season&TeamID=1610612741,25.753846153846155,13.215384615384616,18.473118279569892,True,Coby White,65,25.8,3573,102.51,both,24.041421774419256,18.03106633081444,2021,2021,2020–21,Coby White,69,2155.82,1041,72,7969,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2020-21&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2020-21&SeasonType=Regular%20Season&TeamID=1610612741,31.243768115942032,15.08695652173913,17.38364056368342,True,Coby White,69,31.2,4572,101.62,both,22.769028871391075,17.076771653543307,-1.0894777158864706,-1.2723929030281802,-0.9542946772711325,1.8715719063545144,5.4899219620958775
2000,1999–00,1882,Elton Brand,81,2996.6116666666667,1627,82,6952,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,36.995205761316875,20.08641975308642,19.54607620718289,True,Elton Brand,81,37.0,5702,91.14,both,28.53384777271133,21.400385829533498,2001,2001,2000–01,Elton Brand,74,2909.4883333333332,1490,82,7181,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,39.317409909909905,20.135135135135137,18.436231341936985,True,Elton Brand,74,39.3,5522,91.16,both,26.982977182180367,20.237232886635276,-1.109844865245904,-1.5508705905309625,-1.163152942898222,0.04871538204871584,2.3222041485930305
2015,2014–15,202703,Nikola Mirotic,82,1654.121666666667,833,82,8265,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2014-15&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2014-15&SeasonType=Regular%20Season&TeamID=1610612741,20.17221544715447,10.158536585365852,18.12925893198102,True,Nikola Mirotic,82,20.2,3256,94.41,both,25.58353808353808,19.18765356265356,2016,2016,2015–16,Nikola Mirotic,66,1646.11,777,82,8335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2015-16&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2015-16&SeasonType=Regular%20Season&TeamID=1610612741,24.941060606060603,11.772727272727272,16.992789060269363,True,Nikola Mirotic,66,24.9,3379,98.27,both,22.994968925717668,17.24622669428825,-1.1364698717116575,-2.5885691578204124,-1.9414268683653084,1.61419068736142,4.768845158906132
2007,2006–07,2768,Chris Duhon,78,1905.66,558,82,8100,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2006-07&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2006-07&SeasonType=Regular%20Season&TeamID=1610612741,24.431538461538462,7.153846153846154,10.541229810144516,True,Chris Duhon,78,24.4,3792,95.8,both,14.715189873417723,11.036392405063292,2008,2008,2007–08,Chris Duhon,66,1489.861666666667,385,82,7981,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2007-08&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2007-08&SeasonType=Regular%20Season&TeamID=1610612741,22.573661616161615,5.833333333333333,9.302877112752078,True,Chris Duhon,66,22.6,2965,95.7,both,12.984822934232715,9.738617200674536,-1.238352697392438,-1.7303669391850072,-1.2977752043887563,-1.3205128205128212,-1.8578768453768468
2014,2013–14,2399,Mike Dunleavy,82,2583.715,929,82,7680,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&TeamID=1610612741,31.508719512195125,11.329268292682928,12.944152122041324,True,Mike Dunleavy,82,31.5,4957,91.85,both,18.741174097236232,14.055880572927174,2015,2015,2014–15,Mike Dunleavy,63,1837.7966666666664,595,82,8265,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2014-15&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2014-15&SeasonType=Regular%20Season&TeamID=1610612741,29.17137566137566,9.444444444444445,11.65526110070211,True,Mike Dunleavy,63,29.2,3590,93.56,both,16.573816155988858,12.430362116991644,-1.2888910213392144,-2.1673579412473742,-1.6255184559355307,-1.884823848238483,-2.3373438508194653
2011,2010–11,2430,Carlos Boozer,59,1881.7616666666668,1033,82,8087,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&TeamID=1610612741,31.894265536723164,17.508474576271187,19.76233263688193,True,Carlos Boozer,59,31.9,3597,91.41,both,28.718376424798443,21.538782318598834,2012,2012,2011–12,Carlos Boozer,66,1948.3733333333332,991,66,6359,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2011-12&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2011-12&SeasonType=Regular%20Season&TeamID=1610612741,29.52080808080808,15.015151515151516,18.310659148144097,True,Carlos Boozer,66,29.5,3720,91.13,both,26.63978494623656,19.97983870967742,-1.451673488737832,-2.078591478561883,-1.558943608921414,-2.4933230611196713,-2.3734574559150836
2008,2007–08,201149,Joakim Noah,74,1533.715,488,82,7981,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2007-08&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2007-08&SeasonType=Regular%20Season&TeamID=1610612741,20.725878378378376,6.594594594594595,11.454540119904935,True,Joakim Noah,74,20.7,3029,95.03,both,16.110927698910533,12.0831957741829,2009,2009,2008–09,Joakim Noah,80,1938.27,537,82,8378,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&TeamID=1610612741,24.228375,6.7125,9.973842653500286,True,Joakim Noah,80,24.2,3803,94.33,both,14.120431238495923,10.590323428871942,-1.4806974664046493,-1.9904964604146098,-1.4928723453109587,0.11790540540540562,3.5024966216216242
2023,2022–23,201942,DeMar DeRozan,74,2681.61,1816,82,9276,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2022-23&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2022-23&SeasonType=Regular%20Season&TeamID=1610612741,36.237972972972976,24.54054054054054,24.379384026760043,True,DeMar DeRozan,74,36.2,5569,99.82,both,32.60908601185132,24.45681450888849,2024,2024,2023–24,DeMar DeRozan,79,2988.568333333333,1897,82,9206,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&TeamID=1610612741,37.829978902953584,24.0126582278481,22.851075291903985,True,DeMar DeRozan,79,37.8,6098,97.94,both,31.10856018366678,23.331420137750083,-1.5283087348560578,-1.5005258281845393,-1.1253943711384053,-0.5278823126924408,1.5920059299806084
2022,2021–22,1629632,Coby White,61,1674.9266666666667,772,82,9152,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741,27.457814207650273,12.655737704918034,16.59296526415087,True,Coby White,61,27.5,3476,99.5,both,22.209436133486765,16.657077100115075,2023,2023,2022–23,Coby White,74,1730.2283333333332,715,82,9276,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2022-23&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2022-23&SeasonType=Regular%20Season&TeamID=1610612741,23.381463963963963,9.66216216216216,14.876649228377373,True,Coby White,74,23.4,3640,100.99,both,19.642857142857142,14.732142857142858,-1.716316035773497,-2.5665789906296226,-1.924934242972217,-2.993575542755874,-4.07635024368631
2009,2008–09,2550,Kirk Hinrich,51,1338.54,503,82,8378,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&TeamID=1610612741,26.245882352941177,9.862745098039216,13.52817248644045,True,Kirk Hinrich,51,26.2,2686,96.3,both,18.72673119880864,14.04504839910648,2010,2010,2009–10,Kirk Hinrich,74,2481.4816666666666,805,82,7993,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741,33.53353603603603,10.87837837837838,11.678506591156223,True,Kirk Hinrich,74,33.5,4935,95.5,both,16.312056737588655,12.234042553191491,-1.849665895284227,-2.4146744612199846,-1.8110058459149894,1.0156332803391646,7.287653683094856
2011,2010–11,2594,Kyle Korver,82,1649.1233333333332,681,82,8087,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&TeamID=1610612741,20.111260162601624,8.304878048780488,14.866080361889248,True,Kyle Korver,82,20.1,3184,91.93,both,21.38819095477387,16.0411432160804,2012,2012,2011–12,Kyle Korver,65,1469.4733333333334,529,66,6359,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2011-12&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2011-12&SeasonType=Regular%20Season&TeamID=1610612741,22.607282051282052,8.138461538461538,12.959745214838875,True,Kyle Korver,65,22.6,2784,90.15,both,19.001436781609197,14.251077586206897,-1.9063351470503722,-2.3867541731646718,-1.790065629873503,-0.16641651031894966,2.4960218886804277
2015,2014–15,201959,Taj Gibson,62,1691.9033333333334,640,82,8265,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2014-15&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2014-15&SeasonType=Regular%20Season&TeamID=1610612741,27.288763440860215,10.32258064516129,13.617799283252982,True,Taj Gibson,62,27.3,3279,93.25,both,19.518145776151265,14.638609332113449,2016,2016,2015–16,Taj Gibson,73,1935.5583333333336,627,82,8335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2015-16&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2015-16&SeasonType=Regular%20Season&TeamID=1610612741,26.51449771689498,8.58904109589041,11.661751346510696,True,Taj Gibson,73,26.5,3870,96.36,both,16.2015503875969,12.151162790697676,-1.9560479367422854,-3.316595388554365,-2.487446541415773,-1.7335395492708798,-0.774265723965236
