season_end_year,season,player_id,player,games,minutes,points,team_games,team_points,player_source_url,team_source_url,minutes_per_game,points_per_game,points_per_36,qualified
2001,2000–01,1897,Metta World Peace,76,2363.1466666666665,907,82,7181,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,31.094035087719295,11.93421052631579,13.817170326570224,True
2001,2000–01,1913,Michael Ruffin,45,879.1533333333333,119,82,7181,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,19.53674074074074,2.6444444444444444,4.872870109878444,False
2001,2000–01,2033,Marcus Fizer,72,1581.3533333333332,683,82,7181,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,21.96324074074074,9.48611111111111,15.548707225456678,True
2001,2000–01,2037,Jamal Crawford,61,1046.621666666667,282,82,7181,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,17.157732240437163,4.622950819672131,9.699780086086502,False
2001,2000–01,2053,Dalibor Bagaric,35,259.945,47,82,7181,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,7.427,1.3428571428571427,6.509069226182462,False
2001,2000–01,2062,A.J. Guyton,33,628.5383333333333,198,82,7181,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,19.04661616161616,6.0,11.340597099620018,False
2001,2000–01,2063,Jake Voskuhl,16,143.96166666666667,30,82,7181,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,8.997604166666667,1.875,7.501997059402387,False
2001,2000–01,2064,Khalid El-Amin,50,935.335,314,82,7181,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,18.7067,6.28,12.085509469869084,False
2002,2001–02,21,Greg Anthony,36,959.8516666666668,302,82,7335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,26.6625462962963,8.38888888888889,11.326750140212635,False
2002,2001–02,147,Jalen Rose,30,1217.6,714,82,7335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,40.586666666666666,23.8,21.110381077529567,False
2002,2001–02,696,Travis Best,30,792.6483333333333,279,82,7335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,26.421611111111112,9.3,12.671445302561665,False
2002,2001–02,697,Fred Hoiberg,79,1406.4083333333333,345,82,7335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,17.80263713080169,4.367088607594937,8.831005694173694,False
2002,2001–02,891,Charles Oakley,57,1384.435,216,82,7335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,24.288333333333334,3.789473684210526,5.616731735328853,True
2002,2001–02,1500,Ron Mercer,40,1503.638333333333,673,82,7335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,37.590958333333326,16.825,16.112917224110852,False
2002,2001–02,1563,Kevin Ollie,52,1146.4116666666666,304,82,7335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,22.046378205128203,5.846153846153846,9.546308990226024,True
2002,2001–02,1802,Brad Miller,48,1391.871666666667,608,82,7335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,28.997326388888894,12.666666666666666,15.725587727795784,False
2002,2001–02,1897,Metta World Peace,27,821.8833333333333,421,82,7335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,30.440123456790122,15.592592592592593,18.440573479609842,False
2002,2001–02,1944,Eddie Robinson,29,652.2233333333334,262,82,7335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,22.490459770114942,9.03448275862069,14.461304154507403,False
2002,2001–02,2033,Marcus Fizer,76,1964.9083333333333,938,82,7335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,25.85405701754386,12.342105263157896,17.185534524511322,True
2002,2001–02,2037,Jamal Crawford,23,481.705,214,82,7335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,20.94369565217391,9.304347826086957,15.993190853323092,False
2002,2001–02,2053,Dalibor Bagaric,50,634.8816666666667,185,82,7335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,12.697633333333334,3.7,10.490143832577726,False
2002,2001–02,2062,A.J. Guyton,45,603.93,244,82,7335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,13.420666666666666,5.4222222222222225,14.544732005364862,False
2002,2001–02,2199,Tyson Chandler,71,1392.8166666666666,436,82,7335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,19.617136150234742,6.140845070422535,11.269250559417966,False
2002,2001–02,2201,Eddy Curry,72,1150.7783333333334,483,82,7335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,15.983032407407409,6.708333333333333,15.109773530089056,False
2002,2001–02,2239,Trenton Hassell,78,2235.5783333333334,681,82,7335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,28.661260683760684,8.73076923076923,10.966289856390627,True
2002,2001–02,2369,Norman Richardson,8,63.43,30,82,7335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,7.92875,3.75,17.02664354406432,False
2003,2002–03,147,Jalen Rose,82,3351.891666666667,1816,82,7786,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,40.87672764227643,22.146341463414632,19.50421030910406,True
2003,2002–03,697,Fred Hoiberg,63,786.4316666666666,144,82,7786,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,12.483042328042327,2.2857142857142856,6.591799668968909,False
2003,2002–03,916,Corie Blount,50,836.065,150,82,7786,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,16.7213,3.0,6.458827961940758,False
