season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url,team_game_date,team_matchup,team_result,team_points,team_plus_minus,decade,pool,context_note,overtime_periods
1984,1983–84,76497,Quintin Dailey,0028300782,1984-03-20,CHI vs. CLE,CLE,W,44.0,36,14,22.0,0.0,0.0,8,9.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,,27.400000000000002,69.33744221879815,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-20,CHI vs. CLE,W,108,,1980s,Regular season,,1
1984,1983–84,77019,Rod Higgins,0028300782,1984-03-20,CHI vs. CLE,CLE,W,15.0,2,1,3.0,0.0,0.0,0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,,1.9,33.33333333333333,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-20,CHI vs. CLE,W,108,,1980s,Regular season,,1
1984,1983–84,76497,Quintin Dailey,0028300778,1984-03-18,CHI @ DEN,DEN,L,39.0,19,7,14.0,0.0,0.0,5,6.0,0.0,3.0,3.0,2.0,1.0,0.0,4.0,3.0,,9.700000000000003,57.09134615384615,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-18,CHI @ DEN,L,104,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300778,1984-03-18,CHI @ DEN,DEN,L,22.0,10,5,8.0,0.0,2.0,0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,,4.8999999999999995,59.241706161137444,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-18,CHI @ DEN,L,104,,1980s,Regular season,,0
1984,1983–84,76497,Quintin Dailey,0028300764,1984-03-16,CHI @ POR,POR,W,45.0,33,15,24.0,0.0,0.0,3,6.0,2.0,4.0,6.0,4.0,1.0,0.0,2.0,6.0,,23.0,61.93693693693694,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-16,CHI @ POR,W,156,,1980s,Regular season,,4
1984,1983–84,77019,Rod Higgins,0028300764,1984-03-16,CHI @ POR,POR,W,33.0,18,7,12.0,0.0,0.0,4,5.0,2.0,3.0,5.0,2.0,0.0,1.0,2.0,3.0,,13.200000000000003,63.38028169014085,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-16,CHI @ POR,W,156,,1980s,Regular season,,4
1984,1983–84,76497,Quintin Dailey,0028300754,1984-03-15,CHI @ SEA,SEA,L,40.0,30,12,25.0,0.0,0.0,6,7.0,0.0,2.0,2.0,4.0,2.0,0.0,2.0,1.0,,19.900000000000002,53.41880341880342,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-15,CHI @ SEA,L,90,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300754,1984-03-15,CHI @ SEA,SEA,L,20.0,5,2,6.0,0.0,1.0,1,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,1.8000000000000012,36.337209302325576,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-15,CHI @ SEA,L,90,,1980s,Regular season,,0
1984,1983–84,76497,Quintin Dailey,0028300747,1984-03-13,CHI @ GOS,GOS,W,43.0,20,10,19.0,0.0,0.0,0,0.0,1.0,2.0,3.0,5.0,4.0,1.0,4.0,5.0,,14.2,52.63157894736842,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-13,CHI @ GOS,W,112,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300747,1984-03-13,CHI @ GOS,GOS,W,23.0,6,2,3.0,0.0,0.0,2,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,,5.699999999999999,77.31958762886599,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-13,CHI @ GOS,W,112,,1980s,Regular season,,0
