PLAYER_ID,PLAYER_NAME,GP,MIN,REB
101181,Jose Calderon,77,1613.6266666666668,134
200767,Josh Boone,61,668.6683333333333,176
2735,Josh Childress,55,2023.915,340
2572,Josh Howard,70,2455.4333333333334,475
2694,Josh Powell,37,353.005,88
2746,Josh Smith,72,2647.1583333333333,621
2413,Juan Dixon,81,1925.9733333333334,158
101125,Julius Hodge,9,64.33,8
1908,Jumaine Jones,18,138.12166666666667,23
2454,Junior Harrington,29,542.955,68
2770,Justin Reed,41,318.12833333333333,46
200818,Justin Williams,26,333.32,115
436,Juwan Howard,80,2122.5333333333333,470
2586,Keith Bogans,59,989.675,93
2693,Keith McLeod,48,717.8866666666667,43
101235,Kelenna Azubuike,41,669.26,94
1509,Kelvin Cato,18,95.415,31
2570,Kendrick Perkins,72,1576.3583333333333,372
1903,Kenny Thomas,62,1411.7233333333334,377
2030,Kenyon Martin,2,62.59166666666667,20
708,Kevin Garnett,76,2995.0783333333334,975
2755,Kevin Martin,80,2818.325,342
1563,Kevin Ollie,53,919.0166666666667,74
788,Kevin Willis,5,42.6,8
200838,Kevinn Pinkney,6,99.96666666666667,15
2039,Keyon Dooling,66,1435.1433333333334,86
2550,Kirk Hinrich,80,2838.9983333333334,274
2745,Kirk Snyder,39,562.5133333333333,83
977,Kobe Bryant,77,3139.675,439
2743,Kris Humphries,60,670.155,187
703,Kurt Thomas,67,1208.42,379
2198,Kwame Brown,41,1131.5366666666666,244
2594,Kyle Korver,74,2288.145,259
200768,Kyle Lowry,10,175.42166666666665,31
200746,LaMarcus Aldridge,63,1391.7566666666667,312
1885,Lamar Odom,56,2202.1766666666667,547
1716,Larry Hughes,70,2595.9566666666665,267
101160,Lawrence Roberts,54,968.675,261
2544,LeBron James,78,3190.29,526
2571,Leandro Barbosa,80,2613.423333333333,214
200796,Leon Powe,63,719.8016666666666,215
101132,Linas Kleiza,79,1487.9966666666667,266
283,Lindsey Hunter,52,744.585,47
2669,Linton Johnson,54,720.0216666666666,163
953,Lorenzen Wright,67,1035.4533333333334,216
200811,Lou Amundson,11,88.93833333333333,28
101150,Lou Williams,61,688.4216666666666,70
2739,Luke Jackson,13,137.56833333333333,10
2557,Luke Ridnour,71,2091.076666666667,164
101195,Luke Schenscher,11,118.03,25
2575,Luke Walton,60,1982.01,302
2736,Luol Deng,82,3071.3783333333336,579
101129,Luther Head,80,2210.545,252
2696,Lynn Greer,41,431.775,27
1766,Maceo Baston,47,404.5683333333333,74
2124,Malik Allen,60,638.3333333333334,119
990,Malik Rose,65,809.9233333333333,175
1938,Manu Ginobili,75,2060.4216666666666,327
1531,Marc Jackson,56,1024.6283333333333,192
2556,Marcus Banks,45,502.8,38
948,Marcus Camby,70,2368.835,816
200790,Marcus Vinicius,13,103.35666666666667,11
200766,Marcus Williams,79,1314.5116666666668,163
200776,Mardy Collins,52,777.0866666666667,104
1548,Mark Blount,82,2544.3166666666666,505
2058,Mark Madsen,56,473.315,87
2060,Marko Jaric,70,1554.9433333333334,184
2605,Marquis Daniels,45,800.4166666666666,82
101110,Martell Webster,82,1759.385,240
101107,Marvin Williams,64,2178.81,337
2440,Matt Barnes,76,1812.73,350
2588,Matt Bonner,56,653.4466666666667,156
2679,Matt Carroll,72,1878.245,207
2782,Matt Freije,19,147.06166666666667,24
1723,Matt Harpring,77,1964.6316666666667,353
200772,Maurice Ager,32,214.365,21
2230,Maurice Evans,76,1732.2016666666666,221
1508,Maurice Taylor,12,103.26333333333334,28
2246,Mehmet Okur,80,2664.4466666666667,579
2408,Melvin Ely,30,308.7,53
1897,Metta World Peace,70,2640.9483333333333,454
1720,Michael Doleac,56,698.355,155
714,Michael Finley,82,1823.315,223
1709,Michael Olowokandi,24,233.59166666666667,48
2072,Michael Redd,53,2036.0,196
1913,Michael Ruffin,30,270.49833333333333,62
2552,Michael Sweetney,48,385.27,120
101153,Mickael Gelabale,70,1238.7033333333334,173
2554,Mickael Pietrus,72,1937.2266666666667,327
1710,Mike Bibby,82,2783.866666666667,263
2399,Mike Dunleavy,82,2580.63,431
200837,Mike Hall,2,12.766666666666667,2
2229,Mike James,82,2069.0733333333333,163
2034,Mike Miller,70,2739.515,378
2366,Mike Wilks,47,533.7633333333333,54
1630,Mikki Moore,79,2081.5216666666665,403
101148,Mile Ilic,5,5.87,1
2590,Mo Williams,68,2471.6883333333335,329
101145,Monta Ellis,77,2637.91,243
2050,Morris Peterson,71,1514.9016666666666,237
200754,Mouhamed Sene,28,169.45333333333335,45
101126,Nate Robinson,64,1355.7633333333333,152
1737,Nazr Mohammed,51,773.3783333333333,229
2420,Nenad Krstic,26,848.3916666666667,176
2403,Nene,64,1715.015,449
2555,Nick Collison,82,2378.14,666
101158,Orien Greene,41,253.79,44
970,Othella Harrington,26,220.29333333333332,38
136,P.J. Brown,72,1455.8366666666666,347
200782,P.J. Tucker,17,83.38833333333334,23
2776,Pape Sow,7,34.233333333333334,11
2469,Pat Burke,23,163.85666666666665,47
1727,Pat Garrity,33,277.405,42
200753,Patrick O'Bryant,16,118.75,21
2200,Pau Gasol,59,2132.508333333333,581
200781,Paul Davis,31,179.83166666666668,44
200794,Paul Millsap,82,1472.1466666666668,423
1718,Paul Pierce,47,1739.7433333333333,277
978,Peja Stojakovic,13,425.08166666666665,54
200822,Pops Mensah-Bonsu,12,71.30833333333334,21
2056,Primoz Brezec,58,838.3616666666667,184
2047,Quentin Richardson,49,1620.965,352
200763,Quincy Douby,42,359.13666666666666,37
2624,Quinton Ross,81,1700.4366666666667,190
1711,Raef LaFrentz,27,352.2633333333333,70
2737,Rafael Araujo,28,247.49333333333334,66
1747,Rafer Alston,82,3040.2466666666664,282
1952,Raja Bell,78,2917.3716666666664,251
200765,Rajon Rondo,78,1830.9383333333333,292
201043,Randolph Morris,5,43.65,9
200751,Randy Foye,82,1879.3333333333333,218
988,Randy Livingston,4,25.816666666666666,1
101119,Rashad McCants,37,554.325,47
1740,Rashard Lewis,60,2347.838333333333,396
739,Rasheed Wallace,75,2418.9533333333334,543
1725,Rasho Nesterovic,80,1676.295,360
2446,Rasual Butler,81,2222.858333333333,256
101185,Rawle Marshall,40,361.37333333333333,29
951,Ray Allen,55,2218.9933333333333,247
101109,Raymond Felton,78,2832.2316666666666,267
2501,Reggie Evans,66,1126.9316666666666,460
200764,Renaldo Balkman,68,1064.185,294
200970,Renaldo Major,1,27.395,2
1888,Richard Hamilton,75,2763.405,282
2210,Richard Jefferson,55,1955.975,240
1729,Ricky Davis,81,3021.425,315
200823,Robert Hite,12,135.69,16
109,Robert Horry,68,1124.055,229
200760,Rodney Carney,67,1169.09,128
2427,Roger Mason Jr.,62,492.37833333333333,45
101232,Roger Powell,3,13.3,3
2648,Ronald Dupree,19,94.32333333333334,17
200758,Ronnie Brewer,56,675.1033333333334,75
101179,Ronnie Price,58,562.8033333333333,71
101142,Ronny Turiaf,72,1086.9483333333333,259
2767,Royal Ivey,53,538.5666666666667,51
1739,Ruben Patterson,81,2507.605,440
200752,Rudy Gay,78,2103.31,348
101155,Ryan Gomes,73,2274.515,407
200797,Ryan Hollins,27,185.265,31
101136,Salim Stoudamire,61,1034.05,74
208,Sam Cassell,58,1407.3366666666666,167
2223,Samuel Dalembert,82,2534.6633333333334,733
101180,Sarunas Jasikevicius,63,972.565,69
2562,Sasha Pavlovic,67,1534.3283333333334,158
2756,Sasha Vujacic,73,934.4716666666667,107
1513,Scot Pollard,24,108.76333333333334,31
1909,Scott Padgett,31,230.82166666666666,54
1752,Sean Marks,3,17.2,3
101118,Sean May,35,837.98,233
2742,Sebastian Telfair,78,1577.9033333333334,108
200771,Sergio Rodriguez,67,861.7866666666666,91
1742,Shammond Williams,30,344.97833333333335,40
2203,Shane Battier,82,2988.3116666666665,338
200769,Shannon Brown,23,201.52833333333334,21
406,Shaquille O'Neal,40,1134.5833333333333,297
949,Shareef Abdur-Rahim,80,2014.6666666666667,398
2733,Shaun Livingston,54,1611.4133333333334,184
101183,Shavlik Randolph,13,179.38,54
1890,Shawn Marion,80,3010.3433333333332,785
200761,Shawne Williams,46,556.22,83
200749,Shelden Williams,81,1513.44,435
2098,Slava Medvedenko,14,81.19833333333334,14
2470,Smush Parker,82,2457.39,206
200780,Solomon Jones,58,665.735,136
2049,Speedy Claxton,42,1053.9816666666666,81
101211,Stephen Graham,14,164.715,21
1536,Stephen Jackson,75,2478.5116666666668,222
950,Stephon Marbury,74,2748.035,213
2581,Steve Blake,82,2224.3216666666667,169
1883,Steve Francis,44,1237.1766666666667,157
959,Steve Nash,76,2682.435,269
200779,Steve Novak,35,190.58,26
2212,Steven Hunter,70,1604.6166666666666,335
200848,Steven Smith,8,28.138333333333332,6
2031,Stromile Swift,54,1029.2333333333333,250
2551,T.J. Ford,75,2242.891666666667,236
200814,Tarence Kinsey,48,966.7733333333333,97
2419,Tayshaun Prince,82,3000.78,429
200757,Thabo Sefolosha,71,867.9233333333333,153
689,Theo Ratliff,2,43.68333333333333,7
1495,Tim Duncan,80,2725.9333333333334,846
1501,Tim Thomas,76,2053.81,378
2754,Tony Allen,33,804.595,124
1499,Tony Battie,66,1574.5716666666667,344
2225,Tony Parker,77,2498.9066666666668,250
1503,Tracy McGrady,71,2538.9533333333334,378
101143,Travis Diener,26,288.2583333333333,18
2566,Travis Outlaw,67,1532.2916666666667,217
2239,Trenton Hassell,76,2222.565,243
2772,Trevor Ariza,57,1277.9283333333333,249
1607,Troy Hudson,34,554.13,48
2211,Troy Murphy,68,1851.9216666666666,414
1731,Tyronn Lue,56,1487.855,104
200748,Tyrus Thomas,72,966.235,269
2199,Tyson Chandler,73,2525.1366666666668,904
2617,Udonis Haslem,79,2482.9016666666666,654
101166,Uros Slokar,20,71.99333333333334,14
2779,Vassilis Spanoulis,31,271.9033333333333,22
2751,Viktor Khryapa,33,230.82666666666665,57
1713,Vince Carter,82,3126.0066666666667,492
958,Vitaly Potapenko,3,12.883333333333333,2
2209,Vladimir Radmanovic,55,986.0666666666667,180
101144,Von Wafer,1,0.8983333333333333,0
1887,Wally Szczerbiak,32,899.9366666666666,98
200835,Walter Herrmann,48,935.52,139
101134,Wayne Simien,8,92.78333333333333,11
200807,Will Blalock,14,165.66666666666666,15
101215,Will Conroy,7,51.395,7
2584,Willie Green,74,1842.0983333333334,158
200821,Yakhouba Diawara,64,1176.5983333333334,110
2397,Yao Ming,48,1623.72,452
101117,Yaroslav Korolev,10,40.605,3
2216,Zach Randolph,68,2424.865,688
2585,Zaza Pachulia,72,2025.445,500
980,Zydrunas Ilgauskas,78,2129.7233333333334,599
