season_end_year,season,player_id,player,age,games,offensive_rebounds,defensive_rebounds,rebounds,offensive_rebounds_per_game,defensive_rebounds_per_game,rebounds_per_game,team_games,team_offensive_rebounds,team_defensive_rebounds,team_rebounds,player_source_url,team_source_url,minimum_games,qualified,selected
1978,1977–78,600014,Artis Gilmore,29,82,318,753,1071,3.8780487804878048,9.182926829268293,13.060975609756097,82,1248,2577,3825,https://stats.nba.com/stats/playercareerstats?PlayerID=600014&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
1979,1978–79,600014,Artis Gilmore,30,82,293,750,1043,3.573170731707317,9.146341463414634,12.71951219512195,82,1224,2544,3768,https://stats.nba.com/stats/playercareerstats?PlayerID=600014&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
2022,2021–22,202696,Nikola Vučević,31,73,142,662,804,1.9452054794520548,9.068493150684931,11.013698630136986,82,711,2760,3471,https://stats.nba.com/stats/playercareerstats?PlayerID=202696&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
2023,2022–23,202696,Nikola Vučević,32,82,159,744,903,1.9390243902439024,9.073170731707316,11.012195121951219,82,694,2779,3473,https://stats.nba.com/stats/playercareerstats?PlayerID=202696&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
2024,2023–24,202696,Nikola Vučević,33,76,210,591,801,2.763157894736842,7.776315789473684,10.539473684210526,82,916,2677,3593,https://stats.nba.com/stats/playercareerstats?PlayerID=202696&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
2015,2014–15,2200,Pau Gasol,34,78,220,699,919,2.8205128205128207,8.961538461538462,11.782051282051283,82,959,2792,3751,https://stats.nba.com/stats/playercareerstats?PlayerID=2200&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
1996,1995–96,23,Dennis Rodman,35,64,356,596,952,5.5625,9.3125,14.875,82,1247,2411,3658,https://stats.nba.com/stats/playercareerstats?PlayerID=23&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
1997,1996–97,23,Dennis Rodman,36,55,320,563,883,5.818181818181818,10.236363636363636,16.054545454545455,82,1235,2461,3696,https://stats.nba.com/stats/playercareerstats?PlayerID=23&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
1998,1997–98,23,Dennis Rodman,37,80,421,780,1201,5.2625,9.75,15.0125,82,1243,2438,3681,https://stats.nba.com/stats/playercareerstats?PlayerID=23&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
2002,2001–02,891,Charles Oakley,38,57,72,271,343,1.263157894736842,4.754385964912281,6.017543859649122,82,924,2359,3283,https://stats.nba.com/stats/playercareerstats?PlayerID=891&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
1997,1996–97,305,Robert Parish,43,43,42,47,89,0.9767441860465116,1.0930232558139534,2.0697674418604652,82,1235,2461,3696,https://stats.nba.com/stats/playercareerstats?PlayerID=305&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
