subject,scope,zone,fga,fgm,fg,lg_fg,fg_rel,fga_share_pct,lg_fga_share_pct,pps,lg_pps,point_value,rated
Matas Buzelis,"Full season, all teams",Right Mid-Range,1,0,0.0000,0.4184,-41.8377,0.1038,2.3786,0.0000,0.8368,2,False
Matas Buzelis,"Full season, all teams",Right Baseline,6,3,0.5000,0.4276,7.2443,0.6231,1.4140,1.0000,0.8551,2,False
Matas Buzelis,"Full season, all teams",Left Corner 3,80,30,0.3750,0.3866,-1.1578,8.3074,5.6160,1.1250,1.1597,3,True
Matas Buzelis,"Full season, all teams",Left Wing 3,158,59,0.3734,0.3543,1.9164,16.4071,10.9199,1.1203,1.0628,3,True
Matas Buzelis,"Full season, all teams",Top of Key 3,112,39,0.3482,0.3478,0.0390,11.6303,10.2441,1.0446,1.0435,3,True
Matas Buzelis,"Full season, all teams",Right Wing 3,91,26,0.2857,0.3482,-6.2458,9.4496,9.5013,0.8571,1.0445,3,True
Matas Buzelis,"Full season, all teams",Right Corner 3,54,19,0.3519,0.3857,-3.3838,5.6075,5.2291,1.0556,1.1571,3,True
Norman Powell,"Full season, all teams",Restricted Area,229,144,0.6288,0.6709,-4.2106,25.5866,28.4167,1.2576,1.3419,2,True
Norman Powell,"Full season, all teams",In The Paint (Non-RA),167,86,0.5150,0.4452,6.9811,18.6592,20.2058,1.0299,0.8903,2,True
Norman Powell,"Full season, all teams",Left Baseline,24,10,0.4167,0.4261,-0.9466,2.6816,1.4702,0.8333,0.8523,2,True
Norman Powell,"Full season, all teams",Left Mid-Range,36,15,0.4167,0.3942,2.2485,4.0223,2.3371,0.8333,0.7884,2,True
Norman Powell,"Full season, all teams",Center Mid-Range,11,2,0.1818,0.4260,-24.4223,1.2291,2.2673,0.3636,0.8521,2,False
Norman Powell,"Full season, all teams",Right Mid-Range,10,5,0.5000,0.4184,8.1623,1.1173,2.3786,1.0000,0.8368,2,False
Norman Powell,"Full season, all teams",Right Baseline,8,3,0.3750,0.4276,-5.2557,0.8939,1.4140,0.7500,0.8551,2,False
Norman Powell,"Full season, all teams",Left Corner 3,39,13,0.3333,0.3866,-5.3245,4.3575,5.6160,1.0000,1.1597,3,True
Norman Powell,"Full season, all teams",Left Wing 3,137,56,0.4088,0.3543,5.4505,15.3073,10.9199,1.2263,1.0628,3,True
