loc_x,loc_y,shot_distance,shot_made,shot_type
18,15,2,True,2PT
43,8,4,True,2PT
37,-1,3,True,2PT
61,-1,6,False,2PT
-45,4,4,False,2PT
48,59,7,False,2PT
70,17,7,False,2PT
-227,146,26,False,3PT
-32,20,3,False,2PT
235,51,24,True,3PT
64,252,26,False,3PT
12,4,1,True,2PT
-17,12,2,True,2PT
21,15,2,True,2PT
-154,206,25,False,3PT
0,12,1,True,2PT
-15,10,1,True,2PT
-186,172,25,True,3PT
-229,16,22,True,3PT
-80,242,25,False,3PT
12,112,11,True,2PT
-13,269,26,True,3PT
42,34,5,True,2PT
-18,6,1,True,2PT
-108,227,25,True,3PT
23,4,2,True,2PT
-21,13,2,True,2PT
26,14,2,True,2PT
-142,214,25,True,3PT
-22,16,2,True,2PT
-26,21,3,True,2PT
59,22,6,False,2PT
37,4,3,False,2PT
49,106,11,False,2PT
165,208,26,False,3PT
-26,9,2,True,2PT
37,260,26,False,3PT
-76,106,13,False,2PT
-9,89,8,True,2PT
12,21,2,True,2PT
-18,65,6,False,2PT
12,15,1,False,2PT
71,24,7,True,2PT
-145,206,25,True,3PT
23,1,2,False,2PT
-7,19,2,True,2PT
-27,3,2,True,2PT
12,10,1,True,2PT
19,15,2,True,2PT
138,230,26,False,3PT
-12,-4,1,True,2PT
-6,8,1,True,2PT
-58,-4,5,False,2PT
-218,117,24,True,3PT
0,0,0,True,2PT
37,258,26,False,3PT
-17,82,8,True,2PT
7,0,0,True,2PT
-20,6,2,True,2PT
-16,0,1,True,2PT
-100,227,24,False,3PT
1,14,1,False,2PT
6,20,2,True,2PT
-10,21,2,True,2PT
-152,202,25,True,3PT
18,17,2,True,2PT
2,16,1,True,2PT
-2,2,0,True,2PT
25,75,7,False,2PT
235,1,23,True,3PT
9,8,1,True,2PT
11,11,1,False,2PT
1,9,0,True,2PT
-15,11,1,False,2PT
-15,10,1,True,2PT
7,9,1,False,2PT
110,14,11,False,2PT
