loc_x,loc_y,shot_distance,shot_made,shot_type
-2,25,2,False,2PT
-7,64,6,False,2PT
-6,34,3,True,2PT
224,28,22,True,3PT
-151,216,26,True,3PT
-80,251,26,False,3PT
-77,260,27,True,3PT
-148,201,24,True,3PT
0,0,0,False,2PT
232,3,23,False,3PT
-10,14,1,False,2PT
-12,51,5,True,2PT
186,172,25,True,3PT
-2,4,0,True,2PT
-112,230,25,False,3PT
-2,13,1,False,2PT
-229,34,23,True,3PT
-7,11,1,False,2PT
17,12,2,False,2PT
33,25,4,False,2PT
6,18,1,False,2PT
-25,17,3,False,2PT
1,1,0,True,2PT
-238,21,23,False,3PT
234,21,23,False,3PT
-237,108,26,False,3PT
13,-2,1,True,2PT
-39,6,3,False,2PT
-225,-23,22,False,3PT
18,183,18,True,2PT
5,2,0,True,2PT
18,2,1,False,2PT
-34,258,26,True,3PT
-109,252,27,True,3PT
-36,18,4,False,2PT
-21,31,3,False,2PT
-22,28,3,True,2PT
-225,118,25,True,3PT
-18,29,3,True,2PT
13,42,4,False,2PT
-50,22,5,True,2PT
64,241,24,False,3PT
4,29,2,True,2PT
-9,14,1,False,2PT
143,248,28,False,3PT
-7,30,3,True,2PT
-210,140,25,False,3PT
140,226,26,True,3PT
0,0,0,False,2PT
97,-1,9,True,2PT
-40,59,7,True,2PT
221,17,22,True,3PT
120,225,25,False,3PT
-27,69,7,False,2PT
0,0,0,True,2PT
-235,11,23,False,3PT
-234,70,24,False,3PT
39,25,4,False,2PT
36,26,4,True,2PT
-232,79,24,True,3PT
-18,14,2,True,2PT
-2,37,3,False,2PT
54,69,8,False,2PT
-6,16,1,False,2PT
4,21,2,True,2PT
221,141,26,True,3PT
-159,205,25,True,3PT
0,0,0,True,2PT
33,39,5,False,2PT
0,0,0,False,2PT
-60,65,8,False,2PT
-188,176,25,False,3PT
-5,8,0,True,2PT
131,215,25,False,3PT
45,256,25,False,3PT
-22,99,10,False,2PT
-233,39,23,False,3PT
1,11,1,True,2PT
225,34,22,True,3PT
-9,6,1,True,2PT
-5,9,1,True,2PT
-28,10,2,False,2PT
32,35,4,True,2PT
-38,58,6,True,2PT
9,10,1,False,2PT
15,14,2,False,2PT
2,5,0,True,2PT
53,239,24,False,3PT
229,-6,22,False,3PT
83,250,26,False,3PT
-157,226,27,False,3PT
222,55,22,False,3PT
-232,12,23,True,3PT
18,5,1,True,2PT
1,6,0,True,2PT
-205,163,26,False,3PT
-232,-5,23,True,3PT
175,197,26,False,3PT
-216,134,25,False,3PT
-227,13,22,True,3PT
31,10,3,False,2PT
-9,42,4,True,2PT
-53,264,26,False,3PT
16,20,2,False,2PT
16,263,26,False,3PT
-145,218,26,True,3PT
17,17,2,False,2PT
-195,197,27,False,3PT
-22,9,2,False,2PT
214,120,24,True,3PT
-15,10,1,True,2PT
-163,189,24,True,3PT
-31,9,3,False,2PT
29,37,4,True,2PT
-10,131,13,False,2PT
-21,8,2,True,2PT
170,186,25,False,3PT
15,18,2,True,2PT
-132,206,24,False,3PT
7,23,2,False,2PT
-174,202,26,True,3PT
224,23,22,False,3PT
11,83,8,False,2PT
-157,207,25,False,3PT
-1,270,27,False,3PT
33,17,3,True,2PT
15,9,1,False,2PT
-129,224,25,False,3PT
-4,9,0,True,2PT
-13,17,2,False,2PT
11,67,6,True,2PT
-7,6,0,False,2PT
-4,11,1,True,2PT
234,56,24,False,3PT
141,218,25,True,3PT
9,20,2,True,2PT
152,216,26,False,3PT
237,0,23,False,3PT
-12,23,2,True,2PT
-18,46,4,False,2PT
97,246,26,False,3PT
-1,25,2,True,2PT
-4,16,1,True,2PT
-4,18,1,True,2PT
225,117,25,False,3PT
-114,252,27,False,3PT
-12,0,1,True,2PT
5,5,0,True,2PT
-18,13,2,False,2PT
16,15,2,True,2PT
1,4,0,True,2PT
0,10,1,True,2PT
-11,3,1,True,2PT
61,11,6,False,2PT
243,26,24,False,3PT
-221,8,22,False,3PT
185,178,25,True,3PT
157,218,26,True,3PT
-156,203,25,False,3PT
-16,9,1,True,2PT
17,11,2,True,2PT
0,20,2,False,2PT
235,-9,23,False,3PT
21,13,2,False,2PT
5,3,0,True,2PT
1,6,0,True,2PT
233,11,23,False,3PT
-205,162,26,True,3PT
-17,76,7,True,2PT
5,15,1,True,2PT
168,195,25,False,3PT
13,5,1,True,2PT
113,295,31,False,3PT
120,228,25,True,3PT
192,174,25,False,3PT
234,104,25,False,3PT
-4,11,1,True,2PT
-210,131,24,False,3PT
-9,26,2,True,2PT
1,9,0,True,2PT
158,10,15,True,2PT
10,251,25,False,3PT
-237,23,23,True,3PT
-4,26,2,True,2PT
-174,188,25,True,3PT
-237,13,23,True,3PT
13,260,26,True,3PT
6,-1,0,True,2PT
54,240,24,True,3PT
5,26,2,True,2PT
237,1,23,False,3PT
235,4,23,True,3PT
130,222,25,True,3PT
235,-13,23,True,3PT
-2,12,1,False,2PT
-125,215,24,True,3PT
7,18,1,True,2PT
227,43,23,False,3PT
-13,4,1,True,2PT
-10,-1,1,True,2PT
7,-4,0,True,2PT
-1,5,0,True,2PT
12,11,1,False,2PT
-165,187,24,True,3PT
