hex_center_x,hex_center_y,exact_bulls_fga,displayed,low_volume_gray,nearby_bulls_fga,nearby_bulls_fg_pct,nearby_nba_fga,nearby_nba_fg_pct,bulls_vs_nba_fg_pct_points,color_rated,color_band,size_cap_fga,radius_fraction
-83.3333,-15.0000,1,False,False,53,39.6226,2174,42.1343,-2.5117,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-83.3333,20.0000,8,True,False,153,45.7516,5906,42.1436,3.6081,True,above,127.0250,0.2510
-83.3333,55.0000,3,True,False,132,41.6667,6019,42.0336,-0.3669,True,approximately average,127.0250,0.2500
-83.3333,90.0000,4,True,False,78,41.0256,5207,42.8846,-1.8589,True,approximately average,127.0250,0.2500
-83.3333,125.0000,3,True,False,60,40.0000,4605,43.5179,-3.5179,True,below,127.0250,0.2500
-83.3333,160.0000,4,True,False,37,35.1351,3131,41.9355,-6.8003,True,below,127.0250,0.2500
-83.3333,195.0000,2,False,False,106,38.6792,3418,37.7414,0.9379,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-83.3333,230.0000,25,True,False,364,38.1868,9378,35.5406,2.6462,True,above,127.0250,0.4436
-83.3333,265.0000,19,True,False,328,38.1098,8570,34.8308,3.2790,True,above,127.0250,0.3868
-83.3333,300.0000,2,False,False,56,32.1429,1736,32.4309,-0.2880,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-55.5556,-50.0000,0,False,False,1,100.0000,117,40.1709,59.8291,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-55.5556,-15.0000,0,False,False,266,49.2481,8598,53.2682,-4.0201,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-55.5556,20.0000,38,True,False,644,47.2050,19884,51.1617,-3.9568,True,below,127.0250,0.5469
-55.5556,55.0000,24,True,False,356,40.4494,13218,42.9793,-2.5298,True,below,127.0250,0.4347
-55.5556,90.0000,9,True,False,179,45.2514,8554,44.5055,0.7459,True,approximately average,127.0250,0.2662
-55.5556,125.0000,4,True,False,86,50.0000,6098,45.1132,4.8868,True,above,127.0250,0.2500
-55.5556,160.0000,2,False,False,49,44.8980,3817,43.3063,1.5917,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
