player_id,player_name,season,gp,fgm,fga,fg3m,pts,efg_pct,league_efg_pct,relative_efg_pp,fga_per_game,pts_per_game
1630172,Patrick Williams,2020-21,71,63,148,4.0,130,43.91891891891892,45.71173913914315,-1.792820220224229,2.084507042253521,1.8309859154929577
203897,Zach LaVine,2017-18,24,49,147,27.0,125,42.51700680272109,43.87359587559035,-1.3565890728692551,6.125,5.208333333333333
1627756,Denzel Valentine,2019-20,36,53,120,16.0,122,50.833333333333336,44.60663139185683,6.226701941476506,3.3333333333333335,3.388888888888889
1630245,Ayo Dosunmu,2023-24,76,52,116,16.0,120,51.724137931034484,46.340288329689066,5.383849601345418,1.5263157894736843,1.5789473684210527
1627853,Ryan Arcidiacono,2018-19,81,53,133,13.0,119,44.73684210526316,43.77332130793853,0.9635207973246267,1.6419753086419753,1.4691358024691359
203953,Jabari Parker,2018-19,39,53,138,10.0,116,42.028985507246375,43.77332130793853,-1.7443358006921557,3.5384615384615383,2.9743589743589745
1627756,Denzel Valentine,2020-21,62,50,141,16.0,116,41.13475177304964,45.71173913914315,-4.576987366093505,2.274193548387097,1.8709677419354838
203107,Tomas Satoransky,2019-20,65,53,126,8.0,114,45.23809523809524,44.60663139185683,0.631463846238411,1.9384615384615385,1.7538461538461538
1630581,Josh Giddey,2024-25,70,47,133,19.0,113,42.4812030075188,45.88246943809301,-3.4012664305742106,1.9,1.6142857142857143
202734,E'Twaun Moore,2015-16,59,53,126,6.0,112,44.44444444444444,42.290779302729135,2.153665141715308,2.135593220338983,1.8983050847457628
1629632,Coby White,2022-23,74,48,134,16.0,112,41.791044776119406,46.29966991937375,-4.508625143254342,1.8108108108108107,1.5135135135135136
1630172,Patrick Williams,2024-25,63,45,140,21.0,111,39.642857142857146,45.88246943809301,-6.239612295235865,2.2222222222222223,1.7619047619047619
1628374,Lauri Markkanen,2018-19,52,51,141,7.0,109,38.652482269503544,43.77332130793853,-5.120839038434987,2.7115384615384617,2.0961538461538463
1630245,Ayo Dosunmu,2021-22,77,53,105,2.0,108,51.42857142857143,44.56810631229236,6.860465116279073,1.3636363636363635,1.4025974025974026
1626170,Jerian Grant,2016-17,63,47,120,13.0,107,44.583333333333336,43.65074776441566,0.9325855689176734,1.9047619047619047,1.6984126984126984
1627936,Alex Caruso,2023-24,71,41,86,25.0,107,62.2093023255814,46.340288329689066,15.869013995892331,1.2112676056338028,1.5070422535211268
1641824,Matas Buzelis,2025-26,77,38,124,28.0,104,41.935483870967744,45.86236342111903,-3.926879550151284,1.6103896103896105,1.3506493506493507
203200,Justin Holiday,2018-19,38,41,103,20.0,102,49.51456310679612,43.77332130793853,5.741241798857587,2.710526315789474,2.6842105263157894
1628366,Lonzo Ball,2021-22,35,37,109,26.0,100,45.87155963302752,44.56810631229236,1.3034533207351657,3.1142857142857143,2.857142857142857
