window,zone,fga,fgm,fg,lg_fg,fg_rel,fga_share_pct,lg_fga_share_pct,subject_excluded_fga,league_excluded_fga,subject_source_conflict_fga,league_source_conflict_fga,pps,lg_pps,point_value,rated
2014-15,Left Corner 3,8,4,0.5000,0.3798,12.0152,0.9581,3.5874,6,427,0,10,1.5000,1.1395,3,False
2014-15,Left Wing 3,99,30,0.3030,0.3413,-3.8273,11.8563,6.8363,6,427,0,10,0.9091,1.0239,3,True
2014-15,Top of Key 3,99,21,0.2121,0.3372,-12.5075,11.8563,6.1708,6,427,0,10,0.6364,1.0116,3,True
2014-15,Right Wing 3,55,20,0.3636,0.3435,2.0155,6.5868,6.6159,6,427,0,10,1.0909,1.0304,3,True
2014-15,Right Corner 3,4,0,0.0000,0.3919,-39.1871,0.4790,3.3992,6,427,0,10,0.0000,1.1753,3,False
2015-16,Restricted Area,361,175,0.4848,0.6025,-11.7729,34.4466,32.4412,2,440,0,18,0.9695,1.2050,2,True
2015-16,In The Paint (Non-RA),184,80,0.4348,0.4000,3.4736,17.5573,14.5382,2,440,0,18,0.8696,0.8001,2,True
2015-16,Left Baseline,70,37,0.5286,0.3968,13.1811,6.6794,4.0978,2,440,0,18,1.0571,0.7935,2,True
2015-16,Left Mid-Range,91,45,0.4945,0.3959,9.8622,8.6832,5.5625,2,440,0,18,0.9890,0.7918,2,True
2015-16,Center Mid-Range,61,20,0.3279,0.4047,-7.6786,5.8206,5.3528,2,440,0,18,0.6557,0.8093,2,True
2015-16,Right Mid-Range,72,25,0.3472,0.3966,-4.9411,6.8702,5.6866,2,440,0,18,0.6944,0.7933,2,True
2015-16,Right Baseline,59,21,0.3559,0.3993,-4.3327,5.6298,3.8962,2,440,0,18,0.7119,0.7985,2,True
2015-16,Left Corner 3,14,4,0.2857,0.3737,-8.8014,1.3359,3.7827,2,440,0,18,0.8571,1.1211,3,False
2015-16,Left Wing 3,51,19,0.3725,0.3488,2.3721,4.8664,7.3264,2,440,0,18,1.1176,1.0465,3,True
2015-16,Top of Key 3,44,13,0.2955,0.3433,-4.7845,4.1985,6.7087,2,440,0,18,0.8864,1.0299,3,True
2015-16,Right Wing 3,30,5,0.1667,0.3542,-18.7554,2.8626,6.8550,2,440,0,18,0.5000,1.0627,3,True
2015-16,Right Corner 3,9,3,0.3333,0.3808,-4.7509,0.8588,3.5403,2,440,0,18,1.0000,1.1423,3,False
Bulls tenure,Restricted Area,2371,1309,0.5521,0.6054,-5.3279,34.2630,32.3920,31,3004,0,213,1.1042,1.2107,2,True
Bulls tenure,In The Paint (Non-RA),1009,448,0.4440,0.3986,4.5437,14.5809,14.3311,31,3004,0,213,0.8880,0.7971,2,True
Bulls tenure,Left Baseline,310,126,0.4065,0.3962,1.0269,4.4798,5.0204,31,3004,0,213,0.8129,0.7924,2,True
Bulls tenure,Left Mid-Range,675,297,0.4400,0.3928,4.7156,9.7543,6.6563,31,3004,0,213,0.8800,0.7859,2,True
Bulls tenure,Center Mid-Range,468,195,0.4167,0.4044,1.2276,6.7630,5.6244,31,3004,0,213,0.8333,0.8088,2,True
Bulls tenure,Right Mid-Range,607,242,0.3987,0.3956,0.3049,8.7717,6.9009,31,3004,0,213,0.7974,0.7913,2,True
Bulls tenure,Right Baseline,322,135,0.4193,0.3984,2.0892,4.6532,4.6346,31,3004,0,213,0.8385,0.7968,2,True
Bulls tenure,Left Corner 3,52,20,0.3846,0.3853,-0.0727,0.7514,3.3991,31,3004,0,213,1.1538,1.1560,3,False
Bulls tenure,Left Wing 3,446,151,0.3386,0.3502,-1.1641,6.4451,6.2943,31,3004,0,213,1.0157,1.0506,3,True
Bulls tenure,Top of Key 3,321,84,0.2617,0.3408,-7.9141,4.6387,5.2657,31,3004,0,213,0.7850,1.0225,3,True
Bulls tenure,Right Wing 3,272,87,0.3199,0.3536,-3.3736,3.9306,6.1467,31,3004,0,213,0.9596,1.0607,3,True
Bulls tenure,Right Corner 3,36,7,0.1944,0.3887,-19.4244,0.5202,3.1167,31,3004,0,213,0.5833,1.1657,3,False
