loc_x,loc_y,shot_distance,shot_made,shot_type
241,1,24,False,3PT
72,24,7,True,2PT
-33,20,3,False,2PT
11,43,4,False,2PT
6,20,2,True,2PT
-179,242,30,False,3PT
-181,335,38,False,3PT
-243,99,26,False,3PT
225,-8,22,True,3PT
6,1,0,True,2PT
237,76,24,False,3PT
10,8,1,False,2PT
-1,15,1,True,2PT
-232,59,23,False,3PT
195,174,26,False,3PT
-233,9,23,False,3PT
-10,-1,1,True,2PT
-13,1,1,True,2PT
107,230,25,False,3PT
-4,10,1,True,2PT
-224,-5,22,True,3PT
-228,0,22,False,3PT
-225,-12,22,False,3PT
-228,-13,22,True,3PT
-15,3,1,True,2PT
16,11,1,False,2PT
232,-10,23,False,3PT
1,14,1,False,2PT
-25,54,5,False,2PT
-11,47,4,True,2PT
-170,177,24,False,3PT
-228,-10,22,False,3PT
-13,-10,1,False,2PT
17,-2,1,True,2PT
-40,71,8,True,2PT
238,13,23,True,3PT
-4,17,1,True,2PT
-230,-6,23,False,3PT
-239,-5,23,False,3PT
-225,-6,22,True,3PT
25,-4,2,False,2PT
-239,-17,23,True,3PT
7,16,1,False,2PT
9,15,1,True,2PT
-15,13,1,False,2PT
-11,11,1,False,2PT
4,9,0,True,2PT
-13,17,2,False,2PT
-219,-7,21,True,3PT
-165,194,25,True,3PT
2,26,2,False,2PT
-125,225,25,False,3PT
-5,4,0,True,2PT
230,3,23,False,3PT
-229,33,23,False,3PT
-225,8,22,True,3PT
-4,0,0,False,2PT
10,7,1,False,2PT
-9,4,0,True,2PT
169,197,25,False,3PT
4,15,1,True,2PT
-224,-16,22,False,3PT
-131,209,24,True,3PT
228,71,23,True,3PT
-234,5,23,False,3PT
-235,-1,23,True,3PT
-228,31,23,False,3PT
10,7,1,False,2PT
34,20,3,False,2PT
-103,242,26,True,3PT
-229,-9,22,False,3PT
-10,76,7,False,2PT
-225,1,22,False,3PT
188,176,25,False,3PT
-180,168,24,False,3PT
233,36,23,False,3PT
-13,-2,1,False,2PT
10,29,3,True,2PT
232,8,23,True,3PT
197,162,25,False,3PT
-10,5,1,True,2PT
-225,-22,22,False,3PT
1,2,0,True,2PT
-225,-16,22,False,3PT
-232,-18,23,True,3PT
-154,196,24,False,3PT
234,-5,23,False,3PT
9,17,1,True,2PT
207,163,26,False,3PT
0,4,0,False,2PT
162,222,27,False,3PT
-16,9,1,True,2PT
6,24,2,False,2PT
-228,72,23,False,3PT
233,-5,23,False,3PT
54,47,7,False,2PT
-145,216,26,False,3PT
-18,10,2,False,2PT
11,18,2,True,2PT
-176,223,28,False,3PT
5,50,5,False,2PT
15,4,1,True,2PT
12,10,1,True,2PT
-20,38,4,False,2PT
172,185,25,True,3PT
113,231,25,True,3PT
135,225,26,False,3PT
-127,243,27,False,3PT
189,188,26,False,3PT
218,137,25,False,3PT
-7,46,4,False,2PT
21,10,2,True,2PT
230,53,23,True,3PT
157,221,27,False,3PT
240,14,24,False,3PT
1,8,0,False,2PT
0,0,0,True,2PT
-43,277,28,True,3PT
223,2,22,True,3PT
-11,-2,1,True,2PT
-222,-26,22,True,3PT
-228,-20,22,True,3PT
5,3,0,False,2PT
-4,-5,0,True,2PT
16,6,1,True,2PT
-10,-2,1,True,2PT
-13,26,2,False,2PT
-11,17,2,False,2PT
-229,70,23,False,3PT
62,257,26,True,3PT
-12,12,1,False,2PT
233,23,23,False,3PT
233,9,23,False,3PT
26,9,2,True,2PT
232,-4,23,False,3PT
-16,3,1,True,2PT
-130,209,24,False,3PT
-26,20,3,False,2PT
-16,27,3,True,2PT
9,22,2,True,2PT
-213,141,25,True,3PT
27,37,4,False,2PT
184,190,26,False,3PT
230,50,23,False,3PT
23,254,25,True,3PT
15,3,1,True,2PT
134,219,25,True,3PT
-225,-12,22,False,3PT
127,221,25,True,3PT
15,17,2,False,2PT
154,199,25,False,3PT
9,-3,0,True,2PT
225,27,22,False,3PT
-5,31,3,True,2PT
-9,4,0,True,2PT
-162,188,24,False,3PT
0,0,0,True,2PT
5,3,0,True,2PT
39,43,5,True,2PT
225,69,23,False,3PT
-233,11,23,False,3PT
26,60,6,True,2PT
4,11,1,True,2PT
-229,12,22,False,3PT
-179,189,26,False,3PT
54,262,26,False,3PT
-229,133,26,False,3PT
96,235,25,True,3PT
-20,16,2,True,2PT
5,27,2,True,2PT
22,27,3,False,2PT
2,15,1,True,2PT
-22,41,4,True,2PT
6,28,2,False,2PT
11,27,2,True,2PT
228,73,23,False,3PT
15,6,1,True,2PT
0,0,0,True,2PT
2,11,1,True,2PT
16,14,2,True,2PT
230,32,23,False,3PT
-6,22,2,True,2PT
16,19,2,False,2PT
0,0,0,False,2PT
159,200,25,False,3PT
161,204,25,False,3PT
-227,-10,22,False,3PT
-227,-20,22,False,3PT
-152,207,25,True,3PT
-114,238,26,False,3PT
238,93,25,False,3PT
