season,target_id,target_name,target_created,opponent_id,opponent_name,minimum_created,maximum_created,remaining_ast,relation
1996-97,893,Michael Jordan,3222,1122,Dominique Wilkins,1387,1469,99,not_above
1996-97,893,Michael Jordan,3222,931,Don MacLean,479,502,27,not_above
1996-97,893,Michael Jordan,3222,690,Don Reid,162,165,3,not_above
1996-97,893,Michael Jordan,3222,140,Donald Royal,269,288,19,not_above
1996-97,893,Michael Jordan,3222,1126,Donald Whiteside,141,150,9,not_above
1996-97,893,Michael Jordan,3222,671,Donnie Boyce,81,90,9,not_above
1996-97,893,Michael Jordan,3222,681,Donny Marshall,225,235,10,not_above
1996-97,893,Michael Jordan,3222,112,Dontonio Wingfield,307,326,19,not_above
1996-97,893,Michael Jordan,3222,923,Donyell Marshall,552,591,40,not_above
1996-97,893,Michael Jordan,3222,57,Doug Christie,1888,1912,28,not_above
1996-97,893,Michael Jordan,3222,77,Doug Overton,432,484,60,not_above
1996-97,893,Michael Jordan,3222,28,Doug West,760,830,81,not_above
1996-97,893,Michael Jordan,3222,190,Duane Causwell,160,176,16,not_above
1996-97,893,Michael Jordan,3222,273,Duane Ferrell,526,572,47,not_above
1996-97,893,Michael Jordan,3222,368,Dwayne Schintzius,42,46,4,not_above
1996-97,893,Michael Jordan,3222,940,Earl Cureton,18,18,0,not_above
1996-97,893,Michael Jordan,3222,709,Ed O'Bannon,315,346,31,not_above
1996-97,893,Michael Jordan,3222,291,Ed Pinckney,78,79,1,not_above
1996-97,893,Michael Jordan,3222,698,Eddie Johnson,528,573,45,not_above
1996-97,893,Michael Jordan,3222,224,Eddie Jones,1951,1965,14,not_above
1996-97,893,Michael Jordan,3222,922,Elden Campbell,1437,1441,4,not_above
1996-97,893,Michael Jordan,3222,695,Eldridge Recasner,600,666,70,not_above
1996-97,893,Michael Jordan,3222,386,Elliot Perry,1067,1198,186,not_above
1996-97,893,Michael Jordan,3222,1120,Elmer Bennett,44,55,11,not_above
1996-97,893,Michael Jordan,3222,771,Elmore Spencer,0,0,0,not_above
