PLAYER_ID,PLAYER_NAME,PTS,AST,known_ast,known_assist_points,remaining_ast,minimum_created,maximum_created
320,Jamie Watson,78,33,6,14,27,146,168
1114,Jaren Jackson,374,65,22,49,43,509,549
679,Jason Caffey,549,89,89,200,0,749,749
467,Jason Kidd,599,496,100,228,396,1619,1859
987,Jason Sasser,19,2,0,0,2,23,24
420,Jayson Williams,550,51,17,40,34,658,692
81,Jeff Grayer,91,25,4,8,21,141,162
204,Jeff Hornacek,1191,361,124,258,237,1923,2064
976,Jeff McInnis,65,18,7,17,11,104,112
979,Jermaine O'Neal,185,8,4,8,4,201,205
706,Jerome Allen,226,152,24,55,128,537,664
760,Jerome Kersey,476,89,86,195,3,677,680
966,Jerome Williams,49,7,4,9,3,64,67
711,Jerry Stackhouse,1679,253,84,183,169,2200,2319
754,Jim Jackson,1226,316,68,148,248,1870,2050
29,Jim McIlvaine,314,23,11,25,12,363,375
1131,Jimmy Carruth,5,0,0,0,0,5,5
728,Jimmy King,6,2,1,3,1,11,12
1429,Jimmy Oliver,11,1,1,2,0,13,13
1432,Joe Courtney,25,0,0,0,0,25,25
247,Joe Dumars,1159,318,160,352,158,1827,1955
170,Joe Kleine,168,35,8,19,27,241,268
693,Joe Smith,1493,125,20,41,105,1744,1847
1086,Joe Stephens,3,0,0,0,0,3,3
341,Joe Wolf,95,20,7,16,13,137,150
180,John Crotty,232,102,94,224,8,472,480
1381,John Long,129,21,15,31,6,172,178
317,John Starks,1061,217,50,108,167,1503,1623
304,John Stockton,1183,860,373,777,487,2934,3096
961,John Wallace,325,37,4,8,33,399,432
271,Johnny Newman,715,116,34,70,82,949,1018
468,Jon Barry,285,115,29,67,86,524,610
146,Jud Buechler,139,60,60,135,0,274,274
436,Juwan Howard,1570,311,113,240,198,2206,2357
252,Karl Malone,2249,368,158,336,210,3005,3167
173,Keith Askins,384,75,70,156,5,550,554
700,Keith Tower,7,1,0,0,1,9,10
80,Ken Norman,64,12,6,12,6,88,94
383,Kendall Gill,1789,326,74,163,252,2456,2655
72,Kenny Anderson,1436,584,335,747,249,2681,2847
181,Kenny Smith,300,116,26,56,90,536,616
954,Kerry Kittles,1347,249,66,144,183,1857,1996
404,Kevin Duckworth,104,16,4,8,12,136,147
236,Kevin Edwards,190,57,19,40,38,306,344
333,Kevin Gamble,307,77,9,22,68,465,521
708,Kevin Garnett,1309,236,43,96,193,1791,1942
134,Kevin Johnson,1410,653,198,430,455,2750,3001
1089,Kevin Salvadori,37,10,1,2,9,57,66
788,Kevin Willis,842,71,13,34,58,992,1049
234,Khalid Reeves,516,226,43,98,183,980,1114
977,Kobe Bryant,539,91,80,171,11,732,743
703,Kurt Thomas,113,9,8,18,1,133,134
111,LaPhonso Ellis,1203,131,46,106,85,1479,1564
78,LaSalle Thompson,10,2,1,3,1,15,16
441,Lamond Murray,549,57,9,18,48,663,708
913,Larry Johnson,976,174,34,79,140,1335,1469
1474,Larry Krystkowiak,3,3,3,6,0,9,9
1125,Larry Stewart,300,52,25,58,27,412,439
84,Latrell Sprewell,1938,507,126,274,381,2974,3209
734,Lawrence Moten,447,129,23,48,106,707,797
195,Lee Mayberry,410,329,42,97,287,1081,1263
283,Lindsey Hunter,1166,154,77,173,77,1493,1562
1489,Lionel Simmons,139,57,17,39,40,258,292
1036,Litterial Green,90,41,22,50,19,178,197
1380,Lloyd Daniels,98,26,11,24,15,152,167
684,Loren Meyer,266,19,7,16,12,306,318
953,Lorenzen Wright,561,49,6,13,43,660,703
31,Lorenzo Williams,45,4,2,4,2,53,55
691,Lou Roe,40,6,4,9,2,53,55
919,Loy Vaught,1220,110,20,50,90,1450,1539
26,Luc Longley,537,141,141,308,0,845,845
446,Lucious Harris,293,50,13,28,37,395,423
51,Mahmoud Abdul-Rauf,1031,189,33,70,156,1413,1539
990,Malik Rose,160,32,7,17,25,227,252
907,Malik Sealy,1079,165,29,63,136,1414,1547
992,Marcus Brown,82,20,9,19,11,123,134
948,Marcus Camby,935,97,86,192,11,1149,1160
53,Mario Elie,909,310,54,121,256,1542,1761
1361,Mark Bradtke,59,7,1,2,6,73,78
95,Mark Bryant,380,47,16,34,31,476,507
707,Mark Davis,639,135,44,95,91,916,995
971,Mark Hendrickson,85,3,2,4,1,91,92
349,Mark Jackson,812,935,497,1110,438,2798,3006
899,Mark Price,793,342,76,163,266,1488,1676
1110,Mark Strickland,62,1,1,2,0,64,64
770,Mark West,227,19,10,24,9,269,278
729,Martin Lewis,14,4,2,4,2,22,24
982,Martin Muursepp,156,20,4,10,16,198,214
55,Marty Conlon,574,104,42,92,62,790,851
672,Matt Bullard,320,67,11,23,56,455,510
900,Matt Fish,2,0,0,0,0,2,2
761,Matt Geiger,437,38,12,27,26,516,542
1074,Matt Maloney,767,303,44,97,259,1382,1601
1099,Matt Steigenga,3,2,2,4,0,7,7
511,Melvin Booker,122,53,3,7,50,229,270
262,Michael Cage,151,43,12,28,31,241,272
688,Michael Curry,318,43,22,48,21,408,429
714,Michael Finley,1249,224,42,93,182,1706,1836
1138,Michael Hawkins,80,64,12,25,52,209,259
893,Michael Jordan,2431,352,352,791,0,3222,3222
63,Michael Smith,532,191,32,71,159,921,1073
1479,Mike Brown,16,5,2,6,3,28,31
782,Mitch Richmond,2095,338,67,144,271,2781,2917
348,Mitchell Butler,148,30,14,30,16,210,225
42,Monty Williams,588,91,11,23,80,771,843
983,Moochie Norris,12,23,0,0,23,58,70
302,Mookie Blaylock,1354,463,138,313,325,2317,2555
177,Muggsy Bogues,522,469,71,158,398,1476,1747
1041,Nate Driggers,36,6,4,10,2,50,52
203,Nate McMillan,169,140,58,125,82,458,530
98,Nick Anderson,757,182,32,70,150,1127,1264
89,Nick Van Exel,1206,671,670,1469,1,2677,2678
178,Olden Polynice,1025,178,29,66,149,1389,1525
932,Oliver Miller,294,87,41,91,46,477,522
970,Othella Harrington,273,18,7,14,11,309,320
901,Otis Thorpe,1035,133,78,180,55,1325,1377
136,P.J. Brown,761,92,88,211,4,980,984
121,Patrick Ewing,1751,156,23,61,133,2078,2205
442,Pervis Ellison,15,4,1,2,3,23,26
432,Pete Chilcutt,182,47,4,10,43,278,320
71,Pooh Richardson,330,169,29,61,140,671,769
461,Popeye Jones,616,84,71,161,13,803,816
968,Priest Lauderdale,111,12,0,0,12,135,147
912,Rafael Addison,128,34,6,12,28,196,224
719,Randolph Childress,39,17,5,11,12,74,86
753,Randy Brown,341,133,133,299,0,640,640
988,Randy Livingston,251,155,26,55,129,564,691
739,Rasheed Wallace,938,74,28,62,46,1092,1138
951,Ray Allen,1102,210,54,112,156,1526,1623
1077,Ray Owes,177,15,5,12,10,209,219
1002,Reggie Geary,57,36,21,46,15,133,148
674,Reggie Jordan,40,12,4,9,8,65,73
397,Reggie Miller,1751,273,77,164,196,2307,2417
1073,Reggie Slater,203,21,18,40,3,249,252
199,Reggie Williams,76,10,2,4,8,96,102
364,Rex Chapman,898,182,62,134,120,1272,1366
777,Rex Walters,402,113,41,88,72,634,689
316,Richard Manning,75,3,0,0,3,81,84
296,Rick Fox,1174,286,127,269,159,1761,1894
328,Rick Mahorn,56,6,4,9,2,69,71
894,Ricky Pierce,659,80,23,51,57,824,879
22,Rik Smits,887,67,20,48,47,1029,1074
109,Robert Horry,423,110,69,149,41,654,694
123,Robert Pack,771,452,100,220,352,1695,1871
305,Robert Parish,161,22,22,48,0,209,209
438,Robert Werdann,9,0,0,0,0,9,9
393,Rod Strickland,1410,727,300,639,427,2903,3097
915,Rodney Rogers,1072,222,36,82,186,1526,1699
166,Ron Harper,480,191,191,421,0,901,901
938,Rony Seikaly,1277,92,29,70,63,1473,1536
964,Roy Rogers,543,46,9,19,37,636,671
1129,Ruben Nembhard,40,17,11,23,6,75,80
716,Rumeal Robinson,176,73,33,74,40,330,366
208,Sam Cassell,967,305,86,187,219,1592,1743
694,Sam Mack,292,58,12,26,46,410,455
417,Sam Mitchell,766,79,14,29,65,925,987
64,Sam Perkins,889,103,53,125,50,1114,1163
955,Samaki Walker,212,17,1,3,16,247,261
36,Sarunas Marciulionis,116,25,12,32,13,174,187
390,Sasha Danilovic,702,102,78,178,24,928,950
418,Scott Brooks,57,29,6,15,23,118,140
197,Scott Burrell,296,74,21,46,53,448,496
281,Scott Williams,362,41,14,31,27,447,472
937,Scottie Pippen,1656,467,467,1022,0,2678,2678
251,Sean Elliott,582,124,19,46,105,838,910
399,Sean Rooks,265,42,33,80,9,363,372
9,Sedale Threatt,70,40,4,9,36,151,187
1000,Shandon Anderson,386,49,20,41,29,485,514
1049,Shane Heal,75,33,6,15,27,144,168
406,Shaquille O'Neal,1336,159,157,365,2,1705,1707
949,Shareef Abdur-Rahim,1494,175,26,57,149,1849,1986
412,Sharone Wright,390,28,23,60,5,460,465
762,Shawn Bradley,961,52,6,13,46,1066,1111
431,Shawn Kemp,1516,155,67,158,88,1850,1937
704,Shawn Respert,172,40,32,66,8,254,262
1035,Shawnelle Scott,20,0,0,0,0,20,20
428,Sherman Douglas,764,427,101,218,326,1634,1811
278,Stacey Augmon,279,55,20,45,35,394,429
351,Stacey King,24,1,0,0,1,26,27
914,Stanley Roberts,171,9,2,5,7,190,197
1128,Stephen Howard,176,11,1,2,10,198,206
950,Stephon Marbury,1057,522,94,200,428,2113,2276
984,Steve Hamer,76,7,2,4,5,90,95
70,Steve Kerr,662,175,175,385,0,1047,1047
959,Steve Nash,213,138,54,120,84,501,568
88,Steve Scheffler,11,0,0,0,0,11,11
120,Steven Smith,1445,305,77,183,228,2084,2283
1478,Stevin Smith,14,4,0,0,4,22,25
1037,Stojko Vrankovic,181,14,5,11,9,210,219
210,Terrell Brandon,1519,490,360,799,130,2578,2674
187,Terry Cummings,370,39,14,32,25,452,477
143,Terry Dehere,470,158,29,66,129,794,902
371,Terry Mills,857,99,66,150,33,1073,1105
345,Terry Porter,568,295,33,70,262,1162,1309
689,Theo Ratliff,439,13,4,8,9,465,474
896,Tim Hardaway,1644,695,688,1560,7,3218,3221
1118,Tim Kempton,4,2,1,2,1,8,9
100,Tim Legler,44,7,3,7,4,59,63
