SEASON,TEAM_ID,TEAM_NAME,GP,FGA,FGM,shot_fga,shot_fgm,shot_gp,fga_delta,fgm_delta,gp_delta
2012-13,1610612747,Los Angeles Lakers,82,6640,3041,6640,3041,82,0,0,0
2012-13,1610612748,Miami Heat,82,6348,3148,6348,3148,82,0,0,0
2012-13,1610612749,Milwaukee Bucks,82,7197,3128,7197,3128,82,0,0,0
2012-13,1610612750,Minnesota Timberwolves,82,6702,2943,6702,2943,82,0,0,0
2012-13,1610612751,Brooklyn Nets,82,6544,2942,6544,2942,82,0,0,0
2012-13,1610612752,New York Knicks,82,6689,2996,6689,2996,82,0,0,0
2012-13,1610612753,Orlando Magic,82,6904,3093,6904,3093,82,0,0,0
2012-13,1610612754,Indiana Pacers,81,6525,2845,6525,2845,81,0,0,0
2012-13,1610612755,Philadelphia 76ers,82,6895,3059,6895,3059,82,0,0,0
2012-13,1610612756,Phoenix Suns,82,6917,3061,6917,3061,82,0,0,0
2012-13,1610612757,Portland Trail Blazers,82,6715,3009,6715,3009,82,0,0,0
2012-13,1610612758,Sacramento Kings,82,6904,3086,6904,3086,82,0,0,0
2012-13,1610612759,San Antonio Spurs,82,6675,3210,6675,3210,82,0,0,0
2012-13,1610612760,Oklahoma City Thunder,82,6504,3126,6504,3126,82,0,0,0
2012-13,1610612761,Toronto Raptors,82,6685,2979,6685,2979,82,0,0,0
2012-13,1610612762,Utah Jazz,82,6710,3046,6710,3046,82,0,0,0
2012-13,1610612763,Memphis Grizzlies,82,6679,2964,6679,2964,82,0,0,0
2012-13,1610612764,Washington Wizards,82,6693,2910,6693,2910,82,0,0,0
2012-13,1610612765,Detroit Pistons,82,6638,2979,6638,2979,82,0,0,0
2012-13,1610612766,Charlotte Bobcats,82,6649,2823,6649,2823,82,0,0,0
2009-10,1610612737,Atlanta Hawks,82,6801,3181,6801,3181,82,0,0,0
2009-10,1610612738,Boston Celtics,82,6294,3039,6294,3039,82,0,0,0
2009-10,1610612739,Cleveland Cavaliers,82,6391,3101,6391,3101,82,0,0,0
2009-10,1610612740,New Orleans Hornets,82,6842,3178,6842,3178,82,0,0,0
2009-10,1610612741,Chicago Bulls,82,6825,3081,6825,3081,82,0,0,0
2009-10,1610612742,Dallas Mavericks,82,6760,3140,6760,3140,82,0,0,0
2009-10,1610612743,Denver Nuggets,82,6678,3124,6678,3124,82,0,0,0
2009-10,1610612744,Golden State Warriors,82,7094,3329,7094,3329,82,0,0,0
2009-10,1610612745,Houston Rockets,82,6923,3094,6923,3094,82,0,0,0
2009-10,1610612746,Los Angeles Clippers,82,6601,3002,6601,3002,82,0,0,0
2009-10,1610612747,Los Angeles Lakers,82,6875,3144,6875,3144,82,0,0,0
2009-10,1610612748,Miami Heat,82,6518,2984,6518,2984,82,0,0,0
2009-10,1610612749,Milwaukee Bucks,82,6998,3050,6998,3050,82,0,0,0
2009-10,1610612750,Minnesota Timberwolves,82,6923,3106,6923,3106,82,0,0,0
2009-10,1610612751,New Jersey Nets,82,6554,2813,6554,2813,82,0,0,0
2009-10,1610612752,New York Knicks,82,6876,3127,6876,3127,82,0,0,0
2009-10,1610612753,Orlando Magic,82,6394,3005,6394,3005,82,0,0,0
2009-10,1610612754,Indiana Pacers,82,6823,3020,6823,3020,82,0,0,0
2009-10,1610612755,Philadelphia 76ers,82,6706,3087,6706,3087,82,0,0,0
2009-10,1610612756,Phoenix Suns,82,6788,3339,6788,3339,82,0,0,0
2009-10,1610612757,Portland Trail Blazers,82,6453,2974,6453,2974,82,0,0,0
2009-10,1610612758,Sacramento Kings,82,6895,3144,6895,3144,82,0,0,0
2009-10,1610612759,San Antonio Spurs,82,6659,3150,6659,3150,82,0,0,0
2009-10,1610612760,Oklahoma City Thunder,82,6629,3063,6629,3063,82,0,0,0
2009-10,1610612761,Toronto Raptors,82,6631,3199,6631,3199,82,0,0,0
2009-10,1610612762,Utah Jazz,82,6575,3227,6575,3227,82,0,0,0
2009-10,1610612763,Memphis Grizzlies,82,6875,3223,6875,3223,82,0,0,0
2009-10,1610612764,Washington Wizards,82,6700,3008,6700,3008,82,0,0,0
2009-10,1610612765,Detroit Pistons,82,6602,2940,6602,2940,82,0,0,0
2009-10,1610612766,Charlotte Bobcats,82,6306,2858,6306,2858,82,0,0,0
2020-21,1610612737,Atlanta Hawks,72,6281,2937,6281,2937,72,0,0,0
2020-21,1610612738,Boston Celtics,72,6401,2985,6401,2985,72,0,0,0
2020-21,1610612739,Cleveland Cavaliers,72,6175,2778,6175,2778,72,0,0,0
2020-21,1610612740,New Orleans Pelicans,72,6412,3060,6412,3060,72,0,0,0
2020-21,1610612741,Chicago Bulls,72,6380,3035,6380,3035,72,0,0,0
2020-21,1610612742,Dallas Mavericks,72,6287,2958,6287,2958,72,0,0,0
2020-21,1610612743,Denver Nuggets,72,6422,3114,6422,3114,72,0,0,0
2020-21,1610612744,Golden State Warriors,72,6347,2973,6347,2973,72,0,0,0
2020-21,1610612745,Houston Rockets,72,6372,2826,6372,2826,72,0,0,0
2020-21,1610612746,LA Clippers,72,6242,3009,6242,3009,72,0,0,0
2020-21,1610612747,Los Angeles Lakers,72,6197,2925,6197,2925,72,0,0,0
2020-21,1610612748,Miami Heat,72,6029,2824,6029,2824,72,0,0,0
2020-21,1610612749,Milwaukee Bucks,72,6610,3221,6610,3221,72,0,0,0
2020-21,1610612750,Minnesota Timberwolves,72,6546,2932,6546,2932,72,0,0,0
2020-21,1610612751,Brooklyn Nets,72,6289,3106,6289,3106,72,0,0,0
2020-21,1610612752,New York Knicks,72,6225,2839,6225,2839,72,0,0,0
2020-21,1610612753,Orlando Magic,72,6423,2754,6423,2754,72,0,0,0
2020-21,1610612754,Indiana Pacers,72,6567,3115,6567,3115,72,0,0,0
2020-21,1610612755,Philadelphia 76ers,72,6257,2981,6257,2981,72,0,0,0
2020-21,1610612756,Phoenix Suns,72,6357,3118,6357,3118,72,0,0,0
2020-21,1610612757,Portland Trail Blazers,72,6558,2973,6558,2973,72,0,0,0
2020-21,1610612758,Sacramento Kings,72,6382,3067,6382,3067,72,0,0,0
2020-21,1610612759,San Antonio Spurs,72,6518,3014,6518,3014,72,0,0,0
2020-21,1610612760,Oklahoma City Thunder,72,6338,2795,6338,2795,72,0,0,0
2020-21,1610612761,Toronto Raptors,72,6383,2859,6383,2859,72,0,0,0
2020-21,1610612762,Utah Jazz,72,6344,2971,6344,2971,72,0,0,0
2020-21,1610612763,Memphis Grizzlies,72,6608,3085,6608,3085,72,0,0,0
2020-21,1610612764,Washington Wizards,72,6547,3108,6547,3108,72,0,0,0
2020-21,1610612765,Detroit Pistons,72,6162,2783,6162,2783,72,0,0,0
2020-21,1610612766,Charlotte Hornets,72,6324,2875,6324,2875,72,0,0,0
2024-25,1610612737,Atlanta Hawks,82,7528,3556,7528,3556,82,0,0,0
2024-25,1610612738,Boston Celtics,82,7382,3413,7382,3413,82,0,0,0
2024-25,1610612739,Cleveland Cavaliers,82,7444,3652,7444,3652,82,0,0,0
2024-25,1610612740,New Orleans Pelicans,82,7368,3332,7368,3332,82,0,0,0
2024-25,1610612741,Chicago Bulls,82,7545,3543,7545,3543,82,0,0,0
2024-25,1610612742,Dallas Mavericks,82,7194,3443,7194,3443,82,0,0,0
2024-25,1610612743,Denver Nuggets,82,7360,3724,7360,3724,82,0,0,0
2024-25,1610612744,Golden State Warriors,82,7412,3342,7412,3342,82,0,0,0
2024-25,1610612745,Houston Rockets,82,7659,3484,7659,3484,82,0,0,0
2024-25,1610612746,LA Clippers,82,7075,3409,7075,3409,82,0,0,0
2024-25,1610612747,Los Angeles Lakers,82,7007,3356,7007,3356,82,0,0,0
2024-25,1610612748,Miami Heat,82,7138,3318,7138,3318,82,0,0,0
2024-25,1610612749,Milwaukee Bucks,82,7082,3445,7082,3445,82,0,0,0
2024-25,1610612750,Minnesota Timberwolves,82,7182,3364,7182,3364,82,0,0,0
2024-25,1610612751,Brooklyn Nets,82,7060,3086,7060,3086,82,0,0,0
2024-25,1610612752,New York Knicks,82,7315,3553,7315,3553,82,0,0,0
2024-25,1610612753,Orlando Magic,82,7034,3130,7034,3130,82,0,0,0
2024-25,1610612754,Indiana Pacers,82,7326,3574,7326,3574,82,0,0,0
2024-25,1610612755,Philadelphia 76ers,82,7168,3254,7168,3254,82,0,0,0
2024-25,1610612756,Phoenix Suns,82,7075,3381,7075,3381,82,0,0,0
2024-25,1610612757,Portland Trail Blazers,82,7396,3325,7396,3325,82,0,0,0
2024-25,1610612758,Sacramento Kings,82,7385,3529,7385,3529,82,0,0,0
2024-25,1610612759,San Antonio Spurs,82,7362,3426,7362,3426,82,0,0,0
2024-25,1610612760,Oklahoma City Thunder,82,7600,3660,7600,3660,82,0,0,0
2024-25,1610612761,Toronto Raptors,82,7462,3414,7462,3414,82,0,0,0
2024-25,1610612762,Utah Jazz,82,7272,3305,7272,3305,82,0,0,0
2024-25,1610612763,Memphis Grizzlies,82,7654,3670,7654,3670,82,0,0,0
2024-25,1610612764,Washington Wizards,82,7371,3233,7371,3233,82,0,0,0
2024-25,1610612765,Detroit Pistons,82,7363,3503,7363,3503,82,0,0,0
2024-25,1610612766,Charlotte Hornets,82,7308,3142,7308,3142,82,0,0,0
2023-24,1610612737,Atlanta Hawks,82,7584,3529,7584,3529,82,0,0,0
2023-24,1610612738,Boston Celtics,82,7396,3601,7396,3601,82,0,0,0
2023-24,1610612739,Cleveland Cavaliers,82,7147,3425,7147,3425,82,0,0,0
2023-24,1610612740,New Orleans Pelicans,82,7165,3484,7165,3484,82,0,0,0
2023-24,1610612741,Chicago Bulls,82,7339,3448,7339,3448,82,0,0,0
2023-24,1610612742,Dallas Mavericks,82,7352,3535,7352,3535,82,0,0,0
2023-24,1610612743,Denver Nuggets,82,7279,3610,7279,3610,82,0,0,0
2023-24,1610612744,Golden State Warriors,82,7515,3582,7515,3582,82,0,0,0
2023-24,1610612745,Houston Rockets,82,7459,3425,7459,3425,82,0,0,0
2023-24,1610612746,LA Clippers,82,7108,3473,7108,3473,82,0,0,0
2023-24,1610612747,Los Angeles Lakers,82,7177,3580,7177,3580,82,0,0,0
2023-24,1610612748,Miami Heat,82,7022,3266,7022,3266,82,0,0,0
2023-24,1610612749,Milwaukee Bucks,82,7258,3538,7258,3538,82,0,0,0
2023-24,1610612750,Minnesota Timberwolves,82,6974,3383,6974,3383,82,0,0,0
2023-24,1610612751,Brooklyn Nets,82,7307,3334,7307,3334,82,0,0,0
2023-24,1610612752,New York Knicks,82,7272,3385,7272,3385,82,0,0,0
2023-24,1610612753,Orlando Magic,82,6964,3318,6964,3318,82,0,0,0
2023-24,1610612754,Indiana Pacers,82,7599,3855,7599,3855,82,0,0,0
2023-24,1610612755,Philadelphia 76ers,82,7331,3404,7331,3404,82,0,0,0
2023-24,1610612756,Phoenix Suns,82,7063,3482,7063,3482,82,0,0,0
2023-24,1610612757,Portland Trail Blazers,82,7356,3227,7356,3227,82,0,0,0
2023-24,1610612758,Sacramento Kings,82,7455,3553,7455,3553,82,0,0,0
2023-24,1610612759,San Antonio Spurs,82,7436,3438,7436,3438,82,0,0,0
2023-24,1610612760,Oklahoma City Thunder,82,7324,3653,7324,3653,82,0,0,0
2023-24,1610612761,Toronto Raptors,82,7356,3466,7356,3466,82,0,0,0
2023-24,1610612762,Utah Jazz,82,7371,3443,7371,3443,82,0,0,0
2023-24,1610612763,Memphis Grizzlies,82,7229,3145,7229,3145,82,0,0,0
2023-24,1610612764,Washington Wizards,82,7493,3523,7493,3523,82,0,0,0
2023-24,1610612765,Detroit Pistons,82,7236,3353,7236,3353,82,0,0,0
2023-24,1610612766,Charlotte Hornets,82,7133,3281,7133,3281,82,0,0,0
2019-20,1610612737,Atlanta Hawks,67,6067,2723,6067,2723,67,0,0,0
2019-20,1610612738,Boston Celtics,72,6448,2971,6448,2971,72,0,0,0
2019-20,1610612739,Cleveland Cavaliers,65,5715,2619,5715,2619,65,0,0,0
2019-20,1610612740,New Orleans Pelicans,72,6598,3065,6598,3065,72,0,0,0
2019-20,1610612741,Chicago Bulls,65,5762,2573,5762,2573,65,0,0,0
