EntityId,Name,Points,AssistPoints,created,rank
203497,Rudy Gobert,104.0,15.0,119.0,386
2427,Roger Mason Jr.,74.0,44.0,118.0,387
2592,James Jones,97.0,21.0,118.0,387
202361,Landry Fields,68.0,47.0,115.0,389
201189,Aaron Gray,65.0,48.0,113.0,390
203540,Gigi Datome,83.0,26.0,109.0,391
203473,Dewayne Dedmon,97.0,12.0,109.0,391
101111,Charlie Villanueva,92.0,15.0,107.0,393
203460,Andre Roberson,75.0,31.0,106.0,394
1712,Antawn Jamison,84.0,18.0,102.0,395
202412,Manny Harris,73.0,28.0,101.0,396
203490,Otto Porter Jr.,78.0,23.0,101.0,396
203546,Ian Clark,68.0,32.0,100.0,398
202350,Daniel Orton,65.0,35.0,100.0,398
200839,Mike Harris,84.0,13.0,97.0,400
203458,Alex Len,86.0,10.0,96.0,401
203488,Mike Muscala,76.0,16.0,92.0,402
202091,Dionte Christmas,71.0,19.0,90.0,403
202698,Chris Singleton,75.0,12.0,87.0,404
201171,Carl Landry,76.0,11.0,87.0,404
201948,Austin Daye,66.0,17.0,83.0,406
200769,Shannon Brown,63.0,20.0,83.0,406
203524,Solomon Hill,47.0,30.0,77.0,408
2248,Earl Watson,12.0,62.0,74.0,409
201964,Victor Claver,47.0,27.0,74.0,409
201985,AJ Price,44.0,30.0,74.0,409
201141,Greg Oden,67.0,3.0,70.0,412
203810,Casper Ware,48.0,21.0,69.0,413
202779,Dwight Buycks,43.0,25.0,68.0,414
203098,John Jenkins,40.0,27.0,67.0,415
203263,James Nunnally,44.0,18.0,62.0,416
203129,Tornike Shengelia,29.0,31.0,60.0,417
203517,Nemanja Nedovic,26.0,32.0,58.0,418
202874,Chris Wright,48.0,10.0,58.0,418
2224,Jamaal Tinsley,9.0,47.0,56.0,420
203584,Troy Daniels,42.0,13.0,55.0,421
203479,Jamaal Franklin,39.0,15.0,54.0,422
200811,Lou Amundson,38.0,16.0,54.0,422
203508,Sergey Karasev,37.0,12.0,49.0,424
203459,Allen Crabbe,33.0,15.0,48.0,425
202933,Julyan Stone,18.0,30.0,48.0,425
2229,Mike James,11.0,36.0,47.0,427
203318,Glen Rice,32.0,14.0,46.0,428
203099,Jared Cunningham,26.0,19.0,45.0,429
203102,Arnett Moultrie,36.0,4.0,40.0,430
201580,JaVale McGee,35.0,4.0,39.0,431
202962,Greg Smith,38.0,0.0,38.0,432
203108,Bernard James,28.0,8.0,36.0,433
200756,Hilton Armstrong,25.0,10.0,35.0,434
201202,Joel Anthony,28.0,6.0,34.0,435
2215,Jason Collins,25.0,9.0,34.0,435
200758,Ronnie Brewer,7.0,26.0,33.0,437
201934,Hasheem Thabeet,27.0,2.0,29.0,438
203569,Chris Babb,22.0,6.0,28.0,439
