PLAYER_ID,PLAYER_NAME,PTS,Points,AST,Assists,point_diff,ast_diff,_merge
708,Kevin Garnett,122,122.0,62,62.0,0.0,0.0,both
977,Kobe Bryant,1161,1161.0,184,184.0,0.0,0.0,both
1495,Tim Duncan,522,522.0,163,163.0,0.0,0.0,both
1713,Vince Carter,395,395.0,56,56.0,0.0,0.0,both
1717,Dirk Nowitzki,1372,1372.0,132,132.0,0.0,0.0,both
1718,Paul Pierce,417,417.0,71,71.0,0.0,0.0,both
1737,Nazr Mohammed,8,8.0,0,,0.0,0.0,both
1882,Elton Brand,70,70.0,18,18.0,0.0,0.0,both
1889,Andre Miller,144,144.0,87,87.0,0.0,0.0,both
1891,Jason Terry,422,422.0,103,103.0,0.0,0.0,both
1897,Metta World Peace,176,176.0,27,27.0,0.0,0.0,both
1938,Manu Ginobili,555,555.0,177,177.0,0.0,0.0,both
2034,Mike Miller,63,63.0,40,40.0,0.0,0.0,both
2037,Jamal Crawford,1120,1120.0,183,183.0,0.0,0.0,both
2199,Tyson Chandler,472,472.0,64,64.0,0.0,0.0,both
2200,Pau Gasol,1187,1187.0,294,294.0,0.0,0.0,both
2207,Joe Johnson,992,992.0,318,318.0,0.0,0.0,both
2210,Richard Jefferson,410,410.0,59,59.0,0.0,0.0,both
2216,Zach Randolph,1040,1040.0,142,142.0,0.0,0.0,both
2225,Tony Parker,857,857.0,379,379.0,0.0,0.0,both
2365,Chris Andersen,105,105.0,12,12.0,0.0,0.0,both
2399,Mike Dunleavy,222,222.0,39,39.0,0.0,0.0,both
2400,Drew Gooden,82,82.0,13,13.0,0.0,0.0,both
2403,Nene,525,525.0,97,97.0,0.0,0.0,both
2405,Amar'e Stoudemire,300,300.0,27,27.0,0.0,0.0,both
2406,Caron Butler,63,63.0,10,10.0,0.0,0.0,both
2419,Tayshaun Prince,221,221.0,74,74.0,0.0,0.0,both
2440,Matt Barnes,758,758.0,163,163.0,0.0,0.0,both
2446,Rasual Butler,124,124.0,24,24.0,0.0,0.0,both
2449,Luis Scola,664,664.0,66,66.0,0.0,0.0,both
2544,LeBron James,1920,1920.0,514,514.0,0.0,0.0,both
2546,Carmelo Anthony,1573,1573.0,299,299.0,0.0,0.0,both
2547,Chris Bosh,1010,1010.0,128,128.0,0.0,0.0,both
2548,Dwyane Wade,1409,1409.0,344,344.0,0.0,0.0,both
2549,Chris Kaman,44,44.0,11,11.0,0.0,0.0,both
2550,Kirk Hinrich,137,137.0,73,73.0,0.0,0.0,both
2555,Nick Collison,123,123.0,52,52.0,0.0,0.0,both
2561,David West,554,554.0,143,143.0,0.0,0.0,both
2563,Dahntay Jones,13,13.0,2,2.0,0.0,0.0,both
2564,Boris Diaw,485,485.0,176,176.0,0.0,0.0,both
2570,Kendrick Perkins,91,91.0,31,31.0,0.0,0.0,both
2571,Leandro Barbosa,433,433.0,82,82.0,0.0,0.0,both
2581,Steve Blake,254,254.0,200,200.0,0.0,0.0,both
2585,Zaza Pachulia,650,650.0,128,128.0,0.0,0.0,both
2588,Matt Bonner,76,76.0,9,9.0,0.0,0.0,both
2590,Mo Williams,338,338.0,98,98.0,0.0,0.0,both
2592,James Jones,178,178.0,14,14.0,0.0,0.0,both
2594,Kyle Korver,739,739.0,164,164.0,0.0,0.0,both
2617,Udonis Haslem,59,59.0,14,14.0,0.0,0.0,both
2730,Dwight Howard,976,976.0,98,98.0,0.0,0.0,both
2733,Shaun Livingston,488,488.0,237,237.0,0.0,0.0,both
2734,Devin Harris,487,487.0,118,118.0,0.0,0.0,both
2736,Luol Deng,911,911.0,140,140.0,0.0,0.0,both
2738,Andre Iguodala,457,457.0,219,219.0,0.0,0.0,both
2743,Kris Humphries,343,343.0,36,36.0,0.0,0.0,both
2744,Al Jefferson,562,562.0,70,70.0,0.0,0.0,both
2746,Josh Smith,332,332.0,90,90.0,0.0,0.0,both
2747,JR Smith,955,955.0,130,130.0,0.0,0.0,both
2749,Jameer Nelson,299,299.0,190,190.0,0.0,0.0,both
2754,Tony Allen,535,535.0,70,70.0,0.0,0.0,both
2755,Kevin Martin,514,514.0,58,58.0,0.0,0.0,both
2756,Sasha Vujacic,296,296.0,84,84.0,0.0,0.0,both
2757,Beno Udrih,205,205.0,116,116.0,0.0,0.0,both
2760,Anderson Varejao,138,138.0,35,35.0,0.0,0.0,both
2772,Trevor Ariza,1025,1025.0,188,188.0,0.0,0.0,both
101106,Andrew Bogut,375,375.0,162,162.0,0.0,0.0,both
101107,Marvin Williams,948,948.0,110,110.0,0.0,0.0,both
101108,Chris Paul,1446,1446.0,738,738.0,0.0,0.0,both
101109,Raymond Felton,763,763.0,284,284.0,0.0,0.0,both
101111,Charlie Villanueva,319,319.0,24,24.0,0.0,0.0,both
