player_id,player_name,season,gp,fgm,fga,pts,efg_pct,league_efg_pct,relative_efg_pp,fga_per_game,pts_per_game,league_fga_per_game,relative_fga_per_game,league_pts_per_game,relative_pts_per_game,fg3m,fg3a_low,fg3a_high,raw_fg3a_missing,official_3pa_excess,fg3a,league_3p_pct_low,league_3p_pct_high,relative_3p_pp_high,league_3pa_per_game_high,relative_3pa_per_game_low
2550,Kirk Hinrich,2014-15,66,50,137.0,150,36.496350364963504,36.48960739030023,0.006742974663275447,2.0757575757575757,2.272727272727273,1.5999384165351602,0.47581915922241547,1.751433740040799,0.5212935326864738,50,137.0,137.0,False,0.0,137.0,36.488729582140536,36.48960739030023,0.007620782822968408,1.5999769062006852,0.47578066955689047
2399,Mike Dunleavy,2014-15,63,91,232.0,273,39.224137931034484,36.48960739030023,2.734530540734255,3.6825396825396823,4.333333333333333,1.5999384165351602,2.082601266004522,1.751433740040799,2.581899593292534,91,232.0,232.0,False,0.0,232.0,36.488729582140536,36.48960739030023,2.735408348893948,1.5999769062006852,2.082562776338997
1737,Nazr Mohammed,2014-15,23,0,0.0,0,,36.48960739030023,,0.0,0.0,1.5999384165351602,-1.5999384165351602,1.751433740040799,-1.751433740040799,0,0.0,0.0,True,,0.0,36.488729582140536,36.48960739030023,,1.5999769062006852,-1.5999769062006852
202703,Nikola Mirotic,2014-15,82,83,236.0,249,35.16949152542373,36.48960739030023,-1.3201158648764988,2.8780487804878048,3.0365853658536586,1.5999384165351602,1.2781103639526445,1.751433740040799,1.2851516258128595,83,236.0,236.0,False,0.0,236.0,36.488729582140536,36.48960739030023,-1.3192380567168058,1.5999769062006852,1.2780718742871195
2200,Pau Gasol,2014-15,78,12,25.0,36,48.0,36.48960739030023,11.510392609699771,0.32051282051282054,0.46153846153846156,1.5999384165351602,-1.2794255960223397,1.751433740040799,-1.2898952785023376,12,25.0,25.0,False,0.0,25.0,36.488729582140536,36.48960739030023,11.511270417859464,1.5999769062006852,-1.2794640856878647
201959,Taj Gibson,2014-15,62,0,0.0,0,,36.48960739030023,,0.0,0.0,1.5999384165351602,-1.5999384165351602,1.751433740040799,-1.751433740040799,0,0.0,0.0,True,,0.0,36.488729582140536,36.48960739030023,,1.5999769062006852,-1.5999769062006852
203503,Tony Snell,2014-15,72,66,177.0,198,37.28813559322034,36.48960739030023,0.7985282029201102,2.4583333333333335,2.75,1.5999384165351602,0.8583949167981733,1.751433740040799,0.9985662599592009,66,177.0,177.0,False,0.0,177.0,36.488729582140536,36.48960739030023,0.7994060110798031,1.5999769062006852,0.8583564271326483
201166,Aaron Brooks,2015-16,69,35,82.0,105,42.68292682926829,37.044749767989316,5.638177061278974,1.1884057971014492,1.5217391304347827,1.6941099777590305,-0.5057041806575813,1.882736406166117,-0.3609972757313342,35,82.0,82.0,False,0.0,82.0,37.044749767989316,37.044749767989316,5.638177061278974,1.6941099777590305,-0.5057041806575813
1626171,Bobby Portis Jr.,2015-16,62,15,45.0,45,33.333333333333336,37.044749767989316,-3.7114164346559804,0.7258064516129032,0.7258064516129032,1.6941099777590305,-0.9683035261461272,1.882736406166117,-1.1569299545532137,15,45.0,45.0,False,0.0,45.0,37.044749767989316,37.044749767989316,-3.7114164346559804,1.6941099777590305,-0.9683035261461272
203946,Cameron Bairstow,2015-16,18,1,5.0,3,20.0,37.044749767989316,-17.044749767989316,0.2777777777777778,0.16666666666666666,1.6941099777590305,-1.4163321999812526,1.882736406166117,-1.7160697394994502,1,5.0,5.0,False,0.0,5.0,37.044749767989316,37.044749767989316,-17.044749767989316,1.6941099777590305,-1.4163321999812526
