player_id,player_name,season,gp,fgm,fga,fg3m,fg3a,pts,efg_pct,league_efg_pct,relative_efg_pp,fga_per_game,pts_per_game,league_fga_per_game,relative_fga_per_game,league_pts_per_game,relative_pts_per_game
202703,Nikola Mirotic,2015-16,66,142,344,130,309.0,414,60.174418604651166,51.87453299113089,8.299885613520274,5.212121212121212,6.2727272727272725,2.3606871692614466,2.8514340428597653,2.449190888871846,3.8235363838554264
2200,Pau Gasol,2015-16,72,213,440,23,67.0,449,51.02272727272727,51.87453299113089,-0.8518057184036181,6.111111111111111,6.236111111111111,2.3606871692614466,3.750423941849664,2.449190888871846,3.7869202222392646
201959,Taj Gibson,2015-16,73,48,117,0,1.0,96,41.02564102564103,51.87453299113089,-10.848891965489862,1.6027397260273972,1.3150684931506849,2.3606871692614466,-0.7579474432340494,2.449190888871846,-1.1341223957211612
203503,Tony Snell,2015-16,64,51,153,49,142.0,151,49.34640522875817,51.87453299113089,-2.528127762372719,2.390625,2.359375,2.3606871692614466,0.029937830738553384,2.449190888871846,-0.0898158888718461
201627,Anthony Morrow,2016-17,9,6,12,6,12.0,18,75.0,52.83210727847599,22.167892721524012,1.3333333333333333,2.0,2.4078579899766632,-1.07452465664333,2.5442442327556525,-0.5442442327556525
1626171,Bobby Portis Jr.,2016-17,64,54,146,32,93.0,140,47.945205479452056,52.83210727847599,-4.886901799023931,2.28125,2.1875,2.4078579899766632,-0.12660798997666323,2.5442442327556525,-0.3567442327556525
1626166,Cameron Payne,2016-17,11,9,26,9,26.0,27,51.92307692307692,52.83210727847599,-0.909030355399068,2.3636363636363638,2.4545454545454546,2.4078579899766632,-0.04422162634029947,2.5442442327556525,-0.0896987782101979
1626245,Cristiano Felicio,2016-17,66,7,25,0,,14,28.0,52.83210727847599,-24.832107278475988,0.3787878787878788,0.21212121212121213,2.4078579899766632,-2.0290701111887843,2.5442442327556525,-2.3321230206344405
1627756,Denzel Valentine,2016-17,57,57,153,57,153.0,171,55.88235294117647,52.83210727847599,3.0502456627004833,2.6842105263157894,3.0,2.4078579899766632,0.27635253633912615,2.5442442327556525,0.4557557672443475
203926,Doug McDermott,2016-17,44,69,174,54,145.0,192,55.172413793103445,52.83210727847599,2.340306514627457,3.9545454545454546,4.363636363636363,2.4078579899766632,1.5466874645687914,2.5442442327556525,1.8193921308807108
2548,Dwyane Wade,2016-17,60,33,89,17,59.0,83,46.62921348314607,52.83210727847599,-6.202893795329921,1.4833333333333334,1.3833333333333333,2.4078579899766632,-0.9245246566433298,2.5442442327556525,-1.1609108994223192
203477,Isaiah Canaan,2016-17,39,21,75,20,71.0,62,41.333333333333336,52.83210727847599,-11.498773945142652,1.9230769230769231,1.5897435897435896,2.4078579899766632,-0.4847810668997401,2.5442442327556525,-0.9545006430120628
1626170,Jerian Grant,2016-17,63,38,100,35,96.0,111,55.5,52.83210727847599,2.6678927215240122,1.5873015873015872,1.7619047619047619,2.4078579899766632,-0.820556402675076,2.5442442327556525,-0.7823394708508906
202710,Jimmy Butler,2016-17,76,74,170,53,120.0,201,59.11764705882353,52.83210727847599,6.285539780347541,2.236842105263158,2.6447368421052633,2.4078579899766632,-0.17101588471350526,2.5442442327556525,0.1004926093496108
203530,Joffrey Lauvergne,2016-17,20,7,29,6,20.0,20,34.48275862068966,52.83210727847599,-18.34934865778633,1.45,1.0,2.4078579899766632,-0.9578579899766633,2.5442442327556525,-1.5442442327556525
203487,Michael Carter-Williams,2016-17,45,17,62,14,55.0,48,38.70967741935484,52.83210727847599,-14.122429859121148,1.3777777777777778,1.0666666666666667,2.4078579899766632,-1.0300802121988855,2.5442442327556525,-1.4775775660889858
202703,Nikola Mirotic,2016-17,70,116,357,112,336.0,344,48.17927170868347,52.83210727847599,-4.652835569792515,5.1,4.914285714285715,2.4078579899766632,2.6921420100233364,2.5442442327556525,2.370041481530062
1627835,Paul Zipser,2016-17,44,36,99,33,90.0,105,53.03030303030303,52.83210727847599,0.1981957518270434,2.25,2.3863636363636362,2.4078579899766632,-0.15785798997666323,2.5442442327556525,-0.15788059639201624
1626154,RJ Hunter,2016-17,3,0,1,0,1.0,0,0.0,52.83210727847599,-52.83210727847599,0.3333333333333333,0.0,2.4078579899766632,-2.0745246566433297,2.5442442327556525,-2.5442442327556525
200765,Rajon Rondo,2016-17,69,52,135,43,107.0,147,54.44444444444444,52.83210727847599,1.612337165968455,1.9565217391304348,2.130434782608696,2.4078579899766632,-0.4513362508462284,2.5442442327556525,-0.4138094501469567
201577,Robin Lopez,2016-17,81,112,251,0,2.0,224,44.62151394422311,52.83210727847599,-8.210593334252877,3.0987654320987654,2.765432098765432,2.4078579899766632,0.6909074421221022,2.5442442327556525,0.22118786600977947
201959,Taj Gibson,2016-17,55,52,133,2,12.0,106,39.849624060150376,52.83210727847599,-12.982483218325612,2.418181818181818,1.9272727272727272,2.4078579899766632,0.010323828205154761,2.5442442327556525,-0.6169715054829252
1628469,Antonio Blakeney,2017-18,19,10,33,9,29.0,29,43.93939393939394,54.361059705853705,-10.421665766459768,1.736842105263158,1.5263157894736843,2.3595970429386757,-0.6227549376755177,2.5654039146589036,-1.0390881251852193
1626171,Bobby Portis Jr.,2017-18,73,110,282,74,208.0,294,52.12765957446808,54.361059705853705,-2.233400131385622,3.863013698630137,4.027397260273973,2.3595970429386757,1.5034166556914612,2.5654039146589036,1.461993345615069
1626166,Cameron Payne,2017-18,25,18,39,16,37.0,52,66.66666666666667,54.361059705853705,12.305606960812966,1.56,2.08,2.3595970429386757,-0.7995970429386756,2.5654039146589036,-0.48540391465890353
1626245,Cristiano Felicio,2017-18,55,5,21,0,1.0,10,23.80952380952381,54.361059705853705,-30.551535896329895,0.38181818181818183,0.18181818181818182,2.3595970429386757,-1.9777788611204938,2.5654039146589036,-2.383585732840722
1628021,David Nwaba,2017-18,70,17,46,17,46.0,51,55.43478260869565,54.361059705853705,1.0737229028419435,0.6571428571428571,0.7285714285714285,2.3595970429386757,-1.7024541857958186,2.5654039146589036,-1.836832486087475
1627756,Denzel Valentine,2017-18,77,95,244,89,229.0,279,57.17213114754098,54.361059705853705,2.8110714416872753,3.168831168831169,3.6233766233766236,2.3595970429386757,0.8092341258924933,2.5654039146589036,1.05797270871772
204067,Jarell Eddie,2017-18,1,0,0,0,0.0,0,,54.361059705853705,,0.0,0.0,2.3595970429386757,-2.3595970429386757,2.5654039146589036,-2.5654039146589036
1626170,Jerian Grant,2017-18,74,37,96,34,89.0,108,56.25,54.361059705853705,1.8889402941462947,1.2972972972972974,1.4594594594594594,2.3595970429386757,-1.0622997456413783,2.5654039146589036,-1.1059444551994442
203200,Justin Holiday,2017-18,72,137,374,127,344.0,401,53.6096256684492,54.361059705853705,-0.7514340374045076,5.194444444444445,5.569444444444445,2.3595970429386757,2.834847401505769,2.5654039146589036,3.004040529785541
1627770,Kay Felder,2017-18,14,3,5,3,5.0,9,90.0,54.361059705853705,35.638940294146295,0.35714285714285715,0.6428571428571429,2.3595970429386757,-2.0024541857958185,2.5654039146589036,-1.9225467718017608
1627739,Kris Dunn,2017-18,52,29,82,21,70.0,79,48.170731707317074,54.361059705853705,-6.190327998536631,1.5769230769230769,1.5192307692307692,2.3595970429386757,-0.7826739660155988,2.5654039146589036,-1.0461731454281344
1628374,Lauri Markkanen,2017-18,68,147,396,137,375.0,431,54.41919191919192,54.361059705853705,0.058132213338211614,5.823529411764706,6.338235294117647,2.3595970429386757,3.46393236882603,2.5654039146589036,3.772831379458743
202703,Nikola Mirotic,2017-18,25,53,128,50,123.0,156,60.9375,54.361059705853705,6.576440294146295,5.12,6.24,2.3595970429386757,2.7604029570613244,2.5654039146589036,3.6745960853410966
203943,Noah Vonleh,2017-18,21,18,52,18,49.0,54,51.92307692307692,54.361059705853705,-2.4379827827767855,2.4761904761904763,2.5714285714285716,2.3595970429386757,0.1165934332518006,2.5654039146589036,0.006024656769668013
201600,Omer Asik,2017-18,4,0,0,0,,0,,54.361059705853705,,0.0,0.0,2.3595970429386757,-2.3595970429386757,2.5654039146589036,-2.5654039146589036
1627835,Paul Zipser,2017-18,54,41,113,36,99.0,118,52.21238938053097,54.361059705853705,-2.1486703253227333,2.0925925925925926,2.185185185185185,2.3595970429386757,-0.2670044503460831,2.5654039146589036,-0.3802187294737185
202347,Quincy Pondexter,2017-18,23,3,17,3,17.0,9,26.470588235294116,54.361059705853705,-27.89047147055959,0.7391304347826086,0.391304347826087,2.3595970429386757,-1.620466608156067,2.5654039146589036,-2.1740995668328167
201577,Robin Lopez,2017-18,64,62,162,3,10.0,127,39.19753086419753,54.361059705853705,-15.163528841656174,2.53125,1.984375,2.3595970429386757,0.17165295706132433,2.5654039146589036,-0.5810289146589036
1627853,Ryan Arcidiacono,2017-18,24,8,26,8,26.0,24,46.15384615384615,54.361059705853705,-8.207213552007552,1.0833333333333333,1.0,2.3595970429386757,-1.2762637096053424,2.5654039146589036,-1.5654039146589036
203930,Sean Kilpatrick,2017-18,9,14,31,14,30.0,42,67.74193548387096,54.361059705853705,13.380875778017256,3.4444444444444446,4.666666666666667,2.3595970429386757,1.084847401505769,2.5654039146589036,2.1012627520077634
203897,Zach LaVine,2017-18,24,13,40,13,40.0,39,48.75,54.361059705853705,-5.611059705853705,1.6666666666666667,1.625,2.3595970429386757,-0.6929303762720089,2.5654039146589036,-0.9404039146589036
1628469,Antonio Blakeney,2018-19,57,29,72,27,64.0,85,59.02777777777778,53.48029869717191,5.547479080605868,1.263157894736842,1.4912280701754386,2.4114018619976245,-1.1482439672607825,2.5792498371709898,-1.0880217669955512
1626171,Bobby Portis Jr.,2018-19,22,32,87,26,68.0,90,51.724137931034484,53.48029869717191,-1.7561607661374268,3.9545454545454546,4.090909090909091,2.4114018619976245,1.54314359254783,2.5792498371709898,1.511659253738101
1629102,Brandon Sampson,2018-19,14,9,24,9,24.0,27,56.25,53.48029869717191,2.7697013028280892,1.7142857142857142,1.9285714285714286,2.4114018619976245,-0.6971161477119103,2.5792498371709898,-0.6506784085995612
1626166,Cameron Payne,2018-19,31,12,46,10,43.0,34,36.95652173913044,53.48029869717191,-16.523776958041474,1.4838709677419355,1.096774193548387,2.4114018619976245,-0.927530894255689,2.5792498371709898,-1.4824756436226028
1628990,Chandler Hutchison,2018-19,44,14,48,14,48.0,42,43.75,53.48029869717191,-9.73029869717191,1.0909090909090908,0.9545454545454546,2.4114018619976245,-1.3204927710885337,2.5792498371709898,-1.6247043826255352
1626245,Cristiano Felicio,2018-19,60,4,15,0,3.0,8,26.666666666666668,53.48029869717191,-26.813632030505243,0.25,0.13333333333333333,2.4114018619976245,-2.1614018619976245,2.5792498371709898,-2.4459165038376565
203960,JaKarr Sampson,2018-19,4,5,14,5,14.0,15,53.57142857142857,53.48029869717191,0.09112987425665864,3.5,3.75,2.4114018619976245,1.0885981380023755,2.5792498371709898,1.1707501628290102
203953,Jabari Parker,2018-19,39,32,99,27,84.0,91,45.95959595959596,53.48029869717191,-7.520702737575952,2.5384615384615383,2.3333333333333335,2.4114018619976245,0.1270596764639138,2.5792498371709898,-0.2459165038376563
203200,Justin Holiday,2018-19,38,78,221,73,208.0,229,51.80995475113122,53.48029869717191,-1.6703439460406884,5.815789473684211,6.026315789473684,2.4114018619976245,3.404387611686586,2.5792498371709898,3.4470659523026943
1627739,Kris Dunn,2018-19,46,18,62,17,59.0,53,42.74193548387097,53.48029869717191,-10.738363213300943,1.3478260869565217,1.1521739130434783,2.4114018619976245,-1.0635757750411028,2.5792498371709898,-1.4270759241275115
1628374,Lauri Markkanen,2018-19,52,119,321,110,301.0,348,54.205607476635514,53.48029869717191,0.7253087794636031,6.173076923076923,6.6923076923076925,2.4114018619976245,3.761675061079299,2.5792498371709898,4.113057855136702
203490,Otto Porter Jr.,2018-19,15,35,60,30,51.0,100,83.33333333333333,53.48029869717191,29.853034636161418,4.0,6.666666666666667,2.4114018619976245,1.5885981380023755,2.5792498371709898,4.087416829495677
1628959,Rawle Alkins,2018-19,10,3,8,3,8.0,9,56.25,53.48029869717191,2.7697013028280892,0.8,0.9,2.4114018619976245,-1.6114018619976245,2.5792498371709898,-1.6792498371709899
201577,Robin Lopez,2018-19,74,18,62,7,31.0,43,34.67741935483871,53.48029869717191,-18.8028793423332,0.8378378378378378,0.581081081081081,2.4114018619976245,-1.5735640241597868,2.5792498371709898,-1.9981687560899086
1627853,Ryan Arcidiacono,2018-19,81,69,164,68,162.0,206,62.80487804878049,53.48029869717191,9.324579351608577,2.0246913580246915,2.54320987654321,2.4114018619976245,-0.38671050397293305,2.5792498371709898,-0.0360399606277797
1627885,Shaquille Harrison,2018-19,73,21,73,21,71.0,63,43.15068493150685,53.48029869717191,-10.329613765665059,1.0,0.863013698630137,2.4114018619976245,-1.4114018619976245,2.5792498371709898,-1.7162361385408529
1627789,Timothe Luwawu-Cabarrot,2018-19,29,31,91,31,90.0,93,51.0989010989011,53.48029869717191,-2.3813975982708087,3.1379310344827585,3.206896551724138,2.4114018619976245,0.7265291724851339,2.5792498371709898,0.6276467145531481
1627755,Tyler Ulis,2018-19,1,0,0,0,,0,,53.48029869717191,,0.0,0.0,2.4114018619976245,-2.4114018619976245,2.5792498371709898,-2.5792498371709898
1627215,Walt Lemon Jr.,2018-19,6,2,5,2,5.0,6,60.0,53.48029869717191,6.519701302828089,0.8333333333333334,1.0,2.4114018619976245,-1.578068528664291,2.5792498371709898,-1.5792498371709898
1627782,Wayne Selden,2018-19,43,30,93,28,88.0,88,47.31182795698925,53.48029869717191,-6.168470740182663,2.1627906976744184,2.046511627906977,2.4114018619976245,-0.24861116432320607,2.5792498371709898,-0.5327382092640129
