season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url,team_game_date,team_matchup,team_result,team_points,team_plus_minus,decade
1987,1986–87,77820,John Paxson,28600014,1986-11-01,CHI @ NYK,NYK,W,18.0,6,2,6.0,0.0,0.0,2,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,,0.3000000000000007,43.604651162790695,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741,1986-11-01,CHI @ NYK,W,108,,1980s
1987,1986–87,76453,Dave Corzine,28600014,1986-11-01,CHI @ NYK,NYK,W,28.0,1,0,3.0,0.0,0.0,1,2.0,2.0,3.0,5.0,2.0,0.0,1.0,1.0,5.0,,-0.09999999999999964,12.886597938144332,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741,1986-11-01,CHI @ NYK,W,108,,1980s
1987,1986–87,1479,Mike Brown,28600014,1986-11-01,CHI @ NYK,NYK,W,6.0,0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,,-1.5,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741,1986-11-01,CHI @ NYK,W,108,,1980s
1987,1986–87,940,Earl Cureton,28600014,1986-11-01,CHI @ NYK,NYK,W,34.0,17,8,16.0,0.0,0.0,1,2.0,9.0,4.0,13.0,1.0,0.0,0.0,1.0,4.0,,14.199999999999998,50.355450236966824,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741,1986-11-01,CHI @ NYK,W,108,,1980s
1987,1986–87,306,Steve Colter,28600014,1986-11-01,CHI @ NYK,NYK,W,37.0,7,1,7.0,0.0,1.0,5,6.0,0.0,2.0,2.0,10.0,2.0,0.0,1.0,3.0,,9.5,36.30705394190871,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741,1986-11-01,CHI @ NYK,W,108,,1980s
1987,1986–87,78110,Brad Sellers,28600014,1986-11-01,CHI @ NYK,NYK,W,25.0,8,4,8.0,0.0,0.0,0,0.0,3.0,5.0,8.0,1.0,0.0,2.0,0.0,4.0,,8.1,50.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741,1986-11-01,CHI @ NYK,W,108,,1980s
1987,1986–87,78430,Granville Waiters,28600014,1986-11-01,CHI @ NYK,NYK,W,19.0,2,1,2.0,0.0,0.0,0,0.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,5.0,,2.3999999999999995,50.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741,1986-11-01,CHI @ NYK,W,108,,1980s
1988,1987–88,893,Michael Jordan,28700016,1987-11-07,CHI vs. PHL,PHL,W,38.0,36,15,25.0,0.0,0.0,6,10.0,2.0,3.0,5.0,3.0,6.0,4.0,2.0,3.0,,32.89999999999999,61.224489795918366,https://www.nba.com/stats/players/boxscores-traditional?Season=1987-88&SeasonType=Regular%20Season&TeamID=1610612741,1987-11-07,CHI vs. PHL,W,104,,1980s
1988,1987–88,891,Charles Oakley,28700016,1987-11-07,CHI vs. PHL,PHL,W,39.0,12,4,12.0,0.0,0.0,4,4.0,6.0,15.0,21.0,2.0,1.0,0.0,6.0,2.0,,9.5,43.604651162790695,https://www.nba.com/stats/players/boxscores-traditional?Season=1987-88&SeasonType=Regular%20Season&TeamID=1610612741,1987-11-07,CHI vs. PHL,W,104,,1980s
1988,1987–88,937,Scottie Pippen,28700016,1987-11-07,CHI vs. PHL,PHL,W,23.0,10,4,7.0,0.0,0.0,2,4.0,1.0,0.0,1.0,4.0,2.0,0.0,4.0,2.0,,6.600000000000001,57.077625570776256,https://www.nba.com/stats/players/boxscores-traditional?Season=1987-88&SeasonType=Regular%20Season&TeamID=1610612741,1987-11-07,CHI vs. PHL,W,104,,1980s
1988,1987–88,78110,Brad Sellers,28700016,1987-11-07,CHI vs. PHL,PHL,W,35.0,14,6,13.0,0.0,0.0,2,2.0,2.0,2.0,4.0,3.0,0.0,0.0,3.0,3.0,,7.199999999999999,50.43227665706051,https://www.nba.com/stats/players/boxscores-traditional?Season=1987-88&SeasonType=Regular%20Season&TeamID=1610612741,1987-11-07,CHI vs. PHL,W,104,,1980s
1988,1987–88,77820,John Paxson,28700016,1987-11-07,CHI vs. PHL,PHL,W,29.0,8,3,6.0,0.0,0.0,2,2.0,0.0,3.0,3.0,7.0,0.0,0.0,1.0,5.0,,7.800000000000001,58.139534883720934,https://www.nba.com/stats/players/boxscores-traditional?Season=1987-88&SeasonType=Regular%20Season&TeamID=1610612741,1987-11-07,CHI vs. PHL,W,104,,1980s
1988,1987–88,270,Horace Grant,28700016,1987-11-07,CHI vs. PHL,PHL,W,13.0,3,1,4.0,0.0,0.0,1,2.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,2.0,,3.1000000000000005,30.737704918032787,https://www.nba.com/stats/players/boxscores-traditional?Season=1987-88&SeasonType=Regular%20Season&TeamID=1610612741,1987-11-07,CHI vs. PHL,W,104,,1980s
1988,1987–88,76453,Dave Corzine,28700016,1987-11-07,CHI vs. PHL,PHL,W,31.0,11,5,6.0,0.0,0.0,1,1.0,2.0,2.0,4.0,1.0,0.0,2.0,0.0,2.0,,12.1,85.40372670807453,https://www.nba.com/stats/players/boxscores-traditional?Season=1987-88&SeasonType=Regular%20Season&TeamID=1610612741,1987-11-07,CHI vs. PHL,W,104,,1980s
1988,1987–88,600014,Artis Gilmore,28700016,1987-11-07,CHI vs. PHL,PHL,W,10.0,0,0,1.0,0.0,0.0,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,,-3.7,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1987-88&SeasonType=Regular%20Season&TeamID=1610612741,1987-11-07,CHI vs. PHL,W,104,,1980s
1988,1987–88,9,Sedale Threatt,28700016,1987-11-07,CHI vs. PHL,PHL,W,21.0,10,3,6.0,0.0,0.0,4,4.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,,11.2,64.43298969072166,https://www.nba.com/stats/players/boxscores-traditional?Season=1987-88&SeasonType=Regular%20Season&TeamID=1610612741,1987-11-07,CHI vs. PHL,W,104,,1980s
1988,1987–88,78514,Tony White,28700016,1987-11-07,CHI vs. PHL,PHL,W,1.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1987-88&SeasonType=Regular%20Season&TeamID=1610612741,1987-11-07,CHI vs. PHL,W,104,,1980s
1989,1988–89,270,Horace Grant,28800009,1988-11-04,CHI vs. DET,DET,L,31.0,7,2,8.0,0.0,0.0,3,3.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,5.0,,2.3,37.553648068669524,https://www.nba.com/stats/players/boxscores-traditional?Season=1988-89&SeasonType=Regular%20Season&TeamID=1610612741,1988-11-04,CHI vs. DET,L,94,,1980s
1989,1988–89,77820,John Paxson,28800009,1988-11-04,CHI vs. DET,DET,L,28.0,15,7,13.0,1.0,5.0,0,0.0,0.0,3.0,3.0,6.0,1.0,0.0,2.0,4.0,,11.200000000000001,57.692307692307686,https://www.nba.com/stats/players/boxscores-traditional?Season=1988-89&SeasonType=Regular%20Season&TeamID=1610612741,1988-11-04,CHI vs. DET,L,94,,1980s
1989,1988–89,78417,Sam Vincent,28800009,1988-11-04,CHI vs. DET,DET,L,37.0,16,7,19.0,0.0,1.0,2,2.0,0.0,4.0,4.0,4.0,3.0,1.0,4.0,3.0,,8.000000000000004,40.24144869215292,https://www.nba.com/stats/players/boxscores-traditional?Season=1988-89&SeasonType=Regular%20Season&TeamID=1610612741,1988-11-04,CHI vs. DET,L,94,,1980s
1989,1988–89,76453,Dave Corzine,28800009,1988-11-04,CHI vs. DET,DET,L,23.0,6,3,5.0,0.0,0.0,0,0.0,0.0,6.0,6.0,0.0,0.0,3.0,1.0,0.0,,6.6,60.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1988-89&SeasonType=Regular%20Season&TeamID=1610612741,1988-11-04,CHI vs. DET,L,94,,1980s
1989,1988–89,76362,Bill Cartwright,28800009,1988-11-04,CHI vs. DET,DET,L,35.0,14,4,7.0,0.0,0.0,6,9.0,2.0,8.0,10.0,2.0,1.0,1.0,4.0,3.0,,11.200000000000003,63.86861313868613,https://www.nba.com/stats/players/boxscores-traditional?Season=1988-89&SeasonType=Regular%20Season&TeamID=1610612741,1988-11-04,CHI vs. DET,L,94,,1980s
1989,1988–89,893,Michael Jordan,28800009,1988-11-04,CHI vs. DET,DET,L,43.0,28,10,19.0,0.0,2.0,8,12.0,1.0,4.0,5.0,7.0,5.0,2.0,2.0,5.0,,26.299999999999997,57.66062602965404,https://www.nba.com/stats/players/boxscores-traditional?Season=1988-89&SeasonType=Regular%20Season&TeamID=1610612741,1988-11-04,CHI vs. DET,L,94,,1980s
1989,1988–89,77173,Anthony Jones,28800009,1988-11-04,CHI vs. DET,DET,L,5.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,-1.2000000000000002,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1988-89&SeasonType=Regular%20Season&TeamID=1610612741,1988-11-04,CHI vs. DET,L,94,,1980s
