game_id,game_date,matchup,result,team_points,team_plus_minus,season_end_year,team_source_url
28400582,1985-02-12,CHI vs. DET,W,139,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400570,1985-02-07,CHI @ CLE,L,99,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400555,1985-02-05,CHI vs. BOS,L,106,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400533,1985-02-01,CHI @ PHL,L,110,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400521,1985-01-30,CHI @ WAS,L,95,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400518,1985-01-29,CHI vs. KCK,W,103,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400496,1985-01-26,CHI vs. ATL,W,117,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400494,1985-01-25,CHI vs. SEA,W,93,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400478,1985-01-22,CHI vs. POR,W,123,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400461,1985-01-19,CHI @ IND,L,107,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400450,1985-01-17,CHI vs. CLE,W,98,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400447,1985-01-16,CHI @ NJN,L,94,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400433,1985-01-14,CHI vs. DEN,W,122,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28400422,1985-01-12,CHI @ CLE,L,98,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
