season,GAME_ID,GAME_DATE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_DISTANCE,SHOT_MADE_FLAG,family
2024-25,0022400266,20241123,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,2,1,Floaters
2024-25,0022400266,20241123,Jump Shot,3PT Field Goal,Right Corner 3,22,1,Standard jumpers
2024-25,0022400266,20241123,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),10,1,Pull-ups
2024-25,0022400266,20241123,Jump Shot,3PT Field Goal,Left Corner 3,23,0,Standard jumpers
2024-25,0022400266,20241123,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),4,0,Layups
2024-25,0022400266,20241123,Jump Shot,3PT Field Goal,Left Corner 3,22,1,Standard jumpers
2024-25,0022400266,20241123,Running Dunk Shot,2PT Field Goal,Restricted Area,1,1,Dunks
2024-25,0022400266,20241123,Jump Shot,3PT Field Goal,Above the Break 3,25,0,Standard jumpers
2024-25,0022400266,20241123,Jump Shot,3PT Field Goal,Left Corner 3,23,0,Standard jumpers
2024-25,0022400266,20241123,Pullup Jump shot,2PT Field Goal,Mid-Range,21,0,Pull-ups
2024-25,0022400289,20241127,Cutting Dunk Shot,2PT Field Goal,Restricted Area,1,1,Dunks
2024-25,0022400289,20241127,Running Jump Shot,3PT Field Goal,Left Corner 3,22,1,Running jumpers
2024-25,0022400289,20241127,Jump Shot,3PT Field Goal,Left Corner 3,22,0,Standard jumpers
2024-25,0022400289,20241127,Jump Shot,3PT Field Goal,Left Corner 3,23,0,Standard jumpers
2024-25,0022400289,20241127,Jump Shot,3PT Field Goal,Left Corner 3,22,0,Standard jumpers
2024-25,0022400289,20241127,Driving Dunk Shot,2PT Field Goal,Restricted Area,2,0,Dunks
2024-25,0022400289,20241127,Jump Shot,3PT Field Goal,Right Corner 3,22,0,Standard jumpers
2024-25,0022400317,20241202,Jump Shot,3PT Field Goal,Right Corner 3,22,1,Standard jumpers
2024-25,0022400317,20241202,Jump Shot,3PT Field Goal,Left Corner 3,23,1,Standard jumpers
2024-25,0022400317,20241202,Driving Layup Shot,2PT Field Goal,Restricted Area,1,0,Layups
2024-25,0022400317,20241202,Tip Layup Shot,2PT Field Goal,Restricted Area,1,0,Tip-ins
2024-25,0022400317,20241202,Jump Shot,3PT Field Goal,Left Corner 3,22,0,Standard jumpers
2024-25,0022400317,20241202,Running Dunk Shot,2PT Field Goal,Restricted Area,1,1,Dunks
2024-25,0022400317,20241202,Running Jump Shot,3PT Field Goal,Above the Break 3,25,1,Running jumpers
2024-25,0022400317,20241202,Running Dunk Shot,2PT Field Goal,Restricted Area,0,1,Dunks
2024-25,0022400317,20241202,Jump Shot,3PT Field Goal,Above the Break 3,26,1,Standard jumpers
2024-25,0022400317,20241202,Driving Reverse Dunk Shot,2PT Field Goal,Restricted Area,0,1,Dunks
2024-25,0022400331,20241205,Jump Shot,3PT Field Goal,Right Corner 3,22,0,Standard jumpers
2024-25,0022400331,20241205,Tip Dunk Shot,2PT Field Goal,Restricted Area,0,1,Dunks
2024-25,0022400331,20241205,Jump Shot,3PT Field Goal,Above the Break 3,25,1,Standard jumpers
2024-25,0022400331,20241205,Driving Layup Shot,2PT Field Goal,Restricted Area,3,0,Layups
2024-25,0022400331,20241205,Dunk Shot,2PT Field Goal,Restricted Area,2,1,Dunks
2024-25,0022400331,20241205,Jump Shot,3PT Field Goal,Above the Break 3,26,1,Standard jumpers
2024-25,0022400331,20241205,Cutting Layup Shot,2PT Field Goal,Restricted Area,1,0,Layups
2024-25,0022400336,20241206,Jump Shot,3PT Field Goal,Left Corner 3,23,1,Standard jumpers
2024-25,0022400336,20241206,Running Layup Shot,2PT Field Goal,Restricted Area,2,0,Layups
2024-25,0022400336,20241206,Jump Shot,3PT Field Goal,Left Corner 3,23,1,Standard jumpers
2024-25,0022400336,20241206,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,9,0,Floaters
2024-25,0022400336,20241206,Driving Layup Shot,2PT Field Goal,Restricted Area,2,0,Layups
2024-25,0022400336,20241206,Jump Shot,3PT Field Goal,Left Corner 3,22,0,Standard jumpers
2024-25,0022400336,20241206,Turnaround Jump Shot,2PT Field Goal,Mid-Range,13,0,Turnarounds/fades
2024-25,0022400347,20241208,Running Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2024-25,0022400347,20241208,Cutting Dunk Shot,2PT Field Goal,Restricted Area,1,1,Dunks
2024-25,0022400347,20241208,Jump Shot,3PT Field Goal,Right Corner 3,23,0,Standard jumpers
2024-25,0022400347,20241208,Jump Shot,3PT Field Goal,Right Corner 3,23,0,Standard jumpers
2024-25,0022400347,20241208,Running Jump Shot,3PT Field Goal,Left Corner 3,22,0,Running jumpers
2024-25,0022400347,20241208,Jump Shot,3PT Field Goal,Above the Break 3,25,0,Standard jumpers
2024-25,0022400347,20241208,Jump Shot,3PT Field Goal,Left Corner 3,23,0,Standard jumpers
2024-25,0022400363,20241219,Cutting Layup Shot,2PT Field Goal,Restricted Area,3,0,Layups
2024-25,0022400363,20241219,Jump Shot,3PT Field Goal,Above the Break 3,25,0,Standard jumpers
2024-25,0022400363,20241219,Jump Shot,3PT Field Goal,Left Corner 3,24,0,Standard jumpers
2024-25,0022400381,20241221,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,2,0,Layups
2024-25,0022400381,20241221,Jump Shot,3PT Field Goal,Above the Break 3,25,0,Standard jumpers
2024-25,0022400381,20241221,Jump Shot,3PT Field Goal,Right Corner 3,24,1,Standard jumpers
2024-25,0022400381,20241221,Driving Dunk Shot,2PT Field Goal,Restricted Area,0,0,Dunks
2024-25,0022400381,20241221,Jump Shot,3PT Field Goal,Above the Break 3,25,0,Standard jumpers
2024-25,0022400381,20241221,Jump Shot,3PT Field Goal,Right Corner 3,23,0,Standard jumpers
2024-25,0022400381,20241221,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2024-25,0022400381,20241221,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2024-25,0022400381,20241221,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,1,0,Layups
2024-25,0022400381,20241221,Dunk Shot,2PT Field Goal,Restricted Area,1,1,Dunks
2024-25,0022400398,20241223,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,2,0,Layups
2024-25,0022400398,20241223,Jump Shot,3PT Field Goal,Right Corner 3,23,0,Standard jumpers
2024-25,0022400398,20241223,Jump Shot,3PT Field Goal,Above the Break 3,28,0,Standard jumpers
2024-25,0022400398,20241223,Jump Shot,3PT Field Goal,Above the Break 3,25,1,Standard jumpers
2024-25,0022400430,20241228,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2024-25,0022400430,20241228,Tip Layup Shot,2PT Field Goal,Restricted Area,0,0,Tip-ins
2024-25,0022400442,20241230,Driving Layup Shot,2PT Field Goal,Restricted Area,3,0,Layups
2024-25,0022400442,20241230,Layup Shot,2PT Field Goal,Restricted Area,3,1,Layups
2024-25,0022400442,20241230,Driving Dunk Shot,2PT Field Goal,Restricted Area,2,0,Dunks
2024-25,0022400442,20241230,Jump Shot,3PT Field Goal,Right Corner 3,22,0,Standard jumpers
2024-25,0022400442,20241230,Jump Shot,2PT Field Goal,Mid-Range,14,0,Standard jumpers
2024-25,0022400442,20241230,Floating Jump shot,2PT Field Goal,Restricted Area,3,0,Floaters
2024-25,0022400456,20250101,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),5,0,Hooks
2024-25,0022400456,20250101,Cutting Dunk Shot,2PT Field Goal,Restricted Area,3,1,Dunks
2024-25,0022400456,20250101,Jump Shot,3PT Field Goal,Left Corner 3,24,0,Standard jumpers
2024-25,0022400456,20250101,Jump Shot,3PT Field Goal,Above the Break 3,25,0,Standard jumpers
2024-25,0022400456,20250101,Jump Shot,3PT Field Goal,Above the Break 3,28,1,Standard jumpers
2024-25,0022400498,20250106,Cutting Layup Shot,2PT Field Goal,Restricted Area,0,0,Layups
2024-25,0022400498,20250106,Jump Shot,3PT Field Goal,Right Corner 3,23,0,Standard jumpers
2024-25,0022400498,20250106,Jump Shot,3PT Field Goal,Right Corner 3,23,0,Standard jumpers
2024-25,0022400510,20250108,Driving Layup Shot,2PT Field Goal,Restricted Area,2,1,Layups
2024-25,0022400510,20250108,Jump Shot,3PT Field Goal,Above the Break 3,26,0,Standard jumpers
2024-25,0022400530,20250110,Jump Shot,3PT Field Goal,Left Corner 3,23,1,Standard jumpers
2024-25,0022400530,20250110,Jump Shot,3PT Field Goal,Above the Break 3,25,0,Standard jumpers
2024-25,0022400530,20250110,Running Dunk Shot,2PT Field Goal,Restricted Area,1,1,Dunks
2024-25,0022400530,20250110,Step Back Jump shot,3PT Field Goal,Above the Break 3,25,1,Step-backs
2024-25,0022400541,20250112,Jump Shot,3PT Field Goal,Above the Break 3,25,1,Standard jumpers
2024-25,0022400541,20250112,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),6,1,Layups
2024-25,0022400557,20250114,Jump Shot,3PT Field Goal,Above the Break 3,26,1,Standard jumpers
2024-25,0022400557,20250114,Jump Shot,3PT Field Goal,Left Corner 3,23,0,Standard jumpers
2024-25,0022400557,20250114,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2024-25,0022400557,20250114,Step Back Jump shot,2PT Field Goal,Mid-Range,10,0,Step-backs
2024-25,0022400557,20250114,Running Layup Shot,2PT Field Goal,Restricted Area,1,0,Layups
2024-25,0022400557,20250114,Jump Shot,3PT Field Goal,Left Corner 3,22,0,Standard jumpers
2024-25,0022400563,20250115,Jump Shot,3PT Field Goal,Above the Break 3,26,0,Standard jumpers
2024-25,0022400563,20250115,Driving Dunk Shot,2PT Field Goal,Restricted Area,0,1,Dunks
2024-25,0022400563,20250115,Jump Shot,3PT Field Goal,Right Corner 3,23,0,Standard jumpers
2024-25,0022400563,20250115,Running Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2024-25,0022400563,20250115,Driving Layup Shot,2PT Field Goal,Restricted Area,0,1,Layups
2024-25,0022400563,20250115,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2024-25,0022400563,20250115,Jump Shot,3PT Field Goal,Above the Break 3,27,0,Standard jumpers
2024-25,0022400563,20250115,Driving Layup Shot,2PT Field Goal,Restricted Area,2,0,Layups
2024-25,0022400584,20250117,Running Dunk Shot,2PT Field Goal,Restricted Area,0,1,Dunks
2024-25,0022400584,20250117,Running Jump Shot,3PT Field Goal,Right Corner 3,23,0,Running jumpers
2024-25,0022400597,20250119,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,2,0,Layups
2024-25,0022400597,20250119,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),4,1,Floaters
2024-25,0022400597,20250119,Step Back Jump shot,3PT Field Goal,Right Corner 3,22,0,Step-backs
2024-25,0022400597,20250119,Jump Shot,3PT Field Goal,Left Corner 3,22,1,Standard jumpers
2024-25,0022400597,20250119,Cutting Dunk Shot,2PT Field Goal,Restricted Area,2,0,Dunks
2024-25,0022400611,20250120,Putback Layup Shot,2PT Field Goal,Restricted Area,3,0,Layups
2024-25,0022400611,20250120,Driving Dunk Shot,2PT Field Goal,Restricted Area,2,0,Dunks
2024-25,0022400611,20250120,Jump Shot,3PT Field Goal,Left Corner 3,23,1,Standard jumpers
2024-25,0022400611,20250120,Tip Layup Shot,2PT Field Goal,Restricted Area,0,0,Tip-ins
2024-25,0022400611,20250120,Jump Shot,3PT Field Goal,Right Corner 3,23,0,Standard jumpers
2024-25,0022400611,20250120,Jump Shot,3PT Field Goal,Above the Break 3,25,0,Standard jumpers
2024-25,0022400628,20250123,Tip Layup Shot,2PT Field Goal,Restricted Area,0,0,Tip-ins
2024-25,0022400628,20250123,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),7,0,Floaters
2024-25,0022400628,20250123,Running Dunk Shot,2PT Field Goal,Restricted Area,3,1,Dunks
2024-25,0022400628,20250123,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,14,0,Turnarounds/fades
2024-25,0022400628,20250123,Step Back Jump shot,3PT Field Goal,Right Corner 3,23,0,Step-backs
2024-25,0022400628,20250123,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),5,0,Layups
2024-25,0022400642,20250125,Running Dunk Shot,2PT Field Goal,Restricted Area,1,1,Dunks
2024-25,0022400642,20250125,Jump Shot,3PT Field Goal,Right Corner 3,23,1,Standard jumpers
2024-25,0022400655,20250127,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,1,1,Dunks
2024-25,0022400655,20250127,Jump Shot,3PT Field Goal,Right Corner 3,23,1,Standard jumpers
2024-25,0022400655,20250127,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,3,0,Floaters
2024-25,0022400655,20250127,Running Dunk Shot,2PT Field Goal,Restricted Area,0,1,Dunks
2024-25,0022400655,20250127,Driving Dunk Shot,2PT Field Goal,Restricted Area,1,1,Dunks
2024-25,0022400666,20250129,Jump Shot,3PT Field Goal,Left Corner 3,23,0,Standard jumpers
2024-25,0022400666,20250129,Cutting Dunk Shot,2PT Field Goal,Restricted Area,1,1,Dunks
2024-25,0022400666,20250129,Jump Shot,3PT Field Goal,Left Corner 3,22,1,Standard jumpers
2024-25,0022400666,20250129,Step Back Jump shot,3PT Field Goal,Above the Break 3,25,0,Step-backs
2024-25,0022400666,20250129,Jump Shot,3PT Field Goal,Left Corner 3,22,1,Standard jumpers
2024-25,0022400666,20250129,Cutting Dunk Shot,2PT Field Goal,Restricted Area,1,1,Dunks
2024-25,0022400682,20250131,Driving Hook Shot,2PT Field Goal,Restricted Area,3,0,Hooks
2024-25,0022400682,20250131,Jump Shot,3PT Field Goal,Left Corner 3,24,1,Standard jumpers
2024-25,0022400682,20250131,Jump Shot,3PT Field Goal,Above the Break 3,26,0,Standard jumpers
2024-25,0022400682,20250131,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),9,1,Floaters
2024-25,0022400682,20250131,Jump Shot,3PT Field Goal,Left Corner 3,23,1,Standard jumpers
2024-25,0022400682,20250131,Driving Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2024-25,0022400682,20250131,Cutting Dunk Shot,2PT Field Goal,Restricted Area,0,0,Dunks
2024-25,0022400682,20250131,Jump Shot,3PT Field Goal,Left Corner 3,23,0,Standard jumpers
2024-25,0022400695,20250202,Jump Shot,3PT Field Goal,Right Corner 3,22,0,Standard jumpers
2024-25,0022400695,20250202,Step Back Jump shot,3PT Field Goal,Above the Break 3,25,1,Step-backs
2024-25,0022400695,20250202,Cutting Layup Shot,2PT Field Goal,Restricted Area,3,1,Layups
2024-25,0022400695,20250202,Running Layup Shot,2PT Field Goal,Restricted Area,2,1,Layups
2024-25,0022400695,20250202,Jump Shot,3PT Field Goal,Left Corner 3,22,1,Standard jumpers
2024-25,0022400695,20250202,Jump Shot,3PT Field Goal,Right Corner 3,23,0,Standard jumpers
2024-25,0022400695,20250202,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),9,0,Turnarounds/fades
2024-25,0022400695,20250202,Jump Shot,3PT Field Goal,Left Corner 3,23,0,Standard jumpers
2024-25,0022400695,20250202,Running Layup Shot,2PT Field Goal,Restricted Area,2,1,Layups
2024-25,0022400714,20250204,Alley Oop Dunk Shot,2PT Field Goal,In The Paint (Non-RA),4,1,Dunks
2024-25,0022400714,20250204,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),8,1,Layups
2024-25,0022400714,20250204,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),5,1,Layups
2024-25,0022400714,20250204,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),6,1,Layups
2024-25,0022400714,20250204,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),5,1,Layups
2024-25,0022400714,20250204,Dunk Shot,2PT Field Goal,Restricted Area,3,1,Dunks
2024-25,0022400714,20250204,Jump Shot,3PT Field Goal,Left Corner 3,23,1,Standard jumpers
2024-25,0022400714,20250204,Jump Shot,3PT Field Goal,Left Corner 3,23,1,Standard jumpers
2024-25,0022400714,20250204,Jump Shot,3PT Field Goal,Above the Break 3,24,1,Standard jumpers
2024-25,0022400714,20250204,Jump Shot,3PT Field Goal,Above the Break 3,26,1,Standard jumpers
2024-25,0022400723,20250205,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),8,0,Floaters
2024-25,0022400723,20250205,Alley Oop Layup shot,2PT Field Goal,Restricted Area,3,1,Layups
2024-25,0022400723,20250205,Driving Layup Shot,2PT Field Goal,Restricted Area,2,1,Layups
2024-25,0022400723,20250205,Jump Shot,3PT Field Goal,Right Corner 3,22,0,Standard jumpers
2024-25,0022400723,20250205,Jump Shot,3PT Field Goal,Left Corner 3,23,0,Standard jumpers
2024-25,0022400723,20250205,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),6,1,Floaters
2024-25,0022400723,20250205,Cutting Dunk Shot,2PT Field Goal,Restricted Area,1,1,Dunks
2024-25,0022400723,20250205,Jump Shot,3PT Field Goal,Left Corner 3,23,0,Standard jumpers
2024-25,0022400723,20250205,Driving Layup Shot,2PT Field Goal,Restricted Area,1,0,Layups
2024-25,0022400723,20250205,Pullup Jump shot,3PT Field Goal,Above the Break 3,26,0,Pull-ups
2024-25,0022400745,20250208,Step Back Jump shot,3PT Field Goal,Left Corner 3,22,1,Step-backs
2024-25,0022400745,20250208,Cutting Layup Shot,2PT Field Goal,Restricted Area,3,1,Layups
2024-25,0022400745,20250208,Running Layup Shot,2PT Field Goal,Restricted Area,2,1,Layups
2024-25,0022400745,20250208,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),6,0,Layups
2024-25,0022400745,20250208,Driving Layup Shot,2PT Field Goal,Restricted Area,3,1,Layups
2024-25,0022400745,20250208,Running Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),8,1,Layups
2024-25,0022400745,20250208,Driving Dunk Shot,2PT Field Goal,In The Paint (Non-RA),5,1,Dunks
2024-25,0022400745,20250208,Jump Shot,3PT Field Goal,Right Corner 3,23,0,Standard jumpers
2024-25,0022400745,20250208,Driving Layup Shot,2PT Field Goal,Restricted Area,1,0,Layups
2024-25,0022400745,20250208,Jump Shot,3PT Field Goal,Above the Break 3,26,0,Standard jumpers
2024-25,0022400766,20250211,Driving Layup Shot,2PT Field Goal,Restricted Area,0,0,Layups
2024-25,0022400766,20250211,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),6,0,Floaters
2024-25,0022400766,20250211,Running Dunk Shot,2PT Field Goal,Restricted Area,0,1,Dunks
2024-25,0022400766,20250211,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),5,1,Floaters
2024-25,0022400766,20250211,Jump Shot,3PT Field Goal,Right Corner 3,23,1,Standard jumpers
2024-25,0022400766,20250211,Jump Shot,3PT Field Goal,Right Corner 3,22,1,Standard jumpers
2024-25,0022400766,20250211,Running Dunk Shot,2PT Field Goal,Restricted Area,0,1,Dunks
2024-25,0022400775,20250212,Running Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2024-25,0022400775,20250212,Jump Shot,3PT Field Goal,Above the Break 3,25,0,Standard jumpers
2024-25,0022400775,20250212,Driving Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2024-25,0022400775,20250212,Jump Shot,3PT Field Goal,Above the Break 3,25,0,Standard jumpers
2024-25,0022400775,20250212,Jump Shot,3PT Field Goal,Above the Break 3,24,0,Standard jumpers
2024-25,0022400775,20250212,Jump Shot,3PT Field Goal,Right Corner 3,24,0,Standard jumpers
2024-25,0022400775,20250212,Jump Shot,3PT Field Goal,Above the Break 3,25,0,Standard jumpers
2024-25,0022400775,20250212,Cutting Dunk Shot,2PT Field Goal,Restricted Area,0,1,Dunks
2024-25,0022400775,20250212,Cutting Dunk Shot,2PT Field Goal,Restricted Area,0,0,Dunks
2024-25,0022400775,20250212,Jump Shot,3PT Field Goal,Left Corner 3,22,1,Standard jumpers
2024-25,0022400775,20250212,Jump Shot,2PT Field Goal,Mid-Range,16,1,Standard jumpers
2024-25,0022400775,20250212,Jump Shot,3PT Field Goal,Right Corner 3,23,0,Standard jumpers
2024-25,0022400792,20250220,Jump Shot,3PT Field Goal,Right Corner 3,23,0,Standard jumpers
2024-25,0022400792,20250220,Jump Shot,3PT Field Goal,Above the Break 3,24,0,Standard jumpers
2024-25,0022400792,20250220,Jump Shot,3PT Field Goal,Above the Break 3,25,1,Standard jumpers
2024-25,0022400792,20250220,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,3,0,Floaters
2024-25,0022400792,20250220,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2024-25,0022400792,20250220,Jump Shot,3PT Field Goal,Above the Break 3,25,0,Standard jumpers
2024-25,0022400792,20250220,Jump Shot,3PT Field Goal,Right Corner 3,22,0,Standard jumpers
2024-25,0022400792,20250220,Jump Shot,3PT Field Goal,Above the Break 3,24,0,Standard jumpers
2024-25,0022400806,20250222,Running Dunk Shot,2PT Field Goal,In The Paint (Non-RA),6,1,Dunks
