season,player_id,log_name,games_with_and1,and1s,and1s_3pt,and1s_flagrant,and1s_made_ft,player_name,games,off_poss,pbpstats_and1s,per_100,nba_rank,bbr_and1s,diff_bbr,diff_pbpstats
2005-06,2736,Deng,19,21,0,0,12,Luol Deng,78,5031,21,0.41741204531902204,93.0,21.0,0.0,0
2005-06,2768,Duhon,7,7,0,0,4,Chris Duhon,74,4166,7,0.16802688430148824,220.0,7.0,0.0,0
2005-06,2804,Nocioni,18,23,0,0,17,Andres Nocioni,82,4364,23,0.5270394133822182,83.0,23.0,0.0,0
2005-06,101195,Schenscher,1,1,0,0,0,Luke Schenscher,20,293,1,0.3412969283276451,344.0,1.0,0.0,0
2006-07,136,Brown,6,6,0,0,6,P.J. Brown,72,2787,6,0.21528525296017223,265.0,6.0,0.0,0
2006-07,1112,Wallace,15,18,0,0,11,Ben Wallace,77,5223,18,0.3446295232624928,115.0,18.0,0.0,0
2006-07,1559,Griffin,1,1,0,0,1,Adrian Griffin,54,1110,1,0.09009009009009009,363.0,1.0,0.0,0
2006-07,2124,Allen,4,4,0,0,4,Malik Allen,60,1236,4,0.32362459546925565,292.0,4.0,0.0,0
2006-07,2550,Hinrich,23,27,1,0,22,Kirk Hinrich,80,5545,27,0.48692515779981965,65.0,27.0,0.0,0
2006-07,2552,Sweetney,10,12,0,0,5,Michael Sweetney,48,763,12,1.5727391874180865,,,,0
2006-07,2732,Gordon,21,28,2,0,24,Ben Gordon,82,5301,28,0.5282022259950953,59.0,28.0,0.0,0
2006-07,2736,Deng,33,39,0,1,27,Luol Deng,82,5990,39,0.6510851419031719,32.0,38.0,1.0,0
2006-07,2768,Duhon,7,7,1,0,6,Chris Duhon,78,3701,7,0.18913807079167794,246.0,7.0,0.0,0
2006-07,2804,Nocioni,13,16,0,0,12,Andres Nocioni,53,2759,16,0.5799202609641174,128.0,16.0,0.0,0
2006-07,200748,Thomas,9,10,0,0,8,Tyrus Thomas,72,1906,10,0.5246589716684156,204.0,10.0,0.0,0
2006-07,200757,Sefolosha,5,5,0,0,3,Thabo Sefolosha,71,1720,5,0.29069767441860467,278.0,5.0,0.0,0
2007-08,693,Smith,9,9,0,0,8,Joe Smith,50,2191,9,0.4107713372889092,157.0,9.0,0.0,0
2007-08,1112,Wallace,8,9,0,0,2,Ben Wallace,50,3080,9,0.2922077922077922,165.0,9.0,0.0,0
2007-08,1559,Griffin,1,1,0,0,0,Adrian Griffin,22,422,1,0.23696682464454977,298.0,1.0,0.0,0
2007-08,1716,Hughes,2,3,0,0,2,Larry Hughes,28,1611,3,0.186219739292365,184.0,3.0,0.0,0
2007-08,2400,Gooden,6,7,0,0,6,Drew Gooden,18,1092,7,0.6410256410256411,81.0,7.0,0.0,0
2007-08,2550,Hinrich,7,8,1,0,5,Kirk Hinrich,75,4589,8,0.1743299193724123,200.0,8.0,0.0,0
2007-08,2732,Gordon,16,20,2,0,17,Ben Gordon,72,4481,20,0.4463289444320464,102.0,20.0,0.0,0
2007-08,2736,Deng,24,28,0,0,22,Luol Deng,63,4125,28,0.6787878787878788,56.0,28.0,0.0,0
2007-08,2768,Duhon,5,6,0,0,4,Chris Duhon,66,2893,6,0.20739716557207052,236.0,6.0,0.0,0
2007-08,2804,Nocioni,22,25,0,0,24,Andres Nocioni,82,3959,25,0.6314725940894165,70.0,25.0,0.0,0
2007-08,200748,Thomas,10,10,0,0,6,Tyrus Thomas,74,2573,10,0.388651379712398,177.0,10.0,0.0,0
2007-08,200757,Sefolosha,8,8,0,0,6,Thabo Sefolosha,69,2796,8,0.2861230329041488,200.0,8.0,0.0,0
2007-08,201149,Noah,13,13,0,0,10,Joakim Noah,74,2974,13,0.4371217215870881,142.0,13.0,0.0,0
2007-08,201189,Gray,12,13,0,0,8,Aaron Gray,61,1189,13,1.0933557611438183,142.0,13.0,0.0,0
2008-09,283,Hunter,1,1,0,0,1,Lindsey Hunter,28,499,1,0.20040080160320642,347.0,1.0,0.0,0
2008-09,1501,Thomas,2,2,0,0,1,Tim Thomas,18,490,2,0.40816326530612246,154.0,2.0,0.0,0
2008-09,1716,Hughes,4,4,0,0,2,Larry Hughes,30,1544,4,0.25906735751295334,207.0,4.0,0.0,0
2008-09,1802,Miller,12,14,0,0,11,Brad Miller,27,1458,14,0.9602194787379973,61.0,15.0,-1.0,0
2008-09,2400,Gooden,9,11,0,0,10,Drew Gooden,31,1769,11,0.6218202374222724,137.0,11.0,0.0,0
2008-09,2422,Salmons,9,17,0,0,14,John Salmons,26,1891,17,0.8989952406134321,22.0,17.0,0.0,0
2008-09,2550,Hinrich,3,3,0,0,3,Kirk Hinrich,51,2619,3,0.1145475372279496,294.0,3.0,0.0,0
2008-09,2732,Gordon,26,37,3,0,32,Ben Gordon,82,5857,37,0.6317227249445109,35.0,37.0,0.0,0
2008-09,2736,Deng,10,11,0,0,8,Luol Deng,49,3242,11,0.3392967304133251,175.0,11.0,0.0,0
2008-09,2804,Nocioni,9,10,1,0,6,Andres Nocioni,53,2473,10,0.4043671653861706,148.0,10.0,0.0,0
2008-09,200748,Thomas,21,21,0,0,15,Tyrus Thomas,79,4206,21,0.4992867332382311,86.0,21.0,0.0,0
2008-09,200757,Sefolosha,2,2,0,0,2,Thabo Sefolosha,43,1422,2,0.14064697609001406,250.0,2.0,0.0,0
2008-09,200759,Simmons,2,2,0,0,0,Cedric Simmons,11,121,2,1.6528925619834711,321.0,2.0,0.0,0
2008-09,201149,Noah,18,21,0,0,13,Joakim Noah,80,3697,21,0.5680281309169597,86.0,21.0,0.0,0
2008-09,201189,Gray,4,6,0,0,6,Aaron Gray,56,1425,6,0.42105263157894735,231.0,6.0,0.0,0
2008-09,201565,Rose,27,35,0,0,27,Derrick Rose,81,5834,35,0.5999314364072678,40.0,35.0,0.0,0
2009-10,1802,Miller,18,24,0,0,24,Brad Miller,82,3807,24,0.6304176516942475,79.0,24.0,0.0,0
2009-10,2422,Salmons,10,14,0,0,11,John Salmons,51,3261,14,0.42931616068690587,55.0,14.0,0.0,0
2009-10,2436,Murray,3,3,0,0,1,Flip Murray,29,1312,3,0.22865853658536586,,,,0
2009-10,2457,Pargo,4,4,0,0,3,Jannero Pargo,63,1612,4,0.24813895781637718,289.0,4.0,0.0,0
2009-10,2550,Hinrich,8,10,0,0,6,Kirk Hinrich,74,4832,10,0.20695364238410596,193.0,10.0,0.0,0
2009-10,2736,Deng,29,32,0,0,25,Luol Deng,70,5127,32,0.6241466744685001,49.0,32.0,0.0,0
2009-10,101124,Warrick,7,8,0,0,5,Hakim Warrick,28,1026,8,0.7797270955165692,79.0,8.0,0.0,0
2009-10,200748,Thomas,10,10,0,0,7,Tyrus Thomas,29,1347,10,0.7423904974016332,118.0,10.0,0.0,0
2009-10,201149,Noah,15,16,0,0,11,Joakim Noah,64,3674,16,0.43549265106151336,127.0,16.0,0.0,0
2009-10,201151,Law,1,1,0,0,1,Acie Law,12,266,1,0.37593984962406013,304.0,1.0,0.0,0
2009-10,201181,Richard,1,1,0,0,1,Chris Richard,18,440,1,0.22727272727272727,358.0,1.0,0.0,0
2009-10,201189,Gray,1,1,0,0,0,Aaron Gray,8,93,1,1.075268817204301,331.0,1.0,0.0,0
2009-10,201565,Rose,28,31,0,0,23,Derrick Rose,78,5554,31,0.5581562837594527,51.0,31.0,0.0,0
2009-10,201949,Johnson,9,12,0,0,7,James Johnson,65,1494,12,0.8032128514056225,168.0,12.0,0.0,0
2009-10,201959,Gibson,17,18,0,0,8,Taj Gibson,82,4223,18,0.4262372720814587,111.0,18.0,0.0,0
2010-11,703,Thomas,2,3,0,0,2,Kurt Thomas,52,2197,3,0.13654984069185253,307.0,3.0,0.0,0
2010-11,2430,Boozer,26,36,0,0,23,Carlos Boozer,59,3543,36,1.0160880609652836,35.0,36.0,0.0,0
2010-11,2594,Korver,1,1,0,0,1,Kyle Korver,82,3139,1,0.03185727938834024,364.0,1.0,0.0,0
2010-11,2736,Deng,28,30,0,0,22,Luol Deng,82,6031,30,0.497429945282706,46.0,30.0,0.0,0
