season,season_end_year,player_id,player_name,bench_games,total_games,bench_game_share,bench_minutes,bench_points,bench_points_per_game,bench_minutes_per_game,total_points,qualified
2006-07,2007,2857,Andre Barrett,6,6,1.0,28.525,8,1.3333333333333333,4.754166666666666,8,True
2006-07,2007,2804,Andres Nocioni,22,53,0.41509433962264153,495.5783333333333,226,10.272727272727273,22.52628787878788,749,False
2006-07,2007,2732,Ben Gordon,31,82,0.3780487804878049,962.9933333333332,699,22.548387096774192,31.064301075268812,1753,False
2006-07,2007,2768,Chris Duhon,48,78,0.6153846153846154,1076.62,360,7.5,22.42958333333333,558,False
2006-07,2007,2124,Malik Allen,59,60,0.9833333333333333,611.085,230,3.8983050847457625,10.357372881355932,242,True
2006-07,2007,2552,Michael Sweetney,48,48,1.0,385.27,153,3.1875,8.026458333333332,153,True
2006-07,2007,136,P.J. Brown,23,72,0.3194444444444444,337.0683333333333,93,4.043478260869565,14.65514492753623,436,False
2006-07,2007,200757,Thabo Sefolosha,67,71,0.9436619718309859,758.08,229,3.417910447761194,11.314626865671642,256,True
2006-07,2007,200748,Tyrus Thomas,68,72,0.9444444444444444,884.8816666666667,343,5.044117647058823,13.01296568627451,374,True
2006-07,2007,2751,Viktor Khryapa,33,33,1.0,230.82666666666665,73,2.212121212121212,6.9947474747474745,73,True
2007-08,2008,201189,Aaron Gray,60,61,0.9836065573770492,577.9483333333334,243,4.05,9.632472222222223,262,True
2007-08,2008,1559,Adrian Griffin,20,22,0.9090909090909091,199.59833333333333,49,2.45,9.979916666666666,51,True
2007-08,2008,2804,Andres Nocioni,55,82,0.6707317073170732,1173.1683333333333,638,11.6,21.330333333333332,1080,False
2007-08,2008,2732,Ben Gordon,45,72,0.625,1323.2233333333334,867,19.266666666666666,29.404962962962962,1336,False
2007-08,2008,200759,Cedric Simmons,7,7,1.0,19.06833333333333,4,0.5714285714285714,2.7240476190476186,4,True
2007-08,2008,2768,Chris Duhon,48,66,0.7272727272727273,949.8366666666668,268,5.583333333333333,19.788263888888892,385,True
2007-08,2008,201193,Demetris Nichols,11,11,1.0,30.28,13,1.1818181818181819,2.752727272727273,13,True
2007-08,2008,2400,Drew Gooden,4,18,0.2222222222222222,111.405,44,11.0,27.85125,252,False
2007-08,2008,201149,Joakim Noah,43,74,0.581081081081081,655.4666666666667,203,4.72093023255814,15.243410852713179,488,False
