season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url,team_game_date,team_matchup,team_result,team_points,team_plus_minus,decade,first_nba_season_end,first_bulls_season_end,debut_rule,is_debut,rookie_season,status
1986,1985–86,1091,Mike Smrek,0028500048,1985-11-02,CHI @ SEA,SEA,L,12.0,2,1,2.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,,-1.2000000000000002,50.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1985-86&SeasonType=Regular%20Season&TeamID=1610612741,1985-11-02,CHI @ SEA,L,100,,1980s,1986,1986,entered NBA 1983-84 or later,True,True,debut
1986,1985–86,76249,Ron Brewer,0028500087,1985-11-09,CHI @ NYK,NYK,W,1.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,-1.0,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1985-86&SeasonType=Regular%20Season&TeamID=1610612741,1985-11-09,CHI @ NYK,W,97,,1980s,1979,1986,career team history,True,False,debut
1986,1985–86,77047,Michael Holton,0028500582,1986-02-12,CHI @ PHL,PHL,L,5.0,1,0,1.0,0.0,1.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,-1.5,26.595744680851062,https://www.nba.com/stats/players/boxscores-traditional?Season=1985-86&SeasonType=Regular%20Season&TeamID=1610612741,1986-02-12,CHI @ PHL,L,98,,1980s,1985,1986,entered NBA 1983-84 or later,True,False,debut
1986,1985–86,76268,Tony Brown,0028500640,1986-02-22,CHI vs. SEA,SEA,W,12.0,2,1,2.0,0.0,0.0,0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,,3.9999999999999996,50.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1985-86&SeasonType=Regular%20Season&TeamID=1610612741,1986-02-22,CHI vs. SEA,W,129,,1980s,1985,1986,entered NBA 1983-84 or later,True,False,debut
1987,1986–87,306,Steve Colter,0028600014,1986-11-01,CHI @ NYK,NYK,W,37.0,7,1,7.0,0.0,1.0,5,6.0,0.0,2.0,2.0,10.0,2.0,0.0,1.0,3.0,,9.5,36.30705394190871,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741,1986-11-01,CHI @ NYK,W,108,,1980s,1985,1987,entered NBA 1983-84 or later,True,False,debut
1987,1986–87,1479,Mike Brown,0028600014,1986-11-01,CHI @ NYK,NYK,W,6.0,0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,,-1.5,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741,1986-11-01,CHI @ NYK,W,108,,1980s,1987,1987,entered NBA 1983-84 or later,True,True,debut
1987,1986–87,940,Earl Cureton,0028600014,1986-11-01,CHI @ NYK,NYK,W,34.0,17,8,16.0,0.0,0.0,1,2.0,9.0,4.0,13.0,1.0,0.0,0.0,1.0,4.0,,14.199999999999998,50.355450236966824,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741,1986-11-01,CHI @ NYK,W,108,,1980s,1981,1987,career team history,True,False,debut
1987,1986–87,78110,Brad Sellers,0028600014,1986-11-01,CHI @ NYK,NYK,W,25.0,8,4,8.0,0.0,0.0,0,0.0,3.0,5.0,8.0,1.0,0.0,2.0,0.0,4.0,,8.1,50.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741,1986-11-01,CHI @ NYK,W,108,,1980s,1987,1987,entered NBA 1983-84 or later,True,True,debut
1987,1986–87,78430,Granville Waiters,0028600014,1986-11-01,CHI @ NYK,NYK,W,19.0,2,1,2.0,0.0,0.0,0,0.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,5.0,,2.3999999999999995,50.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741,1986-11-01,CHI @ NYK,W,108,,1980s,1984,1987,entered NBA 1983-84 or later,True,False,debut
1987,1986–87,78378,Elston Turner,0028600022,1986-11-02,CHI @ CLE,CLE,W,10.0,4,2,4.0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,1.6,50.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741,1986-11-02,CHI @ CLE,W,94,,1980s,1982,1987,career team history,True,False,debut
1987,1986–87,76543,Darren Daye,0028600044,1986-11-07,CHI @ DET,DET,L,7.0,0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,,-0.8,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741,1986-11-07,CHI @ DET,L,109,,1980s,1984,1987,entered NBA 1983-84 or later,True,False,debut
1987,1986–87,939,Pete Myers,0028600179,1986-12-02,CHI @ SEA,SEA,W,4.0,0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.3,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741,1986-12-02,CHI @ SEA,W,115,,1980s,1987,1987,entered NBA 1983-84 or later,True,True,debut
1987,1986–87,9,Sedale Threatt,0028600343,1987-01-02,CHI @ BOS,BOS,L,18.0,6,3,7.0,0.0,1.0,0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,1.0,2.0,,5.6000000000000005,42.857142857142854,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741,1987-01-02,CHI @ BOS,L,99,,1980s,1984,1987,entered NBA 1983-84 or later,True,False,debut
1987,1986–87,76411,Fred Cofield,0028600414,1987-01-15,CHI vs. HOU,HOU,L,1.0,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.7,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741,1987-01-15,CHI vs. HOU,L,96,,1980s,1986,1987,entered NBA 1983-84 or later,True,False,debut
1987,1986–87,78635,Perry Young,0028600498,1987-01-30,CHI @ PHL,PHL,L,11.0,3,1,3.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,1.1000000000000003,38.659793814432994,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741,1987-01-30,CHI @ PHL,L,112,,1980s,1987,1987,entered NBA 1983-84 or later,True,True,debut
