SEASON,PLAYER_ID,PLAYER_NAME,GP,TOTAL_FGA,FGA,FGM,OTHER_FGA,FGA_SHARE,ATT_G,FG_PCT,PPS,EXCLUDED_HEAVES,RANK
2019-20,1629632,Coby White,65,792,48,18,744,0.06060606060606061,0.7384615384615385,0.375,0.75,1,48
2017-18,1628021,David Nwaba,70,423,39,17,384,0.09219858156028368,0.5571428571428572,0.4358974358974359,0.8717948717948718,0,49
2021-22,203897,Zach LaVine,67,1186,29,16,1157,0.024451939291736932,0.43283582089552236,0.5517241379310345,1.103448275862069,0,50
2019-20,1627739,Kris Dunn,51,342,41,16,301,0.11988304093567251,0.803921568627451,0.3902439024390244,0.7804878048780488,0,50
2019-20,201152,Thaddeus Young,64,601,52,16,549,0.08652246256239601,0.8125,0.3076923076923077,0.6153846153846154,0,50
2019-20,203490,Otto Porter Jr.,14,140,22,15,118,0.15714285714285714,1.5714285714285714,0.6818181818181818,1.3636363636363635,0,53
2018-19,1628976,Wendell Carter Jr.,44,371,28,14,343,0.07547169811320754,0.6363636363636364,0.5,1.0,0,54
2024-25,1630200,Tre Jones,18,145,31,14,114,0.21379310344827587,1.7222222222222223,0.45161290322580644,0.9032258064516129,0,54
2016-17,203487,Michael Carter-Williams,45,306,38,14,268,0.12418300653594772,0.8444444444444444,0.3684210526315789,0.7368421052631579,0,54
2018-19,203897,Zach LaVine,63,1135,43,13,1092,0.03788546255506608,0.6825396825396826,0.3023255813953488,0.6046511627906976,1,57
2023-24,1627936,Alex Caruso,71,541,24,12,517,0.04436229205175601,0.3380281690140845,0.5,1.0,0,58
2017-18,201577,Robin Lopez,64,645,25,12,620,0.03875968992248062,0.390625,0.48,0.96,0,58
2017-18,1626166,Cameron Payne,25,215,34,12,181,0.15813953488372093,1.36,0.35294117647058826,0.7058823529411765,0,58
2016-17,202703,Nikola Mirotic,70,625,17,11,608,0.0272,0.24285714285714285,0.6470588235294118,1.2941176470588236,0,61
2018-19,1626171,Bobby Portis Jr.,22,271,19,11,252,0.07011070110701106,0.8636363636363636,0.5789473684210527,1.1578947368421053,0,61
2023-24,203083,Andre Drummond,79,480,23,11,457,0.04791666666666667,0.2911392405063291,0.4782608695652174,0.9565217391304348,0,61
2021-22,1629750,Javonte Green,65,325,25,11,300,0.07692307692307693,0.38461538461538464,0.44,0.88,0,61
2016-17,203926,Doug McDermott,44,373,25,11,348,0.06702412868632708,0.5681818181818182,0.44,0.88,0,61
