season,season_label,player_id,player_name,games,minutes,minutes_per_game,possessions,points,rebounds,assists,steals,blocks,turnovers,field_goal_attempts,ppg,points_per_75,pra,pra_per_75,obpm,dbpm,bpm,vorp,ws,ts_pct,qualified_0,qualified_300,qualified_500,qualified_750,qualified_1000,rank_bpm_0,rank_vorp_0,rank_ppg_0,rank_pra_per_75_0,rank_bpm_300,rank_vorp_300,rank_ppg_300,rank_pra_per_75_300,rank_bpm_500,rank_vorp_500,rank_ppg_500,rank_pra_per_75_500,rank_bpm_750,rank_vorp_750,rank_ppg_750,rank_pra_per_75_750,rank_bpm_1000,rank_vorp_1000,rank_ppg_1000,rank_pra_per_75_1000,rim_fga,paint_non_rim_fga,midrange_fga,left_corner_three_fga,right_corner_three_fga,above_break_three_fga,backcourt_fga,three_fga,shot_zone_fga,rim_attempt_share,three_attempt_share,team_wins,team_losses,team_games,previous_team_wins,previous_team_games,team_win_change,team_win_pct,previous_team_win_pct,team_win_pct_change,rank_ws_0,rank_ws_300,rank_ws_500,rank_ws_750,rank_ws_1000,league_ts_pct,ts_rel
2005,2004-05,2804,Andres Nocioni,81,1895.4983333333332,23.401213991769545,3753,677,386,122,37,34,135,601,8.358024691358025,13.529176658673062,1185,23.6810551558753,-3.2,1.1,-2.0,0.0,2.5,0.484,True,True,True,True,True,23.0,17.0,16.0,26.0,15.0,15.0,16.0,20.0,13.0,13.0,16.0,18.0,12.0,12.0,16.0,16.0,10.0,10.0,16.0,15.0,185,112,207,5.0,31.0,61,0.0,97.0,601.0,0.3078202995008319,0.1613976705490848,47,35,82,23.0,82.0,24.0,0.573170731707317,0.2804878048780488,0.2926829268292682,12.0,12.0,12.0,12.0,11.0,0.5294055913399502,-4.540559133995026
2020,2019-20,1629632,Coby White,65,1674.0,25.753846153846155,3573,859,230,175,49,6,109,792,13.215384615384616,18.03106633081444,1264,26.532325776658272,-1.3,-1.6,-2.9,-0.4,0.9,0.506,True,True,True,True,True,34.0,62.0,4.0,14.0,26.0,34.0,4.0,10.0,24.0,27.0,4.0,9.0,23.0,23.0,4.0,8.0,18.0,17.0,4.0,8.0,228,78,110,41.0,15.0,319,1.0,376.0,792.0,0.2878787878787879,0.4747474747474747,22,43,65,22.0,82.0,,0.3384615384615385,0.2682926829268293,0.0701688555347092,25.0,25.0,23.0,22.0,20.0,0.565,-5.899999999999994
2005,2004-05,2736,Luol Deng,61,1661.07,27.23065573770492,3277,711,322,135,48,27,118,645,11.655737704918034,16.27250534025023,1168,26.731766859932865,0.2,1.0,1.2,1.3,3.0,0.496,True,True,True,True,True,4.0,3.0,6.0,12.0,2.0,3.0,6.0,8.0,2.0,3.0,6.0,8.0,2.0,3.0,6.0,7.0,2.0,3.0,6.0,7.0,230,66,232,16.0,31.0,70,0.0,117.0,645.0,0.3565891472868217,0.1813953488372093,47,35,82,23.0,82.0,24.0,0.573170731707317,0.2804878048780488,0.2926829268292682,9.0,9.0,9.0,9.0,9.0,0.5294055913399502,-3.3405591339950247
2015,2014-15,202703,Nikola Mirotic,82,1654.121666666667,20.172215447154475,3256,833,404,97,54,54,89,624,10.158536585365852,19.18765356265356,1334,30.72788697788698,1.4,1.0,2.3,1.8,5.7,0.556,True,True,True,True,True,2.0,1.0,8.0,2.0,1.0,1.0,8.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,8.0,1.0,182,34,95,48.0,46.0,218,1.0,313.0,624.0,0.2916666666666667,0.5016025641025641,50,32,82,48.0,82.0,2.0,0.6097560975609756,0.5853658536585366,0.024390243902439,1.0,1.0,1.0,1.0,1.0,0.534,2.200000000000002
2001,2000-01,2033,Marcus Fizer,72,1581.3533333333332,21.96324074074074,3033,683,313,76,30,19,124,646,9.48611111111111,16.88921859545005,1072,26.508407517309596,-3.3,-2.8,-6.1,-1.6,-0.7,0.476,True,True,True,True,True,60.0,76.0,10.0,15.0,45.0,46.0,10.0,11.0,37.0,38.0,10.0,10.0,32.0,32.0,10.0,9.0,23.0,23.0,10.0,9.0,213,122,272,0.0,4.0,33,2.0,39.0,646.0,0.3297213622291021,0.0603715170278637,15,67,82,17.0,82.0,-2.0,0.1829268292682926,0.2073170731707317,-0.024390243902439,74.0,45.0,37.0,31.0,22.0,0.5178567425403124,-4.185674254031246
2008,2007-08,201149,Joakim Noah,74,1533.715,20.725878378378376,3029,488,416,84,68,64,89,367,6.594594594594595,12.0831957741829,988,24.46351931330472,-1.2,1.0,-0.2,0.7,3.8,0.539,True,True,True,True,True,9.0,7.0,20.0,20.0,5.0,7.0,20.0,15.0,4.0,7.0,19.0,14.0,4.0,7.0,19.0,13.0,4.0,7.0,19.0,12.0,276,54,36,0.0,0.0,1,0.0,1.0,367.0,0.7520435967302452,0.0027247956403269,33,49,82,49.0,82.0,-16.0,0.4024390243902439,0.5975609756097561,-0.1951219512195121,6.0,6.0,6.0,6.0,6.0,0.5402422462662976,-0.1242246266297542
2025,2024-25,1641824,Matas Buzelis,80,1511.295,18.8911875,3328,688,278,79,29,75,74,555,8.6,15.504807692307692,1045,23.55018028846154,-2.0,-0.5,-2.5,-0.2,1.9,0.571,True,True,True,True,True,30.0,47.0,15.0,27.0,22.0,23.0,15.0,21.0,20.0,20.0,15.0,19.0,19.0,19.0,15.0,17.0,15.0,14.0,15.0,16.0,205,67,17,81.0,54.0,131,0.0,266.0,555.0,0.3693693693693693,0.4792792792792792,39,43,82,39.0,82.0,0.0,0.4756097560975609,0.4756097560975609,0.0,15.0,15.0,15.0,15.0,13.0,0.576,-0.5000000000000004
2002,2001-02,2199,Tyson Chandler,71,1392.8166666666666,19.617136150234742,2734,436,343,54,28,93,99,304,6.140845070422535,11.960497439648869,833,22.851133869787855,-3.3,-0.2,-3.5,-0.5,1.8,0.543,True,True,True,True,True,40.0,68.0,23.0,30.0,31.0,39.0,23.0,23.0,28.0,31.0,22.0,20.0,26.0,27.0,22.0,18.0,20.0,20.0,20.0,17.0,205,43,56,0.0,0.0,0,0.0,0.0,304.0,0.6743421052631579,0.0,21,61,82,15.0,82.0,6.0,0.2560975609756097,0.1829268292682926,0.073170731707317,18.0,18.0,18.0,17.0,15.0,0.5202897487957688,2.27102512042312
2014,2013-14,203503,Tony Snell,77,1230.7066666666667,15.983203463203465,2363,346,124,68,29,15,44,336,4.4935064935064934,10.98180279305967,538,17.075751163774864,-3.1,0.5,-2.6,-0.2,1.6,0.489,True,True,True,True,True,31.0,47.0,35.0,61.0,23.0,23.0,33.0,43.0,21.0,20.0,32.0,37.0,20.0,19.0,29.0,32.0,16.0,14.0,23.0,23.0,61,31,66,20.0,26.0,132,0.0,178.0,336.0,0.181547619047619,0.5297619047619048,48,34,82,45.0,82.0,3.0,0.5853658536585366,0.5487804878048781,0.0365853658536584,20.0,20.0,20.0,19.0,17.0,0.541,-5.200000000000005
2002,2001-02,2201,Eddy Curry,72,1150.7783333333334,15.983032407407409,2238,483,272,25,16,53,69,377,6.708333333333333,16.18632707774799,780,26.13941018766756,-2.4,-1.9,-4.4,-0.7,1.8,0.54,True,True,True,True,True,48.0,74.0,19.0,17.0,37.0,44.0,19.0,13.0,33.0,36.0,18.0,12.0,29.0,31.0,18.0,11.0,21.0,22.0,18.0,10.0,248,61,68,0.0,0.0,0,0.0,0.0,377.0,0.6578249336870027,0.0,21,61,82,15.0,82.0,6.0,0.2560975609756097,0.1829268292682926,0.073170731707317,18.0,18.0,18.0,17.0,15.0,0.5202897487957688,1.97102512042312
2019,2018-19,1628976,Wendell Carter Jr.,44,1109.8,25.222727272727273,2282,455,307,78,26,58,65,371,10.340909090909092,14.95398773006135,840,27.607361963190183,-2.2,0.6,-1.6,0.1,1.9,0.541,True,True,True,True,True,18.0,11.0,7.0,10.0,13.0,11.0,7.0,7.0,11.0,10.0,7.0,7.0,10.0,10.0,7.0,6.0,9.0,9.0,7.0,6.0,163,85,91,10.0,4.0,18,0.0,32.0,371.0,0.4393530997304582,0.0862533692722372,22,60,82,27.0,82.0,-5.0,0.2682926829268293,0.3292682926829268,-0.0609756097560975,15.0,15.0,15.0,15.0,13.0,0.56,-1.9000000000000017
2016,2015-16,1626171,Bobby Portis Jr.,62,1102.08,17.77548387096774,2234,436,337,52,25,22,54,436,7.032258064516129,14.637421665174577,825,27.69695613249776,-1.5,-1.8,-3.3,-0.4,1.5,0.469,True,True,True,True,True,36.0,62.0,18.0,9.0,27.0,34.0,18.0,6.0,25.0,27.0,17.0,6.0,24.0,23.0,17.0,5.0,19.0,17.0,17.0,5.0,157,76,151,7.0,1.0,43,1.0,52.0,436.0,0.360091743119266,0.1192660550458715,42,40,82,50.0,82.0,-8.0,0.5121951219512195,0.6097560975609756,-0.097560975609756,21.0,21.0,21.0,20.0,18.0,0.541,-7.200000000000006
2001,2000-01,2037,Jamal Crawford,61,1046.621666666667,17.157732240437163,2028,282,89,141,43,14,85,304,4.622950819672131,10.428994082840235,512,18.93491124260355,-2.9,-1.5,-4.4,-0.6,-0.9,0.442,True,True,True,True,True,48.0,72.0,34.0,54.0,37.0,42.0,32.0,39.0,33.0,34.0,31.0,34.0,29.0,30.0,28.0,29.0,21.0,21.0,22.0,22.0,41,25,121,3.0,5.0,108,1.0,117.0,304.0,0.1348684210526315,0.3848684210526316,15,67,82,17.0,82.0,-2.0,0.1829268292682926,0.2073170731707317,-0.024390243902439,76.0,46.0,38.0,32.0,23.0,0.5178567425403124,-7.585674254031244
2011,2010-11,201600,Omer Asik,82,989.4483333333334,12.066443089430894,1911,229,306,32,20,56,64,141,2.792682926829268,8.987441130298274,567,22.252747252747252,-3.6,1.8,-1.8,0.1,2.7,0.559,True,True,True,True,False,21.0,11.0,48.0,34.0,14.0,11.0,40.0,25.0,12.0,10.0,37.0,22.0,11.0,10.0,32.0,20.0,,,,,135,5,1,0.0,0.0,0,0.0,0.0,141.0,0.9574468085106383,0.0,62,20,82,41.0,82.0,21.0,0.7560975609756098,0.5,0.2560975609756097,11.0,11.0,11.0,11.0,,0.541,1.8000000000000016
2017,2016-17,1627756,Denzel Valentine,57,976.5283333333332,17.13207602339181,1987,291,151,63,30,7,49,288,5.105263157894737,10.983895319577252,505,19.061399094111728,-3.5,0.1,-3.3,-0.3,0.6,0.492,True,True,True,True,False,36.0,56.0,31.0,51.0,27.0,29.0,30.0,37.0,25.0,25.0,29.0,32.0,24.0,22.0,27.0,28.0,,,,,24,29,27,32.0,34.0,141,1.0,208.0,288.0,0.0833333333333333,0.7222222222222222,41,41,82,42.0,82.0,-1.0,0.5,0.5121951219512195,-0.0121951219512195,31.0,31.0,29.0,26.0,,0.552,-6.000000000000005
2007,2006-07,200748,Tyrus Thomas,72,966.235,13.419930555555556,1958,374,269,40,46,76,94,282,5.194444444444445,14.325842696629213,683,26.161899897854955,-4.1,3.1,-1.0,0.2,2.2,0.521,True,True,True,True,False,15.0,9.0,29.0,16.0,10.0,9.0,28.0,12.0,9.0,9.0,27.0,11.0,9.0,9.0,26.0,10.0,,,,,185,32,63,0.0,1.0,1,0.0,2.0,282.0,0.6560283687943262,0.0070921985815602,49,33,82,41.0,82.0,8.0,0.5975609756097561,0.5,0.097560975609756,14.0,14.0,14.0,14.0,,0.5414649261250658,-2.0464926125065785
2001,2000-01,2064,Khalid El-Amin,50,935.335,18.7067,1792,314,81,145,48,2,54,311,6.28,13.141741071428571,540,22.600446428571427,-1.7,-0.7,-2.4,-0.1,0.6,0.458,True,True,True,True,False,27.0,34.0,21.0,32.0,19.0,19.0,21.0,24.0,17.0,17.0,20.0,21.0,16.0,16.0,20.0,19.0,,,,,82,35,111,9.0,2.0,72,0.0,83.0,311.0,0.2636655948553054,0.2668810289389067,15,67,82,17.0,82.0,-2.0,0.1829268292682926,0.2073170731707317,-0.024390243902439,31.0,31.0,29.0,26.0,,0.5178567425403124,-5.985674254031243
2004,2003-04,2648,Ronald Dupree,47,901.7766666666666,19.18673758865248,1798,292,167,55,32,18,51,282,6.212765957446808,12.180200222469413,514,21.440489432703004,-4.1,-0.1,-4.3,-0.5,0.5,0.445,True,True,True,True,False,46.0,68.0,22.0,35.0,36.0,39.0,22.0,26.0,32.0,31.0,21.0,23.0,28.0,27.0,21.0,21.0,,,,,107,33,133,4.0,4.0,1,0.0,9.0,282.0,0.3794326241134751,0.0319148936170212,23,59,82,30.0,82.0,-7.0,0.2804878048780488,0.3658536585365853,-0.0853658536585365,34.0,34.0,32.0,29.0,,0.51619672389625,-7.119672389625004
2019,2018-19,1628990,Chandler Hutchison,44,894.615,20.33215909090909,1871,229,185,34,23,6,25,209,5.204545454545454,9.179583110636024,448,17.958311063602352,-3.4,-0.5,-3.9,-0.4,0.6,0.507,True,True,True,True,False,42.0,62.0,28.0,57.0,33.0,34.0,27.0,41.0,30.0,27.0,26.0,35.0,27.0,23.0,25.0,30.0,,,,,101,40,19,14.0,9.0,23,3.0,49.0,209.0,0.4832535885167464,0.2344497607655502,22,60,82,27.0,82.0,-5.0,0.2682926829268293,0.3292682926829268,-0.0609756097560975,31.0,31.0,29.0,26.0,,0.56,-5.300000000000004
2007,2006-07,200757,Thabo Sefolosha,71,867.9233333333333,12.224272300469485,1765,256,153,60,33,11,60,256,3.6056338028169015,10.878186968838529,469,19.929178470254957,-4.2,1.6,-2.6,-0.1,0.8,0.464,True,True,True,True,False,31.0,34.0,42.0,43.0,23.0,19.0,37.0,30.0,21.0,17.0,36.0,26.0,20.0,16.0,31.0,23.0,,,,,87,21,106,8.0,7.0,27,0.0,42.0,256.0,0.33984375,0.1640625,49,33,82,41.0,82.0,8.0,0.5975609756097561,0.5,0.097560975609756,27.0,27.0,25.0,23.0,,0.5414649261250658,-7.746492612506578
2017,2016-17,1627835,Paul Zipser,44,843.38,19.167727272727273,1701,240,125,36,15,16,40,221,5.454545454545454,10.582010582010582,401,17.680776014109348,-4.2,-0.2,-4.4,-0.5,0.5,0.503,True,True,True,True,False,48.0,68.0,26.0,59.0,37.0,39.0,26.0,42.0,33.0,31.0,25.0,36.0,29.0,27.0,24.0,31.0,,,,,56,18,48,23.0,18.0,56,2.0,99.0,221.0,0.253393665158371,0.4479638009049774,41,41,82,42.0,82.0,-1.0,0.5,0.5121951219512195,-0.0121951219512195,34.0,34.0,32.0,29.0,,0.552,-4.900000000000004
2010,2009-10,201949,James Johnson,65,757.1766666666666,11.648871794871797,1535,256,128,48,21,43,62,210,3.9384615384615382,12.50814332247557,432,21.107491856677523,-4.0,1.5,-2.4,-0.1,0.8,0.532,True,True,True,True,False,27.0,34.0,39.0,37.0,19.0,19.0,36.0,27.0,17.0,17.0,35.0,24.0,16.0,16.0,30.0,22.0,,,,,105,13,46,12.0,10.0,23,1.0,46.0,210.0,0.5,0.219047619047619,41,41,82,41.0,82.0,0.0,0.5,0.5,0.0,27.0,27.0,25.0,23.0,,0.543,-1.100000000000001
2004,2003-04,2669,Linton Johnson,41,732.4466666666667,17.864552845528458,1465,173,183,27,37,32,37,203,4.219512195121951,8.856655290102388,383,19.607508532423207,-4.4,1.1,-3.3,-0.2,0.4,0.394,True,True,True,False,False,36.0,47.0,37.0,45.0,27.0,23.0,35.0,32.0,25.0,20.0,34.0,27.0,,,,,,,,,66,16,88,5.0,8.0,19,1.0,33.0,203.0,0.3251231527093596,0.1625615763546798,23,59,82,30.0,82.0,-7.0,0.2804878048780488,0.3658536585365853,-0.0853658536585365,38.0,37.0,34.0,,,0.51619672389625,-12.219672389625003
2003,2002-03,2437,Lonny Baxter,55,683.6466666666666,12.429939393939394,1384,262,165,16,9,22,46,206,4.763636363636364,14.197976878612716,443,24.00650289017341,-4.0,-1.4,-5.4,-0.6,0.9,0.521,True,True,True,False,False,56.0,72.0,33.0,22.0,42.0,42.0,31.0,17.0,36.0,34.0,30.0,16.0,,,,,,,,,133,46,25,0.0,0.0,2,0.0,2.0,206.0,0.6456310679611651,0.0097087378640776,30,52,82,21.0,82.0,9.0,0.3658536585365853,0.2560975609756097,0.1097560975609756,25.0,25.0,23.0,,,0.5193584617606707,0.1641538239329332
2001,2000-01,2062,A.J. Guyton,33,628.5383333333333,19.04661616161616,1173,198,36,64,9,5,24,192,6.0,12.659846547314578,298,19.053708439897697,-0.8,-3.2,-4.0,-0.3,0.3,0.495,True,True,True,False,False,43.0,56.0,24.0,52.0,34.0,29.0,24.0,38.0,31.0,25.0,23.0,33.0,,,,,,,,,15,9,99,11.0,8.0,50,0.0,69.0,192.0,0.078125,0.359375,15,67,82,17.0,82.0,-2.0,0.1829268292682926,0.2073170731707317,-0.024390243902439,39.0,38.0,35.0,,,0.5178567425403124,-2.2856742540312447
2008,2007-08,201189,Aaron Gray,61,612.9966666666667,10.04912568306011,1224,262,168,41,21,16,57,204,4.295081967213115,16.05392156862745,471,28.860294117647054,-3.6,0.0,-3.5,-0.2,0.8,0.529,True,True,True,False,False,40.0,47.0,36.0,6.0,31.0,23.0,34.0,4.0,28.0,20.0,33.0,4.0,,,,,,,,,120,57,27,0.0,0.0,0,0.0,0.0,204.0,0.5882352941176471,0.0,33,49,82,49.0,82.0,-16.0,0.4024390243902439,0.5975609756097561,-0.1951219512195121,27.0,27.0,25.0,,,0.5402422462662976,-1.124224626629755
2020,2019-20,1629655,Daniel Gafford,43,609.0533333333333,14.164031007751936,1294,220,106,21,13,56,29,134,5.116279069767442,12.751159196290573,347,20.112055641421943,-2.8,1.5,-1.3,0.1,1.9,0.686,True,True,True,False,False,16.0,11.0,30.0,41.0,11.0,11.0,29.0,29.0,10.0,10.0,28.0,25.0,,,,,,,,,119,15,0,0.0,0.0,0,0.0,0.0,134.0,0.8880597014925373,0.0,22,43,65,22.0,82.0,,0.3384615384615385,0.2682926829268293,0.0701688555347092,15.0,15.0,15.0,,,0.565,12.10000000000001
2001,2000-01,1434,Dragan Tarlac,43,599.0566666666666,13.931550387596898,1149,103,122,31,7,19,38,99,2.395348837209302,6.723237597911227,256,16.710182767624023,-6.2,-1.1,-7.3,-0.8,-0.2,0.454,True,True,True,False,False,64.0,75.0,53.0,63.0,46.0,45.0,43.0,44.0,38.0,37.0,38.0,38.0,,,,,,,,,25,39,35,0.0,0.0,0,0.0,0.0,99.0,0.2525252525252525,0.0,15,67,82,17.0,82.0,-2.0,0.1829268292682926,0.2073170731707317,-0.024390243902439,72.0,43.0,36.0,,,0.5178567425403124,-6.385674254031243
2013,2012-13,203104,Marquis Teague,48,391.9216666666667,8.165034722222222,738,99,44,63,9,7,35,113,2.0625,10.060975609756095,206,20.934959349593495,-5.5,0.0,-5.6,-0.4,-0.3,0.412,True,True,False,False,False,58.0,62.0,57.0,39.0,43.0,34.0,45.0,28.0,,,,,,,,,,,,,49,13,28,1.0,1.0,21,0.0,23.0,113.0,0.4336283185840708,0.2035398230088495,45,37,82,50.0,66.0,,0.5487804878048781,0.7575757575757576,-0.2087952697708794,73.0,44.0,,,,0.535,-12.300000000000006
2012,2011-12,202710,Jimmy Butler III,42,359.0316666666667,8.548373015873016,680,109,56,14,11,5,14,79,2.5952380952380953,12.022058823529411,179,19.74264705882353,-1.8,0.5,-1.3,0.1,1.1,0.526,True,True,False,False,False,16.0,11.0,50.0,44.0,11.0,11.0,41.0,31.0,,,,,,,,,,,,,34,10,24,2.0,1.0,8,0.0,11.0,79.0,0.430379746835443,0.1392405063291139,50,16,66,62.0,82.0,,0.7575757575757576,0.7560975609756098,0.0014781966001478,24.0,24.0,,,,0.527,-0.10000000000000009
2026,2025-26,1642950,Lachlan Olbrich,37,344.2216666666667,9.30328828828829,763,89,112,42,12,8,16,77,2.4054054054054053,8.748361730013107,243,23.88597640891219,-3.3,-0.2,-3.4,-0.1,0.5,0.47,True,True,False,False,False,39.0,34.0,52.0,24.0,30.0,19.0,42.0,19.0,,,,,,,,,,,,,43,14,1,6.0,1.0,12,0.0,19.0,77.0,0.5584415584415584,0.2467532467532467,31,51,82,39.0,82.0,-8.0,0.3780487804878049,0.4756097560975609,-0.097560975609756,34.0,34.0,,,,0.581,-11.099999999999998
