season,season_label,player_id,player_name,team_id,team_abbreviation,age,nickname,restricted_area_fgm,restricted_area_fga,restricted_area_fg_pct,in_the_paint_non_ra_fgm,in_the_paint_non_ra_fga,in_the_paint_non_ra_fg_pct,mid_range_fgm,mid_range_fga,mid_range_fg_pct,left_corner_3_fgm,left_corner_3_fga,left_corner_3_fg_pct,right_corner_3_fgm,right_corner_3_fga,right_corner_3_fg_pct,above_the_break_3_fgm,above_the_break_3_fga,above_the_break_3_fg_pct,backcourt_fgm,backcourt_fga,backcourt_fg_pct,corner_3_fgm,corner_3_fga,corner_3_fg_pct
2017,2016-17,1627835,Paul Zipser,1610612741,CHI,23.0,Paul,33,56,0.589,5,18,0.278,17,48,0.354,10.0,23.0,0.435,6.0,18.0,0.333,17,56,0.304,0,2,0.0,16.0,41.0,0.39
2018,2017-18,1628469,Antonio Blakeney,1610612741,CHI,21.0,Antonio,15,27,0.556,6,22,0.273,17,42,0.405,5.0,10.0,0.5,2.0,7.0,0.286,8,35,0.229,0,0,0.0,7.0,17.0,0.412
2018,2017-18,1628374,Lauri Markkanen,1610612741,CHI,21.0,Lauri,155,236,0.657,22,79,0.278,52,146,0.356,9.0,27.0,0.333,7.0,21.0,0.333,129,352,0.366,0,1,0.0,16.0,48.0,0.333
2018,2017-18,1627853,Ryan Arcidiacono,1610612741,CHI,24.0,Ryan,5,5,1.0,1,3,0.333,2,2,1.0,4.0,6.0,0.667,3.0,5.0,0.6,2,19,0.105,0,1,0.0,7.0,11.0,0.636
2019,2018-19,1629102,Brandon Sampson,1610612741,CHI,22.0,Brandon,12,19,0.632,5,10,0.5,0,2,0.0,2.0,7.0,0.286,2.0,2.0,1.0,7,20,0.35,0,0,0.0,4.0,9.0,0.444
2019,2018-19,1628990,Chandler Hutchison,1610612741,CHI,23.0,Chandler,60,101,0.594,15,40,0.375,8,19,0.421,5.0,14.0,0.357,2.0,9.0,0.222,6,23,0.261,0,3,0.0,7.0,23.0,0.304
2019,2018-19,1628959,Rawle Alkins,1610612741,CHI,21.0,Rawle,8,19,0.421,2,8,0.25,0,0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,1,8,0.125,0,0,0.0,2.0,4.0,0.5
2019,2018-19,1628976,Wendell Carter Jr.,1610612741,CHI,20.0,Wendell,108,163,0.663,34,85,0.4,32,91,0.352,2.0,10.0,0.2,0.0,4.0,0.0,4,18,0.222,0,0,0.0,2.0,14.0,0.143
2020,2019-20,1629690,Adam Mokoka,1610612741,CHI,21.0,Adam,6,12,0.5,0,0,0.0,0,1,0.0,1.0,4.0,0.25,2.0,4.0,0.5,3,7,0.429,0,0,0.0,3.0,8.0,0.375
2020,2019-20,1629632,Coby White,1610612741,CHI,20.0,Coby,113,228,0.496,29,78,0.372,37,110,0.336,13.0,41.0,0.317,7.0,15.0,0.467,113,319,0.354,0,1,0.0,20.0,56.0,0.357
2020,2019-20,1629655,Daniel Gafford,1610612741,CHI,21.0,Daniel,91,119,0.765,3,15,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2020,2019-20,1629622,Max Strus,1610612741,CHI,24.0,Max,2,2,1.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,0,0.0,0.0,0.0,0.0
2021,2020-21,1629653,Devon Dotson,1610612741,CHI,21.0,Devon,8,9,0.889,1,3,0.333,1,2,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1,6,0.167,0,0,0.0,0.0,1.0,0.0
2021,2020-21,1630172,Patrick Williams,1610612741,CHI,19.0,Patrick,113,175,0.646,40,100,0.4,48,115,0.417,11.0,28.0,0.393,14.0,30.0,0.467,28,79,0.354,1,1,1.0,25.0,58.0,0.431
2022,2021-22,1630245,Ayo Dosunmu,1610612741,CHI,22.0,Ayo,141,211,0.668,25,59,0.424,42,80,0.525,11.0,34.0,0.324,28.0,61.0,0.459,30,89,0.337,1.0,1.0,1.0,39.0,95.0,0.411
