season,season_label,player_id,player_name,draft_year,draft_round,draft_number,draft_label,draft_caption,games,minutes,mpg,ppg,rpg,apg,spg,bpg,ts_pct_relative,tov_per_game,tov_pct,tov_pct_relative,ts_pct,ws,bpm,net_rating,net_on_off,impact
2018,2017-18,1628469,Antonio Blakeney,Undrafted,Undrafted,Undrafted,UDFA,Undrafted,19,313.9,16.521052631578947,7.947368421052632,1.736842105263158,1.0526315789473684,0.3684210526315789,0.05263157894736842,-8.500000000000007,0.5789473684210527,6.426735218508997,-6.688664781491002,0.471,0.0,-5.2,-1.3,6.8,
2018,2017-18,1627853,Ryan Arcidiacono,Undrafted,Undrafted,Undrafted,UDFA,Undrafted,24,304.12166666666667,12.67173611111111,2.0,1.0416666666666667,1.4583333333333333,0.5416666666666666,0.0,-0.6000000000000005,0.5416666666666666,22.951977401129945,9.836577401129945,0.55,0.3,-4.1,-2.3,4.8,
2017,2016-17,1627756,Denzel Valentine,2016,1,14,PK14,"2016, #14 pick",57,976.5283333333332,17.13207602339181,5.105263157894737,2.6491228070175437,1.105263157894737,0.5263157894736842,0.12280701754385964,-6.000000000000005,0.8596491228070176,14.206192740345585,0.11279274034558462,0.492,0.6,-3.3,-0.7,-1.3,-1.3
2017,2016-17,1627835,Paul Zipser,2016,2,48,PK48,"2016, #48 pick",44,843.38,19.167727272727273,5.454545454545454,2.840909090909091,0.8181818181818182,0.3409090909090909,0.36363636363636365,-4.900000000000004,0.9090909090909091,14.357501794687725,0.26410179468772377,0.503,0.5,-4.4,1.7,1.1,1.1
2016,2015-16,1626171,Bobby Portis Jr.,2015,1,22,PK22,"2015, #22 pick",62,1102.08,17.77548387096774,7.032258064516129,5.435483870967742,0.8387096774193549,0.4032258064516129,0.3548387096774194,-7.200000000000006,0.8709677419354839,10.403822441430334,-2.3512775585696666,0.469,1.5,-3.3,-7.6,-8.6,-8.6
2016,2015-16,1626245,Cristiano Felicio,Undrafted,Undrafted,Undrafted,UDFA,Undrafted,31,320.7033333333333,10.345268817204301,3.3870967741935485,3.2903225806451615,0.8387096774193549,0.1935483870967742,0.41935483870967744,5.999999999999995,0.41935483870967744,12.94820717131474,0.19310717131473965,0.601,1.2,0.3,8.0,9.4,
2015,2014-15,202703,Nikola Mirotic,2011,1,23,PK23,"2011, #23 pick",82,1654.121666666667,20.172215447154475,10.158536585365853,4.926829268292683,1.1829268292682926,0.6585365853658537,0.6585365853658537,2.200000000000002,1.0853658536585367,10.621032030168504,-3.3065679698314963,0.556,5.7,2.3,5.0,4.0,4.0
2015,2014-15,203926,Doug McDermott,2014,1,11,PK11,"2014, #11 pick",36,320.8333333333333,8.912037037037036,3.0277777777777777,1.1944444444444444,0.16666666666666666,0.1111111111111111,0.027777777777777776,-5.400000000000005,0.4722222222222222,13.016845329249618,-0.9107546707503822,0.48,0.0,-6.0,-15.1,-17.5,
2014,2013-14,203503,Tony Snell,2013,1,20,PK20,"2013, #20 pick",77,1230.7066666666667,15.983203463203465,4.4935064935064934,1.6103896103896105,0.8831168831168831,0.37662337662337664,0.19480519480519481,-5.200000000000005,0.5714285714285714,11.054165410511505,-4.757234589488496,0.489,1.6,-2.6,-4.7,-9.0,-9.0
2013,2012-13,203104,Marquis Teague,2012,1,29,PK29,"2012, #29 pick",48,391.9216666666667,8.165034722222222,2.0625,0.9166666666666666,1.3125,0.1875,0.14583333333333334,-12.300000000000006,0.7291666666666666,22.574819401444785,9.628919401444785,0.412,-0.3,-5.6,0.3,0.7,
