season,season_label,player_id,player_name,games,minutes,points,rebounds,assists,steals,blocks,turnovers,field_goal_attempts,free_throw_attempts,net_rating
2002,2001-02,2198,Kwame Brown,57,817.1,258,198,43,16,26,43,243,99,-4.9
2002,2001-02,1910,Leon Smith,14,100.71666666666667,31,31,3,5,1,3,26,17,2.9
2002,2001-02,2254,Loren Woods,60,515.7033333333334,110,122,22,17,34,36,96,60,-3.7
2002,2001-02,2124,Malik Allen,12,160.835,52,38,5,3,8,2,51,10,-2.3
2002,2001-02,2230,Maurice Evans,10,42.96,21,4,4,0,0,2,19,4,-4.0
2002,2001-02,2370,Mengke Bateer,27,407.62666666666667,139,96,22,10,5,32,132,37,-5.1
2002,2001-02,2214,Michael Bradley,26,117.65,30,24,3,0,6,6,25,8,-19.5
2002,2001-02,2229,Mike James,15,117.57833333333333,42,14,19,6,1,13,43,7,-15.5
2002,2001-02,2369,Norman Richardson,11,68.46333333333334,30,8,2,0,0,3,26,9,-18.2
2002,2001-02,2351,Oscar Torres,65,1076.9666666666667,389,122,40,25,9,49,341,105,-8.4
2002,2001-02,2200,Pau Gasol,82,3001.866666666667,1441,730,223,41,169,224,1064,477,-5.3
2002,2001-02,1542,Predrag Drobnjak,64,1173.6533333333334,437,219,51,20,31,51,414,73,3.8
2002,2001-02,2056,Primoz Brezec,22,160.615,43,28,6,0,7,6,29,25,-2.3
2002,2001-02,2237,Ratko Varda,1,5.65,5,1,0,0,0,1,3,1,-8.3
2002,2001-02,2210,Richard Jefferson,79,1919.4233333333334,742,293,140,64,48,107,591,265,3.3
2002,2001-02,2206,Rodney White,16,127.49333333333334,56,18,12,9,2,14,60,14,7.3
2002,2001-02,2257,Ruben Boumtje-Boumtje,33,244.90333333333334,39,55,4,3,16,14,32,25,-15.8
2002,2001-02,2223,Samuel Dalembert,34,175.91,51,68,5,6,13,14,50,18,-5.9
2002,2001-02,2203,Shane Battier,78,3098.1,1125,418,216,121,81,155,961,283,-5.0
2002,2001-02,2049,Speedy Claxton,67,1529.9483333333333,480,160,198,95,6,95,452,136,-0.5
2002,2001-02,2212,Steven Hunter,53,514.0466666666666,189,97,5,5,43,16,147,94,-9.0
2002,2001-02,2347,Tang Hamilton,9,97.94666666666667,20,18,5,4,0,2,19,1,-2.1
2002,2001-02,2242,Terence Morris,68,1115.2966666666666,255,211,64,21,27,45,289,28,-10.2
2002,2001-02,2357,Tierre Brown,40,401.62166666666667,123,42,70,19,3,40,115,28,-17.2
