season,season_label,player_id,player_name,games,minutes,minutes_per_game,possessions,points,rebounds,assists,steals,blocks,turnovers,field_goal_attempts,free_throw_attempts,net_rating,ppg,points_per_75,pra,pra_per_75,obpm,dbpm,bpm,vorp,ws,ts_pct,qualified_0,qualified_300,qualified_500,qualified_750,qualified_1000,rank_bpm_0,rank_vorp_0,rank_ppg_0,rank_pra_per_75_0,rank_bpm_300,rank_vorp_300,rank_ppg_300,rank_pra_per_75_300,rank_bpm_500,rank_vorp_500,rank_ppg_500,rank_pra_per_75_500,rank_bpm_750,rank_vorp_750,rank_ppg_750,rank_pra_per_75_750,rank_bpm_1000,rank_vorp_1000,rank_ppg_1000,rank_pra_per_75_1000,rim_fga,paint_non_rim_fga,midrange_fga,left_corner_three_fga,right_corner_three_fga,above_break_three_fga,backcourt_fga,three_fga,shot_zone_fga,rim_attempt_share,three_attempt_share,team_wins,team_losses,team_games,previous_team_wins,previous_team_games,team_win_change,team_win_pct,previous_team_win_pct,team_win_pct_change,rank_ws_0,rank_ws_300,rank_ws_500,rank_ws_750,rank_ws_1000,rpg,apg,mpg,ts_pct_relative,pra_total,pra_pg,key,net_on_off,impact,draft_year,draft_number,draft_caption,rank
2010,2009-10,201959,Taj Gibson,82,2203.5816666666665,26.872947154471543,4301,735,611,70,50,104,114,629,175,-0.8,8.963414634146341,12.816786793768893,1416,24.691932108811905,-2.4,0.5,-2.0,0.0,4.7,0.521,True,True,True,True,True,23.0,17.0,12.0,19.0,15.0,15.0,12.0,14.0,13.0,13.0,12.0,13.0,12.0,12.0,12.0,12.0,10.0,10.0,12.0,11.0,305,91,233,0.0,0.0,0,0.0,0.0,629.0,0.4848966613672496,0.0,41,41,82,41.0,82.0,0.0,0.5,0.5,0.0,3.0,3.0,3.0,3.0,3.0,7.451219512195122,0.8536585365853658,26.872947154471543,-2.200000000000002,1416,17.26829268292683,taj gibson,1.3,1.3,2009,26,"2009, #26 pick",11
2008,2007-08,201149,Joakim Noah,74,1533.715,20.725878378378376,3029,488,416,84,68,64,89,367,194,-0.4,6.594594594594595,12.0831957741829,988,24.46351931330472,-1.2,1.0,-0.2,0.7,3.8,0.539,True,True,True,True,True,9.0,7.0,20.0,20.0,5.0,7.0,20.0,15.0,4.0,7.0,19.0,14.0,4.0,7.0,19.0,13.0,4.0,7.0,19.0,12.0,276,54,36,0.0,0.0,1,0.0,1.0,367.0,0.7520435967302452,0.0027247956403269,33,49,82,49.0,82.0,-16.0,0.4024390243902439,0.5975609756097561,-0.1951219512195121,6.0,6.0,6.0,6.0,6.0,5.621621621621622,1.135135135135135,20.725878378378376,-0.1242246266297542,988,13.35135135135135,joakim noah,4.2,4.2,2007,9,"2007, #9 pick",12
2004,2003-04,2550,Kirk Hinrich,76,2709.2683333333334,35.64826754385965,5236,915,259,517,101,21,204,823,168,-4.3,12.039473684210526,13.106378915202445,1691,24.221734148204735,-0.5,-0.4,-0.8,0.8,4.1,0.51,True,True,True,True,True,14.0,6.0,5.0,21.0,9.0,6.0,5.0,16.0,8.0,6.0,5.0,15.0,8.0,6.0,5.0,14.0,8.0,6.0,5.0,13.0,176,77,202,47.0,24.0,296,1.0,368.0,823.0,0.2138517618469015,0.4471445929526124,23,59,82,30.0,82.0,-7.0,0.2804878048780488,0.3658536585365853,-0.0853658536585365,4.0,4.0,4.0,4.0,4.0,3.4078947368421053,6.802631578947368,35.64826754385965,-0.6196723896250034,1691,22.25,kirk hinrich,6.0,6.0,2003,7,"2003, #7 pick",13
2003,2002-03,2398,Jay Williams,75,1961.19,26.1492,3952,714,195,350,86,17,171,685,161,-9.6,9.52,13.550101214574898,1259,23.892965587044536,-1.3,-0.8,-2.0,0.0,0.8,0.472,True,True,True,True,True,23.0,17.0,9.0,23.0,15.0,15.0,9.0,18.0,13.0,13.0,9.0,17.0,12.0,12.0,9.0,15.0,10.0,10.0,9.0,14.0,210,101,172,19.0,25.0,158,0.0,202.0,685.0,0.3065693430656934,0.2948905109489051,30,52,82,21.0,82.0,9.0,0.3658536585365853,0.2560975609756097,0.1097560975609756,27.0,27.0,25.0,23.0,21.0,2.6,4.666666666666667,26.1492,-4.735846176067071,1259,16.786666666666665,jay williams,-8.3,-8.3,2002,2,"2002, #2 pick",14
2005,2004-05,2804,Andres Nocioni,81,1895.4983333333332,23.401213991769545,3753,677,386,122,37,34,135,601,222,-3.8,8.358024691358025,13.529176658673062,1185,23.6810551558753,-3.2,1.1,-2.0,0.0,2.5,0.484,True,True,True,True,True,23.0,17.0,16.0,26.0,15.0,15.0,16.0,20.0,13.0,13.0,16.0,18.0,12.0,12.0,16.0,16.0,10.0,10.0,16.0,15.0,185,112,207,5.0,31.0,61,0.0,97.0,601.0,0.3078202995008319,0.1613976705490848,47,35,82,23.0,82.0,24.0,0.573170731707317,0.2804878048780488,0.2926829268292682,12.0,12.0,12.0,12.0,11.0,4.765432098765432,1.5061728395061729,23.401213991769545,-4.540559133995026,1185,14.62962962962963,andres nocioni,-9.8,-9.8,Undrafted,Undrafted,Undrafted,15
2025,2024-25,1641824,Matas Buzelis,80,1511.295,18.8911875,3328,688,278,79,29,75,74,555,108,-1.7,8.6,15.504807692307692,1045,23.55018028846154,-2.0,-0.5,-2.5,-0.2,1.9,0.571,True,True,True,True,True,30.0,47.0,15.0,27.0,22.0,23.0,15.0,21.0,20.0,20.0,15.0,19.0,19.0,19.0,15.0,17.0,15.0,14.0,15.0,16.0,205,67,17,81.0,54.0,131,0.0,266.0,555.0,0.3693693693693693,0.4792792792792792,39,43,82,39.0,82.0,0.0,0.4756097560975609,0.4756097560975609,0.0,15.0,15.0,15.0,15.0,13.0,3.475,0.9875,18.8911875,-0.5000000000000004,1045,13.0625,matas buzelis,-1.1,-1.1,2024,11,"2024, #11 pick",16
2002,2001-02,2199,Tyson Chandler,71,1392.8166666666666,19.617136150234742,2734,436,343,54,28,93,99,304,222,-7.1,6.140845070422535,11.960497439648869,833,22.851133869787855,-3.3,-0.2,-3.5,-0.5,1.8,0.543,True,True,True,True,True,40.0,68.0,23.0,30.0,31.0,39.0,23.0,23.0,28.0,31.0,22.0,20.0,26.0,27.0,22.0,18.0,20.0,20.0,20.0,17.0,205,43,56,0.0,0.0,0,0.0,0.0,304.0,0.6743421052631579,0.0,21,61,82,15.0,82.0,6.0,0.2560975609756097,0.1829268292682926,0.073170731707317,18.0,18.0,18.0,17.0,15.0,4.830985915492958,0.7605633802816901,19.617136150234742,2.27102512042312,833,11.732394366197184,tyson chandler,3.5,3.5,2001,2,"2001, #2 pick",17
2021,2020-21,1630172,Patrick Williams,71,1983.3566666666663,27.934600938967133,4151,655,327,99,64,46,98,528,125,-7.1,9.225352112676056,11.834497711394844,1081,19.53143820766081,-2.8,0.4,-2.4,-0.2,2.5,0.562,True,True,True,True,True,27.0,47.0,11.0,46.0,19.0,23.0,11.0,33.0,17.0,20.0,11.0,28.0,16.0,19.0,11.0,24.0,14.0,14.0,11.0,18.0,175,100,115,28.0,30.0,79,1.0,138.0,528.0,0.3314393939393939,0.2613636363636363,31,41,72,22.0,65.0,,0.4305555555555556,0.3384615384615385,0.0920940170940171,12.0,12.0,12.0,12.0,11.0,4.605633802816901,1.3943661971830985,27.934600938967133,-0.9999999999999898,1081,15.225352112676056,patrick williams,-13.5,-13.5,2020,4,"2020, #4 pick",18
2022,2021-22,1630245,Ayo Dosunmu,77,2109.641666666667,27.39794372294373,4418,679,214,256,60,29,108,535,78,-5.0,8.818181818181818,11.526708918062472,1149,19.50543232231779,-1.9,-0.1,-2.0,0.0,3.0,0.596,True,True,True,True,True,23.0,17.0,13.0,47.0,15.0,15.0,13.0,34.0,13.0,13.0,13.0,29.0,12.0,12.0,13.0,25.0,10.0,10.0,13.0,19.0,211,59,80,34.0,61.0,89,1.0,185.0,535.0,0.394392523364486,0.3457943925233644,46,36,82,31.0,72.0,,0.5609756097560976,0.4305555555555556,0.130420054200542,9.0,9.0,9.0,9.0,9.0,2.779220779220779,3.324675324675325,27.397943722943726,3.0000000000000027,1149,14.922077922077921,ayo dosunmu,-9.6,-9.6,2021,38,"2021, #38 pick",19
2005,2004-05,2768,Chris Duhon,82,2171.7633333333333,26.48491869918699,4229,487,213,398,82,3,119,488,67,3.5,5.939024390243903,8.636793568219437,1098,19.47268857886025,-2.2,1.6,-0.7,0.7,4.1,0.471,True,True,True,True,True,13.0,7.0,25.0,48.0,8.0,7.0,25.0,35.0,7.0,7.0,24.0,30.0,7.0,7.0,23.0,26.0,7.0,7.0,21.0,20.0,130,48,46,23.0,16.0,224,1.0,264.0,488.0,0.2663934426229508,0.5409836065573771,47,35,82,23.0,82.0,24.0,0.573170731707317,0.2804878048780488,0.2926829268292682,4.0,4.0,4.0,4.0,4.0,2.597560975609756,4.853658536585366,26.48491869918699,-5.840559133995027,1098,13.390243902439025,chris duhon,3.3,3.3,2004,38,"2004, #38 pick",20
