season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url,team_game_date,team_matchup,team_result,team_points,team_plus_minus,decade,pool,context_note,overtime_periods
2005,2004–05,2768,Chris Duhon,0020400250,2004-12-06,CHI vs. SAS,SAS,L,30.633333333333333,0,0,6,0,2,0,0,0,1,1,6,3,0,4,3,-3,-1.9000000000000004,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2004-12-06,CHI vs. SAS,L,75,-16,2000s,Regular season,,0
2005,2004–05,2804,Andres Nocioni,0020400250,2004-12-06,CHI vs. SAS,SAS,L,12.333333333333334,4,2,5,0,1,0,0,0,1,1,1,0,0,1,2,-10,0.4999999999999998,40.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2004-12-06,CHI vs. SAS,L,75,-16,2000s,Regular season,,0
2005,2004–05,2732,Ben Gordon,0020400250,2004-12-06,CHI vs. SAS,SAS,L,4.066666666666666,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,4,-0.7,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2004-12-06,CHI vs. SAS,L,75,-16,2000s,Regular season,,0
2005,2004–05,2804,Andres Nocioni,0020400237,2004-12-04,CHI @ WAS,WAS,L,26.718333333333337,16,6,10,0,1,4,6,1,8,9,0,0,3,3,5,-3,10.799999999999997,63.291139240506325,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2004-12-04,CHI @ WAS,L,88,-7,2000s,Regular season,,0
2005,2004–05,2736,Luol Deng,0020400237,2004-12-04,CHI @ WAS,WAS,L,21.918333333333333,9,3,7,1,4,2,2,1,2,3,2,1,0,4,5,-3,3.0,57.10659898477157,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2004-12-04,CHI @ WAS,L,88,-7,2000s,Regular season,,0
2005,2004–05,2732,Ben Gordon,0020400237,2004-12-04,CHI @ WAS,WAS,L,25.676666666666662,12,4,11,2,4,2,2,1,1,2,1,0,0,6,4,-4,0.0,50.5050505050505,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2004-12-04,CHI @ WAS,L,88,-7,2000s,Regular season,,0
2005,2004–05,2768,Chris Duhon,0020400237,2004-12-04,CHI @ WAS,WAS,L,33.96666666666667,2,1,5,0,3,0,0,0,1,1,5,2,0,5,3,4,-1.5,20.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2004-12-04,CHI @ WAS,L,88,-7,2000s,Regular season,,0
2005,2004–05,2768,Chris Duhon,0020400229,2004-12-03,CHI vs. MIA,MIA,L,33.03333333333333,15,6,11,3,4,0,0,0,4,4,7,0,0,3,2,-15,11.999999999999996,68.18181818181817,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2004-12-03,CHI vs. MIA,L,81,-24,2000s,Regular season,,0
2005,2004–05,2736,Luol Deng,0020400229,2004-12-03,CHI vs. MIA,MIA,L,35.75,12,5,13,1,4,1,1,3,2,5,4,0,0,3,1,-17,6.999999999999998,44.642857142857146,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2004-12-03,CHI vs. MIA,L,81,-24,2000s,Regular season,,0
2005,2004–05,2732,Ben Gordon,0020400229,2004-12-03,CHI vs. MIA,MIA,L,23.75,8,4,10,0,1,0,0,0,2,2,3,1,0,0,1,-12,5.899999999999999,40.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2004-12-03,CHI vs. MIA,L,81,-24,2000s,Regular season,,0
2005,2004–05,2804,Andres Nocioni,0020400229,2004-12-03,CHI vs. MIA,MIA,L,15.133333333333333,5,2,8,0,2,1,3,1,2,3,2,0,0,0,1,-20,1.7000000000000002,26.824034334763947,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2004-12-03,CHI vs. MIA,L,81,-24,2000s,Regular season,,0
2005,2004–05,2736,Luol Deng,0020400216,2004-12-01,CHI vs. LAL,LAL,W,32.92166666666667,18,7,16,2,4,2,2,1,4,5,1,2,0,1,1,14,12.799999999999999,53.317535545023695,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2004-12-01,CHI vs. LAL,W,92,8,2000s,Regular season,,0
2005,2004–05,2732,Ben Gordon,0020400216,2004-12-01,CHI vs. LAL,LAL,W,28.791666666666668,17,6,13,2,5,3,4,1,2,3,4,1,0,3,3,5,10.799999999999997,57.58807588075881,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2004-12-01,CHI vs. LAL,W,92,8,2000s,Regular season,,0
