season,player_id,player_name,gp,drives,drives_per_game,drive_fgm,drive_fga,drive_fg_pct,drive_shot_pct,drive_ftm,drive_fta,drive_points_residual,drive_pts,drive_passes,drive_pass_pct,drive_ast,drive_ast_pct,drive_ast_per_drive,drive_pf,drive_pf_pct
2015-16,2200,Pau Gasol,72,171,2.375,45,93,48.4,54.3859649122807,37,46,5,132,34,19.900000000000002,4,2.3,0.023391812865497075,23,13.5
2015-16,203915,Spencer Dinwiddie,12,78,6.5,9,27,33.300000000000004,34.61538461538461,13,22,2,33,34,43.6,3,3.8,0.038461538461538464,12,15.4
2015-16,201959,Taj Gibson,73,30,0.410958904109589,14,20,70.0,66.66666666666667,0,0,1,29,5,16.7,2,6.7,0.06666666666666667,0,0.0
2015-16,203503,Tony Snell,64,163,2.546875,25,80,31.3,49.079754601226995,10,12,1,61,42,25.8,16,9.8,0.09815950920245399,7,4.3
2016-17,201627,Anthony Morrow,49,67,1.3673469387755102,22,45,48.9,67.16417910447761,9,10,1,54,10,14.899999999999999,3,4.5,0.04477611940298507,5,7.5
2016-17,1626171,Bobby Portis Jr.,64,59,0.921875,18,41,43.9,69.49152542372882,3,4,0,39,15,25.4,0,0.0,0.0,2,3.4000000000000004
2016-17,1626166,Cameron Payne,31,109,3.5161290322580645,18,50,36.0,45.87155963302752,5,8,0,41,36,33.0,9,8.3,0.08256880733944955,4,3.6999999999999997
2016-17,1626245,Cristiano Felicio,66,19,0.2878787878787879,3,8,37.5,42.10526315789474,7,10,0,13,5,26.3,0,0.0,0.0,5,26.3
2016-17,1627756,Denzel Valentine,57,92,1.6140350877192982,10,31,32.300000000000004,33.69565217391305,2,2,0,22,37,40.2,10,10.9,0.10869565217391304,1,1.0999999999999999
2016-17,2548,Dwyane Wade,60,551,9.183333333333334,119,272,43.8,49.364791288566245,66,85,13,317,165,29.9,42,7.6,0.07622504537205081,43,7.8
2016-17,203477,Isaiah Canaan,39,64,1.641025641025641,17,36,47.199999999999996,56.25,12,14,2,48,12,18.8,6,9.4,0.09375,8,12.5
2016-17,1626170,Jerian Grant,63,220,3.492063492063492,37,76,48.699999999999996,34.54545454545455,19,22,6,99,98,44.5,21,9.5,0.09545454545454546,11,5.0
2016-17,202710,Jimmy Butler,76,1073,14.118421052631579,159,331,48.0,30.848089468779126,207,232,19,544,417,38.9,138,12.9,0.12861136999068035,119,11.1
