season,rank,player_id,player,zone,fga,fgm,fg,lg_fg,fg_rel,fga_share_pct,lg_fga_share_pct,subject_excluded_fga,league_excluded_fga,subject_source_conflict_fga,league_source_conflict_fga,pps,lg_pps,point_value,rated
2010-11,6,200758,Ronnie Brewer,Restricted Area,195,125,0.6410,0.6199,2.1127,45.6674,31.5016,3,469,0,16,1.2821,1.2398,2,True
2010-11,6,200758,Ronnie Brewer,In The Paint (Non-RA),23,7,0.3043,0.3899,-8.5509,5.3864,15.3098,3,469,0,16,0.6087,0.7797,2,True
2010-11,6,200758,Ronnie Brewer,Left Baseline,25,8,0.3200,0.3964,-7.6372,5.8548,5.4635,3,469,0,16,0.6400,0.7927,2,True
2010-11,6,200758,Ronnie Brewer,Left Mid-Range,36,17,0.4722,0.3959,7.6320,8.4309,7.1100,3,469,0,16,0.9444,0.7918,2,True
2010-11,6,200758,Ronnie Brewer,Center Mid-Range,26,7,0.2692,0.4050,-13.5721,6.0890,5.7013,3,469,0,16,0.5385,0.8099,2,True
2010-11,6,200758,Ronnie Brewer,Right Mid-Range,54,19,0.3519,0.4029,-5.1095,12.6464,7.5771,3,469,0,16,0.7037,0.8059,2,True
2010-11,6,200758,Ronnie Brewer,Right Baseline,41,16,0.3902,0.4017,-1.1483,9.6019,5.1602,3,469,0,16,0.7805,0.8035,2,True
2010-11,6,200758,Ronnie Brewer,Left Corner 3,6,1,0.1667,0.3916,-22.4900,1.4052,3.2409,3,469,0,16,0.5000,1.1747,3,False
2010-11,6,200758,Ronnie Brewer,Left Wing 3,8,1,0.1250,0.3557,-23.0662,1.8735,5.7694,3,469,0,16,0.3750,1.0670,3,False
2010-11,6,200758,Ronnie Brewer,Top of Key 3,1,0,0.0000,0.3298,-32.9837,0.2342,4.3907,3,469,0,16,0.0000,0.9895,3,False
2010-11,6,200758,Ronnie Brewer,Right Wing 3,5,2,0.4000,0.3581,4.1912,1.1710,5.6017,3,469,0,16,1.2000,1.0743,3,False
2010-11,6,200758,Ronnie Brewer,Right Corner 3,4,2,0.5000,0.3972,10.2793,0.9368,2.9390,3,469,0,16,1.5000,1.1908,3,False
2010-11,7,201149,Joakim Noah,Restricted Area,281,167,0.5943,0.6199,-2.5593,69.9005,31.5016,0,469,0,16,1.1886,1.2398,2,True
2010-11,7,201149,Joakim Noah,In The Paint (Non-RA),62,23,0.3710,0.3899,-1.8889,15.4229,15.3098,0,469,0,16,0.7419,0.7797,2,True
2010-11,7,201149,Joakim Noah,Left Baseline,5,3,0.6000,0.3964,20.3628,1.2438,5.4635,0,469,0,16,1.2000,0.7927,2,False
2010-11,7,201149,Joakim Noah,Left Mid-Range,24,10,0.4167,0.3959,2.0764,5.9701,7.1100,0,469,0,16,0.8333,0.7918,2,True
2010-11,7,201149,Joakim Noah,Center Mid-Range,14,6,0.4286,0.4050,2.3619,3.4826,5.7013,0,469,0,16,0.8571,0.8099,2,False
2010-11,7,201149,Joakim Noah,Right Mid-Range,10,2,0.2000,0.4029,-20.2947,2.4876,7.5771,0,469,0,16,0.4000,0.8059,2,False
2010-11,7,201149,Joakim Noah,Right Baseline,5,0,0.0000,0.4017,-40.1727,1.2438,5.1602,0,469,0,16,0.0000,0.8035,2,False
2010-11,7,201149,Joakim Noah,Left Corner 3,0,0,,0.3916,,0.0000,3.2409,0,469,0,16,,1.1747,3,False
2010-11,7,201149,Joakim Noah,Left Wing 3,0,0,,0.3557,,0.0000,5.7694,0,469,0,16,,1.0670,3,False
2010-11,7,201149,Joakim Noah,Top of Key 3,1,0,0.0000,0.3298,-32.9837,0.2488,4.3907,0,469,0,16,0.0000,0.9895,3,False
2010-11,7,201149,Joakim Noah,Right Wing 3,0,0,,0.3581,,0.0000,5.6017,0,469,0,16,,1.0743,3,False
2010-11,7,201149,Joakim Noah,Right Corner 3,0,0,,0.3972,,0.0000,2.9390,0,469,0,16,,1.1908,3,False
2010-11,8,201228,C.J. Watson,Restricted Area,69,30,0.4348,0.6199,-18.5116,17.5127,31.5016,1,469,0,16,0.8696,1.2398,2,True
2010-11,8,201228,C.J. Watson,In The Paint (Non-RA),34,9,0.2647,0.3899,-12.5151,8.6294,15.3098,1,469,0,16,0.5294,0.7797,2,True
2010-11,8,201228,C.J. Watson,Left Baseline,13,3,0.2308,0.3964,-16.5602,3.2995,5.4635,1,469,0,16,0.4615,0.7927,2,False
2010-11,8,201228,C.J. Watson,Left Mid-Range,49,17,0.3469,0.3959,-4.8963,12.4365,7.1100,1,469,0,16,0.6939,0.7918,2,True
2010-11,8,201228,C.J. Watson,Center Mid-Range,41,16,0.3902,0.4050,-1.4708,10.4061,5.7013,1,469,0,16,0.7805,0.8099,2,True
2010-11,8,201228,C.J. Watson,Right Mid-Range,53,18,0.3396,0.4029,-6.3324,13.4518,7.5771,1,469,0,16,0.6792,0.8059,2,True
2010-11,8,201228,C.J. Watson,Right Baseline,23,9,0.3913,0.4017,-1.0422,5.8376,5.1602,1,469,0,16,0.7826,0.8035,2,True
2010-11,8,201228,C.J. Watson,Left Corner 3,15,4,0.2667,0.3916,-12.4900,3.8071,3.2409,1,469,0,16,0.8000,1.1747,3,False
2010-11,8,201228,C.J. Watson,Left Wing 3,39,15,0.3846,0.3557,2.8954,9.8985,5.7694,1,469,0,16,1.1538,1.0670,3,True
2010-11,8,201228,C.J. Watson,Top of Key 3,21,8,0.3810,0.3298,5.1115,5.3299,4.3907,1,469,0,16,1.1429,0.9895,3,True
2010-11,8,201228,C.J. Watson,Right Wing 3,25,10,0.4000,0.3581,4.1912,6.3452,5.6017,1,469,0,16,1.2000,1.0743,3,True
2010-11,8,201228,C.J. Watson,Right Corner 3,11,7,0.6364,0.3972,23.9157,2.7919,2.9390,1,469,0,16,1.9091,1.1908,3,False
2010-11,9,2586,Keith Bogans,Restricted Area,43,28,0.6512,0.6199,3.1264,14.0065,31.5016,0,469,1,16,1.3023,1.2398,2,True
2010-11,9,2586,Keith Bogans,In The Paint (Non-RA),3,0,0.0000,0.3899,-38.9857,0.9772,15.3098,0,469,1,16,0.0000,0.7797,2,False
2010-11,9,2586,Keith Bogans,Left Baseline,3,0,0.0000,0.3964,-39.6372,0.9772,5.4635,0,469,1,16,0.0000,0.7927,2,False
2010-11,9,2586,Keith Bogans,Left Mid-Range,4,0,0.0000,0.3959,-39.5902,1.3029,7.1100,0,469,1,16,0.0000,0.7918,2,False
2010-11,9,2586,Keith Bogans,Center Mid-Range,5,1,0.2000,0.4050,-20.4952,1.6287,5.7013,0,469,1,16,0.4000,0.8099,2,False
2010-11,9,2586,Keith Bogans,Right Mid-Range,5,2,0.4000,0.4029,-0.2947,1.6287,7.5771,0,469,1,16,0.8000,0.8059,2,False
2010-11,9,2586,Keith Bogans,Right Baseline,6,3,0.5000,0.4017,9.8273,1.9544,5.1602,0,469,1,16,1.0000,0.8035,2,False
2010-11,9,2586,Keith Bogans,Left Corner 3,66,27,0.4091,0.3916,1.7525,21.4984,3.2409,0,469,1,16,1.2273,1.1747,3,True
2010-11,9,2586,Keith Bogans,Left Wing 3,44,20,0.4545,0.3557,9.8884,14.3322,5.7694,0,469,1,16,1.3636,1.0670,3,True
2010-11,9,2586,Keith Bogans,Top of Key 3,26,10,0.3846,0.3298,5.4778,8.4691,4.3907,0,469,1,16,1.1538,0.9895,3,True
2010-11,9,2586,Keith Bogans,Right Wing 3,46,16,0.3478,0.3581,-1.0261,14.9837,5.6017,0,469,1,16,1.0435,1.0743,3,True
2010-11,9,2586,Keith Bogans,Right Corner 3,56,17,0.3036,0.3972,-9.3635,18.2410,2.9390,0,469,1,16,0.9107,1.1908,3,True
