PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,FP_HIGH_SCORE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,FP_HIGH_SCORE_RANK,TEAM_COUNT
1628975,Jevon Carter,Jevon,1610612753,ORL,30.0,23,8,15,0.348,254.23,41,103,0.398,32,78,0.41,10,10,1.0,5,21,26,19,11,13,2,4,19,7,124,-70,217.7,0,0,231.0,233.0,18,14,10,14,19,17,16,24,13,15,5,20,22,1,21,21,21,18,20,16,19,10,10,23,16,17,19,13,3,18,18,1
1630581,Josh Giddey,Josh,1610612741,CHI,23.0,54,21,33,0.389,1731.3566666666666,321,717,0.448,103,283,0.364,174,228,0.763,67,381,448,494,196,55,27,44,90,157,919,-187,2247.6,28,13,2128.0,2601.0,5,8,24,12,3,4,2,16,2,2,10,3,2,15,5,1,1,1,1,2,5,26,22,3,2,25,2,1,1,2,1,1
1641763,Julian Phillips,Julian,1610612750,MIN,22.0,35,14,21,0.4,333.4916666666667,37,88,0.42,16,49,0.327,9,11,0.818,22,22,44,7,7,17,6,7,33,14,99,-13,224.3,0,0,212.0,226.0,11,10,16,11,18,18,18,21,17,17,17,21,21,9,15,20,19,24,22,15,15,13,11,20,18,9,18,13,3,19,19,1
1628989,Kevin Huerter,Kevin,1610612765,DET,27.0,44,23,21,0.523,1036.985,184,404,0.455,70,223,0.314,41,56,0.732,23,146,169,116,49,35,26,19,85,56,479,-8,989.8,1,0,956.0,1063.0,9,6,16,2,9,8,8,15,9,4,20,13,13,20,13,7,8,7,11,7,6,17,21,12,10,7,9,9,3,9,9,1
1642950,Lachlan Olbrich,Lachlan,1610612741,CHI,22.0,37,9,28,0.243,344.2216666666667,36,77,0.468,2,19,0.105,15,40,0.375,45,67,112,42,16,12,8,6,49,37,89,25,330.4,1,1,285.0,345.0,10,13,23,20,17,20,20,11,24,23,26,17,15,26,8,15,13,16,17,18,14,12,14,14,21,2,17,9,2,17,17,1
1631159,Leonard Miller,Leonard,1610612741,CHI,22.0,27,7,20,0.259,623.76,127,229,0.555,31,87,0.356,32,42,0.762,47,109,156,35,27,13,15,10,53,32,317,-10,613.7,3,0,595.0,627.0,15,15,13,17,14,12,13,3,14,14,11,14,14,16,7,10,9,17,14,16,9,15,16,16,12,8,12,8,3,12,13,1
1630644,Mac McClung,Mac,1610612741,CHI,27.0,8,2,6,0.25,101.285,16,41,0.39,5,20,0.25,11,14,0.786,2,4,6,9,7,6,2,1,13,8,48,-13,85.7,0,0,84.0,96.0,22,22,7,18,24,23,23,25,22,22,24,19,20,12,24,24,24,22,22,21,19,4,7,21,23,9,24,13,3,24,24,1
1641824,Matas Buzelis,Matas,1610612741,CHI,21.0,77,28,49,0.364,2248.2483333333334,446,963,0.463,173,495,0.349,187,238,0.786,77,371,448,158,159,55,116,57,177,199,1252,-306,2380.6,4,0,2373.0,2529.0,1,1,28,13,1,1,1,12,1,1,12,2,1,12,3,2,1,5,2,2,1,28,28,1,1,26,1,5,3,1,2,1
1631338,Mouhamadou Gueye,Mouhamadou,1610612741,CHI,27.0,2,0,2,0.0,45.44166666666667,6,11,0.545,1,5,0.2,3,4,0.75,2,4,6,6,3,2,1,0,4,2,16,-16,38.2,0,0,35.0,43.0,26,24,2,24,25,25,26,5,26,26,25,25,25,17,24,24,24,25,25,23,24,1,4,25,25,12,25,13,3,25,25,1
1630208,Nick Richards,Nick,1610612741,CHI,28.0,20,5,15,0.25,447.16833333333335,68,130,0.523,5,18,0.278,46,73,0.63,42,110,152,8,34,6,18,23,49,58,187,-76,419.4,4,0,400.0,427.0,19,20,10,18,15,15,15,6,22,24,23,11,11,23,9,9,10,23,13,21,8,19,14,11,15,18,15,5,3,15,15,1
202696,Nikola Vučević,Nikola,1610612738,BOS,35.0,48,23,25,0.479,1480.3066666666666,333,660,0.505,82,218,0.376,62,74,0.838,100,331,431,181,69,32,31,24,97,87,810,-120,1718.7,19,0,1630.0,1792.0,7,6,21,6,5,3,3,8,5,7,8,9,10,7,1,3,3,3,6,9,3,21,25,7,4,22,4,2,3,4,4,1
1642855,Noa Essengue,Noa,1610612741,CHI,19.0,2,1,1,0.5,6.033333333333333,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,1,0,1,1,0,0,-15,3.0,0,0,2.0,3.0,26,23,1,3,27,28,27,28,27,27,27,27,27,27,28,27,28,28,27,26,25,4,1,27,28,11,28,13,3,28,28,1
1630172,Patrick Williams,Patrick,1610612741,CHI,24.0,72,24,48,0.333,1473.78,178,478,0.372,95,274,0.347,54,75,0.72,49,166,215,105,75,49,26,30,93,68,505,-345,1070.5,0,0,1070.0,1155.0,2,5,27,15,6,9,6,26,3,3,13,10,9,21,6,5,5,8,5,4,6,24,23,10,9,28,8,13,3,8,8,1
1642265,Rob Dillingham,Rob,1610612741,CHI,21.0,30,7,23,0.233,644.0483333333333,116,271,0.428,30,100,0.3,26,35,0.743,14,76,90,85,64,28,3,18,78,36,288,-91,552.5,0,0,555.0,641.0,13,15,19,21,12,13,12,20,15,13,21,15,16,18,18,14,15,10,7,10,17,16,19,15,13,20,14,13,3,14,12,1
