season,player_id,player_name,team_id,gp,rim_fgm,rim_fga,blocks,rim_fga_per_game,rim_fg_pct,league_rim_fg_pct,pct_vs_league,rim_makes_saved,minutes,possessions,rim_fga_per_100,rim_points_saved,rim_points_saved_per_100,volume_rank,featured
2019-20,1628467,Maxi Kleber,1610612742,72,198,340,77,4.7222,58.2353,63.2762,-5.0409,17.1392,1887.0,3982,8.5384,34.2784,0.8608,16.0,False
2019-20,1626149,Montrezl Harrell,1610612746,63,161,313,72,4.9683,51.4377,63.2762,-11.8385,37.0546,1751.4,3818,8.198,74.1092,1.941,21.0,False
2019-20,1626167,Myles Turner,1610612754,62,228,430,132,6.9355,53.0233,63.2762,-10.253,44.0878,1822.8,3736,11.5096,88.1756,2.3602,4.0,False
2019-20,202357,Nemanja Bjelica,1610612758,71,237,337,39,4.7465,70.3264,63.2762,7.0502,-23.7591,2008.8,4188,8.0468,-47.5182,-1.1346,17.0,False
2019-20,203999,Nikola Jokić,1610612743,73,291,451,44,6.1781,64.5233,63.2762,1.247,-5.6242,2336.0,4733,9.5288,-11.2484,-0.2377,3.0,False
2019-20,202696,Nikola Vučević,1610612753,62,255,416,47,6.7097,61.2981,63.2762,-1.9782,8.2291,1996.4,4162,9.9952,16.4583,0.3954,8.0,False
2019-20,200782,P.J. Tucker,1610612745,72,194,303,36,4.2083,64.0264,63.2762,0.7502,-2.273,2469.6,5316,5.6998,-4.546,-0.0855,23.0,False
2019-20,203496,Robert Covington,1610612745,70,210,301,93,4.3,69.7674,63.2762,6.4912,-19.5385,2135.0,4614,6.5236,-39.0771,-0.8469,24.0,False
2019-20,203497,Rudy Gobert,1610612762,68,286,571,135,8.3971,50.0876,63.2762,-13.1887,75.3073,2332.4,4827,11.8293,150.6146,3.1203,1.0,False
2019-20,1628983,Shai Gilgeous-Alexander,1610612760,70,185,276,47,3.9429,67.029,63.2762,3.7528,-10.3576,2429.0,5028,5.4893,-20.7152,-0.412,26.0,False
2019-20,203500,Steven Adams,1610612760,63,176,328,67,5.2063,53.6585,63.2762,-9.6177,31.546,1682.1,3520,9.3182,63.0921,1.7924,19.0,False
2019-20,202699,Tobias Harris,1610612755,72,176,261,40,3.625,67.433,63.2762,4.1567,-10.849,2469.6,5105,5.1126,-21.6981,-0.425,30.0,False
2019-20,202684,Tristan Thompson,1610612739,57,202,356,50,6.2456,56.7416,63.2762,-6.5347,23.2634,1721.4,3547,10.0367,46.5268,1.3117,14.0,False
2020-21,203952,Andrew Wiggins,1610612744,71,183,282,70,3.9718,64.8936,63.7018,1.1918,-3.3609,2364.3,5085,5.5457,-6.7219,-0.1322,25.0,False
2020-21,1628389,Bam Adebayo,1610612748,64,149,251,66,3.9219,59.3625,63.7018,-4.3392,10.8915,2144.0,4361,5.7556,21.783,0.4995,30.0,False
2020-21,201572,Brook Lopez,1610612749,70,214,434,103,6.2,49.3088,63.7018,-14.393,62.4658,1904.0,4123,10.5263,124.9316,3.0301,7.0,False
2020-21,1627741,Buddy Hield,1610612758,71,199,276,30,3.8873,72.1014,63.7018,8.3997,-23.1831,2435.3,5149,5.3603,-46.3661,-0.9005,26.0,False
2020-21,203991,Clint Capela,1610612737,63,256,485,129,7.6984,52.7835,63.7018,-10.9183,52.9537,1896.3,3927,12.3504,105.9074,2.6969,4.0,False
2020-21,1628464,Daniel Theis,1610612741,65,181,324,57,4.9846,55.8642,63.7018,-7.8376,25.3938,1599.0,3333,9.721,50.7876,1.5238,19.0,False
2020-21,1629028,Deandre Ayton,1610612756,69,199,343,81,4.971,58.0175,63.7018,-5.6843,19.4971,2111.4,4320,7.9398,38.9943,0.9026,15.0,False
2020-21,1627749,Dejounte Murray,1610612759,67,177,254,7,3.791,69.685,63.7018,5.9832,-15.1974,2137.3,4452,5.7053,-30.3949,-0.6827,28.0,False
2020-21,1627734,Domantas Sabonis,1610612754,62,261,436,33,7.0323,59.8624,63.7018,-3.8394,16.7398,2232.0,4746,9.1867,33.4796,0.7054,6.0,False
2020-21,202683,Enes Freedom,1610612757,72,260,398,48,5.5278,65.3266,63.7018,1.6248,-6.4669,1756.8,3607,11.0341,-12.9337,-0.3586,11.0,False
2020-21,1627826,Ivica Zubac,1610612746,72,159,294,62,4.0833,54.0816,63.7018,-9.6202,28.2833,1605.6,3324,8.8448,56.5665,1.7018,23.0,False
2020-21,1627751,Jakob Poeltl,1610612759,69,266,529,123,7.6667,50.2836,63.7018,-13.4182,70.9825,1842.3,3831,13.8084,141.965,3.7057,2.0,False
2020-21,1628386,Jarrett Allen,1610612739,63,235,438,90,6.9524,53.653,63.7018,-10.0488,44.0139,1864.8,3847,11.3855,88.0277,2.2882,5.0,False
2020-21,203954,Joel Embiid,1610612755,51,216,395,69,7.7451,54.6835,63.7018,-9.0182,35.6221,1586.1,3331,11.8583,71.2442,2.1388,12.0,False
2020-21,1628381,John Collins,1610612737,63,204,326,63,5.1746,62.5767,63.7018,-1.1251,3.6678,1845.9,3858,8.45,7.3357,0.1901,18.0,False
2020-21,202685,Jonas Valanciunas,1610612763,62,203,350,57,5.6452,58.0,63.7018,-5.7018,19.9563,1754.6,3725,9.396,39.9125,1.0715,14.0,False
2020-21,203944,Julius Randle,1610612752,71,189,320,18,4.507,59.0625,63.7018,-4.6393,14.8457,2669.6,5398,5.9281,29.6915,0.55,20.0,False
2020-21,1626157,Karl-Anthony Towns,1610612750,50,195,313,57,6.26,62.3003,63.7018,-1.4015,4.3866,1690.0,3588,8.7235,8.7732,0.2445,21.0,False
2020-21,203482,Kelly Olynyk,1610612745,70,189,301,42,4.3,62.7907,63.7018,-0.9111,2.7424,1995.0,4205,7.1581,5.4848,0.1304,22.0,False
2020-21,203920,Khem Birch,1610612761,67,174,284,50,4.2388,61.2676,63.7018,-2.4342,6.9131,1527.6,3171,8.9562,13.8262,0.436,24.0,False
2020-21,203486,Mason Plumlee,1610612765,56,206,334,50,5.9643,61.6766,63.7018,-2.0251,6.764,1500.8,3076,10.8583,13.528,0.4398,17.0,False
2020-21,1628969,Mikal Bridges,1610612756,72,171,260,63,3.6111,65.7692,63.7018,2.0674,-5.3753,2347.2,4800,5.4167,-10.7507,-0.224,27.0,False
2020-21,1626149,Montrezl Harrell,1610612747,69,153,251,49,3.6377,60.9562,63.7018,-2.7456,6.8915,1580.1,3283,7.6454,13.783,0.4198,30.0,False
2020-21,203457,Nerlens Noel,1610612752,64,223,431,141,6.7344,51.7401,63.7018,-11.9617,51.5547,1548.8,3106,13.8764,103.1094,3.3197,8.0,False
2020-21,203999,Nikola Jokić,1610612743,72,326,492,48,6.8333,66.2602,63.7018,2.5584,-12.5872,2491.2,5084,9.6774,-25.1744,-0.4952,3.0,False
2020-21,202696,Nikola Vučević,1610612741,70,272,428,48,6.1143,63.5514,63.7018,-0.1504,0.6437,2345.0,4849,8.8266,1.2873,0.0265,9.0,False
2020-21,1629023,P.J. Washington,1610612766,64,230,353,79,5.5156,65.1558,63.7018,1.454,-5.1327,1952.0,4081,8.6498,-10.2653,-0.2515,13.0,False
2020-21,1626158,Richaun Holmes,1610612758,61,215,418,96,6.8525,51.4354,63.7018,-12.2664,51.2735,1781.2,3728,11.2124,102.547,2.7507,10.0,False
2020-21,203496,Robert Covington,1610612757,70,231,341,84,4.8714,67.7419,63.7018,4.0401,-13.7769,2240.0,4649,7.3349,-27.5538,-0.5927,16.0,False
2020-21,203497,Rudy Gobert,1610612762,71,275,549,190,7.7324,50.0911,63.7018,-13.6107,74.7228,2186.8,4613,11.9011,149.4457,3.2397,1.0,False
2020-21,203500,Steven Adams,1610612740,58,161,254,38,4.3793,63.3858,63.7018,-0.316,0.8026,1606.6,3320,7.6506,1.6051,0.0483,28.0,False
2021-22,201143,Al Horford,1610612738,68,162,289,92,4.25,56.0554,64.9405,-8.8851,25.678,2007.9,4096,7.0557,51.3561,1.2538,30.0,False
2021-22,1626171,Bobby Portis Jr.,1610612749,72,166,292,51,4.0556,56.8493,64.9405,-8.0912,23.6263,2030.4,4311,6.7734,47.2525,1.0961,28.0,False
2021-22,1627741,Buddy Hield,1610612754,80,224,312,25,3.9,71.7949,64.9405,6.8544,-21.3856,2494.8,5242,5.9519,-42.7713,-0.8159,23.0,False
