game_id,assister_id,scorer_id,scorer_name,shot_value,season_end_year,season
0021900105,203107,203897,LaVine,2,2020,2019-20
0021900105,203107,1628374,Markkanen,3,2020,2019-20
0021900105,203107,1628374,Markkanen,3,2020,2019-20
0021900105,203897,1629632,White,3,2020,2019-20
0021900105,1628990,1628436,Kornet,2,2020,2019-20
0021900105,203107,1627853,Arcidiacono,2,2020,2019-20
0021900105,1629632,1627739,Dunn,2,2020,2019-20
0021900105,203107,1628990,Hutchison,2,2020,2019-20
0021900105,203107,1627739,Dunn,2,2020,2019-20
0021900105,1628374,203107,Satoransky,3,2020,2019-20
0021900105,203107,1628990,Hutchison,2,2020,2019-20
0021900105,203897,203107,Satoransky,3,2020,2019-20
0021900105,1629632,1628374,Markkanen,2,2020,2019-20
0021900129,203897,1628990,Hutchison,2,2020,2019-20
0021900129,203107,203897,LaVine,2,2020,2019-20
0021900129,201152,1628374,Markkanen,2,2020,2019-20
0021900129,201152,1628976,Carter Jr.,2,2020,2019-20
0021900129,1627739,201152,Young,3,2020,2019-20
0021900129,1627739,1628976,Carter Jr.,2,2020,2019-20
0021900129,1627739,1627853,Arcidiacono,2,2020,2019-20
0021900129,1629632,201152,Young,2,2020,2019-20
0021900129,1627853,1628990,Hutchison,2,2020,2019-20
0021900129,203897,1628976,Carter Jr.,2,2020,2019-20
0021900129,203897,1629632,White,2,2020,2019-20
0021900129,203107,1628976,Carter Jr.,2,2020,2019-20
0021900129,1628976,1627739,Dunn,2,2020,2019-20
0021900129,1627739,201152,Young,2,2020,2019-20
0021900129,1628976,1627739,Dunn,3,2020,2019-20
0021900129,203897,1628990,Hutchison,3,2020,2019-20
0021900129,203897,1628990,Hutchison,2,2020,2019-20
0021900129,1628374,1628976,Carter Jr.,2,2020,2019-20
0021900129,203107,1628436,Kornet,2,2020,2019-20
0021900129,203107,1628374,Markkanen,2,2020,2019-20
0021900129,201152,1629632,White,2,2020,2019-20
0021900149,203897,1628976,Carter Jr.,2,2020,2019-20
0021900149,203897,1628976,Carter Jr.,2,2020,2019-20
0021900149,1627853,201152,Young,2,2020,2019-20
0021900149,1629632,1628374,Markkanen,2,2020,2019-20
0021900149,1627853,1628374,Markkanen,3,2020,2019-20
0021900149,203897,1628990,Hutchison,3,2020,2019-20
0021900149,1628990,203897,LaVine,3,2020,2019-20
0021900149,1628374,203107,Satoransky,3,2020,2019-20
0021900149,203897,1628374,Markkanen,2,2020,2019-20
0021900149,203107,1628990,Hutchison,2,2020,2019-20
0021900149,1628374,203897,LaVine,2,2020,2019-20
0021900149,203107,201152,Young,2,2020,2019-20
0021900149,201152,1628976,Carter Jr.,2,2020,2019-20
0021900149,1627853,1628976,Carter Jr.,2,2020,2019-20
0021900149,1627853,1627739,Dunn,2,2020,2019-20
0021900149,1627739,1629632,White,3,2020,2019-20
0021900149,1627853,1629632,White,3,2020,2019-20
0021900149,1627853,1629632,White,3,2020,2019-20
0021900149,1627739,1629632,White,3,2020,2019-20
0021900149,1627853,1627739,Dunn,2,2020,2019-20
0021900149,1627853,1629632,White,3,2020,2019-20
0021900149,203897,1629632,White,3,2020,2019-20
0021900163,1628990,203107,Satoransky,3,2020,2019-20
0021900163,203897,1628976,Carter Jr.,2,2020,2019-20
0021900163,203107,1628374,Markkanen,3,2020,2019-20
0021900163,201152,203897,LaVine,2,2020,2019-20
0021900163,203897,1629632,White,3,2020,2019-20
0021900163,1629632,1628374,Markkanen,3,2020,2019-20
0021900163,1628976,1629632,White,3,2020,2019-20
0021900163,1627853,1628976,Carter Jr.,2,2020,2019-20
0021900163,1627739,1629632,White,2,2020,2019-20
0021900163,1629632,1627739,Dunn,2,2020,2019-20
0021900163,203897,1628976,Carter Jr.,2,2020,2019-20
0021900163,203897,1629632,White,2,2020,2019-20
0021900163,1628990,203897,LaVine,3,2020,2019-20
0021900163,203107,1629632,White,3,2020,2019-20
0021900163,203107,201152,Young,3,2020,2019-20
0021900163,1628990,203897,LaVine,3,2020,2019-20
0021900163,203107,1628976,Carter Jr.,2,2020,2019-20
0021900163,203897,1628990,Hutchison,2,2020,2019-20
0021900163,203897,203107,Satoransky,3,2020,2019-20
0021900163,1627739,201152,Young,3,2020,2019-20
0021900163,1629632,1628976,Carter Jr.,2,2020,2019-20
0021900163,1627853,1629632,White,3,2020,2019-20
0021900163,1627853,1627739,Dunn,3,2020,2019-20
0021900163,203897,1627853,Arcidiacono,3,2020,2019-20
0021900163,203107,203897,LaVine,3,2020,2019-20
0021900175,1628976,203897,LaVine,2,2020,2019-20
0021900175,1629632,203897,LaVine,2,2020,2019-20
0021900175,1627739,1629632,White,2,2020,2019-20
0021900175,1627853,1629632,White,3,2020,2019-20
0021900175,1627853,1628374,Markkanen,3,2020,2019-20
