SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22005,1610612741,CHI,Chicago Bulls,0020500722,2006-02-08,CHI @ DEN,W,240,110,39,90,0.433,10,21,0.476,22,33,0.667,16,33,49,27,8,2,18,29,3.0
22005,1610612741,CHI,Chicago Bulls,0020500724,2006-02-09,CHI @ SAC,L,240,80,30,90,0.333,2,15,0.133,18,23,0.783,17,34,51,17,10,3,18,21,-18.0
22005,1610612741,CHI,Chicago Bulls,0020500751,2006-02-12,CHI @ LAC,W,240,97,40,90,0.444,3,13,0.231,14,17,0.824,6,39,45,22,5,5,10,20,6.0
22005,1610612741,CHI,Chicago Bulls,0020500762,2006-02-14,CHI vs. SAC,L,265,101,42,102,0.412,4,19,0.211,13,22,0.591,10,35,45,21,7,2,11,31,-4.0
22005,1610612741,CHI,Chicago Bulls,0020500777,2006-02-16,CHI vs. PHI,W,239,117,46,88,0.523,7,15,0.467,18,21,0.857,14,39,53,28,9,8,15,26,33.0
22005,1610612741,CHI,Chicago Bulls,0020500796,2006-02-22,CHI vs. MIL,W,240,97,38,84,0.452,7,20,0.35,14,18,0.778,11,40,51,26,4,8,15,19,6.0
22005,1610612741,CHI,Chicago Bulls,0020500809,2006-02-24,CHI vs. DET,L,240,87,33,79,0.418,3,12,0.25,18,25,0.72,14,34,48,13,2,5,17,30,-8.0
22005,1610612741,CHI,Chicago Bulls,0020500815,2006-02-25,CHI @ PHI,L,240,102,38,80,0.475,8,20,0.4,18,20,0.9,14,34,48,20,3,3,22,40,-6.0
22005,1610612741,CHI,Chicago Bulls,0020500839,2006-02-28,CHI vs. MIN,W,240,111,41,85,0.482,5,20,0.25,24,31,0.774,11,31,42,23,5,5,9,24,11.0
22005,1610612741,CHI,Chicago Bulls,0020500855,2006-03-02,CHI vs. CLE,L,240,91,33,85,0.388,5,15,0.333,20,24,0.833,12,38,50,12,4,3,11,24,-1.0
22005,1610612741,CHI,Chicago Bulls,0020500860,2006-03-03,CHI @ NYK,W,240,108,34,90,0.378,8,19,0.421,32,36,0.889,16,32,48,14,8,4,10,23,7.0
22005,1610612741,CHI,Chicago Bulls,0020500879,2006-03-05,CHI @ CLE,L,240,72,31,69,0.449,3,11,0.273,7,19,0.368,7,28,35,22,2,4,18,16,-19.0
22005,1610612741,CHI,Chicago Bulls,0020500894,2006-03-07,CHI vs. NJN,W,240,95,35,83,0.422,10,21,0.476,15,23,0.652,11,34,45,24,8,3,7,23,8.0
22005,1610612741,CHI,Chicago Bulls,0020500901,2006-03-08,CHI @ DET,L,240,101,38,71,0.535,9,16,0.563,16,21,0.762,7,35,42,19,6,4,17,24,-5.0
22005,1610612741,CHI,Chicago Bulls,0020500915,2006-03-10,CHI vs. LAC,L,240,96,38,91,0.418,7,17,0.412,13,16,0.813,14,33,47,17,2,4,11,24,-11.0
22005,1610612741,CHI,Chicago Bulls,0020500920,2006-03-11,CHI @ ATL,W,241,95,34,71,0.479,4,14,0.286,23,35,0.657,12,32,44,16,4,4,15,26,5.0
22005,1610612741,CHI,Chicago Bulls,0020500945,2006-03-14,CHI vs. POR,W,240,95,39,81,0.481,8,21,0.381,9,10,0.9,11,34,45,27,7,3,14,17,29.0
22005,1610612741,CHI,Chicago Bulls,0020500956,2006-03-15,CHI @ MIL,L,240,88,30,82,0.366,10,26,0.385,18,22,0.818,8,28,36,25,4,1,14,27,-16.0
22005,1610612741,CHI,Chicago Bulls,0020500974,2006-03-18,CHI vs. MIA,L,240,84,35,82,0.427,5,16,0.313,9,17,0.529,9,31,40,23,10,5,19,27,-1.0
22005,1610612741,CHI,Chicago Bulls,0020500980,2006-03-19,CHI @ WAS,L,240,104,38,77,0.494,10,18,0.556,18,28,0.643,10,27,37,15,3,2,19,31,-9.0
22005,1610612741,CHI,Chicago Bulls,0020501005,2006-03-22,CHI @ IND,L,240,85,33,82,0.402,2,15,0.133,17,25,0.68,10,30,40,16,5,5,12,30,-10.0
22005,1610612741,CHI,Chicago Bulls,0020501023,2006-03-24,CHI vs. NOK,W,240,96,34,78,0.436,8,21,0.381,20,25,0.8,11,37,48,24,5,9,16,26,14.0
22005,1610612741,CHI,Chicago Bulls,0020501031,2006-03-26,CHI @ BOS,W,240,101,38,85,0.447,2,9,0.222,23,27,0.852,7,30,37,19,8,4,8,16,4.0
22005,1610612741,CHI,Chicago Bulls,0020501051,2006-03-28,CHI vs. ORL,L,240,93,36,85,0.424,6,19,0.316,15,28,0.536,13,29,42,21,13,3,11,21,-4.0
22005,1610612741,CHI,Chicago Bulls,0020501071,2006-03-31,CHI @ CHA,W,241,113,42,89,0.472,6,18,0.333,23,32,0.719,14,32,46,30,6,6,12,30,6.0
22005,1610612741,CHI,Chicago Bulls,0020501080,2006-04-01,CHI vs. BOS,W,240,100,29,76,0.382,6,15,0.4,36,46,0.783,14,31,45,17,7,6,17,22,6.0
22005,1610612741,CHI,Chicago Bulls,0020501103,2006-04-04,CHI vs. IND,W,240,102,42,80,0.525,5,14,0.357,13,17,0.765,7,29,36,24,8,8,9,19,6.0
22005,1610612741,CHI,Chicago Bulls,0020501109,2006-04-05,CHI @ PHI,W,240,99,38,83,0.458,4,16,0.25,19,23,0.826,13,34,47,18,6,1,14,23,7.0
22005,1610612741,CHI,Chicago Bulls,0020501135,2006-04-08,CHI vs. PHI,L,240,75,28,86,0.326,7,28,0.25,12,17,0.706,9,28,37,16,10,0,9,24,-14.0
22005,1610612741,CHI,Chicago Bulls,0020501158,2006-04-11,CHI vs. NJN,W,240,104,32,77,0.416,7,16,0.438,33,44,0.75,8,43,51,18,4,6,11,31,3.0
22005,1610612741,CHI,Chicago Bulls,0020501162,2006-04-12,CHI @ ATL,W,241,96,38,91,0.418,7,16,0.438,13,17,0.765,17,29,46,14,5,6,15,22,6.0
22005,1610612741,CHI,Chicago Bulls,0020501184,2006-04-14,CHI vs. WAS,W,240,103,40,85,0.471,13,21,0.619,10,12,0.833,8,34,42,29,4,8,17,25,2.0
22005,1610612741,CHI,Chicago Bulls,0020501194,2006-04-16,CHI @ MIA,W,240,117,43,85,0.506,8,18,0.444,23,32,0.719,14,31,45,24,4,5,12,24,24.0
22005,1610612741,CHI,Chicago Bulls,0020501204,2006-04-17,CHI @ ORL,W,264,116,38,80,0.475,5,16,0.313,35,45,0.778,10,31,41,27,14,4,14,31,4.0
22005,1610612741,CHI,Chicago Bulls,0020501225,2006-04-19,CHI vs. TOR,W,240,127,49,90,0.544,7,20,0.35,22,29,0.759,14,43,57,31,3,2,15,28,21.0
