PLAYER_ID,PLAYER_NAME,GP,MIN,STL,BLK
2586,Keith Bogans,79,1559.2266666666667,45,12
101235,Kelenna Azubuike,9,231.055,5,9
2570,Kendrick Perkins,78,2153.52,26,132
1903,Kenny Thomas,26,313.18333333333334,10,10
2030,Kenyon Martin,58,1986.2283333333332,72,61
201142,Kevin Durant,82,3239.325,112,84
708,Kevin Garnett,69,2060.1716666666666,68,57
201567,Kevin Love,60,1713.9383333333333,43,23
2755,Kevin Martin,46,1632.965,46,6
1563,Kevin Ollie,25,263.2133333333333,9,0
2039,Keyon Dooling,53,970.52,34,0
2550,Kirk Hinrich,74,2481.4816666666666,85,24
977,Kobe Bryant,73,2835.383333333333,113,20
201585,Kosta Koufos,36,172.42333333333335,2,4
2743,Kris Humphries,69,1221.3683333333333,36,48
703,Kurt Thomas,70,1049.265,26,46
2198,Kwame Brown,48,659.6266666666667,15,12
2594,Kyle Korver,52,951.77,26,12
200768,Kyle Lowry,68,1651.2283333333332,60,9
201602,Kyle Weaver,12,144.435,6,6
201178,Kyrylo Fesenko,49,407.725,6,19
200746,LaMarcus Aldridge,78,2921.6383333333333,67,48
1885,Lamar Odom,82,2584.5816666666665,75,59
1716,Larry Hughes,45,1114.5233333333333,52,15
2544,LeBron James,76,2965.73,125,77
2571,Leandro Barbosa,44,785.6033333333334,23,12
200796,Leon Powe,20,235.70333333333335,6,2
201991,Lester Hudson,25,131.42666666666668,8,3
283,Lindsey Hunter,13,121.815,1,0
200811,Lou Amundson,79,1168.0916666666667,24,73
101150,Lou Williams,64,1911.9766666666667,80,15
201601,Luc Mbah a Moute,73,1866.3283333333334,60,39
2449,Luis Scola,82,2671.2933333333335,63,26
2557,Luke Ridnour,82,1758.575,54,7
2575,Luke Walton,29,271.7733333333333,10,1
2736,Luol Deng,70,2650.6866666666665,66,61
101129,Luther Head,47,813.115,18,9
2124,Malik Allen,51,456.43,11,5
201612,Malik Hairston,47,317.13,4,9
1938,Manu Ginobili,75,2149.826666666667,103,24
201188,Marc Gasol,69,2468.92,69,109
101162,Marcin Gortat,81,1087.95,17,70
201158,Marco Belinelli,66,1120.9516666666666,42,5
2556,Marcus Banks,22,243.83833333333334,12,2
948,Marcus Camby,74,2314.2933333333335,95,146
2409,Marcus Haislip,10,43.766666666666666,0,2
202068,Marcus Landry,18,110.65,1,2
201977,Marcus Thornton,73,1871.5966666666666,58,11
200766,Marcus Williams,62,872.3616666666667,32,1
200776,Mardy Collins,43,470.3433333333333,23,1
201596,Mario Chalmers,73,1806.86,91,12
201238,Mario West,39,142.22,8,0
2605,Marquis Daniels,51,936.89,27,6
201578,Marreese Speights,62,1015.8416666666667,29,34
101110,Martell Webster,82,2005.1616666666666,45,40
101107,Marvin Williams,81,2468.471666666667,66,46
2440,Matt Barnes,81,2097.2733333333335,59,30
2588,Matt Bonner,65,1160.8116666666667,30,24
2679,Matt Carroll,25,120.84166666666667,5,0
