PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2732,2009-10,00,1610612765,DET,27.0,62,17,1730,291,699,0.416,75,234,0.321,198,230,0.861,26,93,119,166,49,6,118,147,855
2732,2010-11,00,1610612765,DET,28.0,82,27,2131,339,770,0.44,107,266,0.402,136,160,0.85,41,154,195,171,48,16,141,178,921
2732,2011-12,00,1610612765,DET,29.0,52,21,1398,234,530,0.442,63,147,0.429,117,136,0.86,14,107,121,127,34,11,115,114,648
2732,2012-13,00,1610612766,CHA,30.0,75,0,1560,310,760,0.408,113,292,0.387,107,127,0.843,18,112,130,141,35,16,136,134,840
2732,2013-14,00,1610612766,CHA,31.0,19,0,279,37,108,0.343,8,29,0.276,17,21,0.81,3,24,27,21,10,2,21,18,99
2732,2014-15,00,1610612753,ORL,32.0,56,0,790,129,295,0.437,35,97,0.361,56,67,0.836,6,57,63,50,14,1,55,60,349
283,1993-94,00,1610612765,DET,23.0,82,26,2172,335,893,0.375,69,207,0.333,104,142,0.732,47,142,189,390,121,10,184,174,843
283,1994-95,00,1610612765,DET,24.0,42,26,944,119,318,0.374,36,108,0.333,40,55,0.727,24,51,75,159,51,7,79,94,314
283,1995-96,00,1610612765,DET,25.0,80,48,2138,239,628,0.381,117,289,0.405,84,120,0.7,44,150,194,188,84,18,80,185,679
283,1996-97,00,1610612765,DET,26.0,82,76,3024,421,1042,0.404,166,468,0.355,158,203,0.778,59,174,233,154,129,24,96,206,1166
283,1997-98,00,1610612765,DET,27.0,71,67,2505,316,826,0.383,85,265,0.321,145,196,0.74,61,186,247,224,123,10,110,174,862
283,1998-99,00,1610612765,DET,28.0,49,49,1755,228,524,0.435,59,153,0.386,67,89,0.753,26,142,168,193,86,8,92,126,582
283,1999-00,00,1610612765,DET,29.0,82,82,2919,379,892,0.425,168,389,0.432,117,154,0.76,35,215,250,327,129,22,145,216,1043
283,2000-01,00,1610612749,MIL,30.0,82,5,2002,298,783,0.381,152,407,0.373,77,96,0.802,32,137,169,222,102,12,68,172,825
283,2001-02,00,1610612747,LAL,31.0,82,47,1615,187,490,0.382,79,208,0.38,20,40,0.5,18,103,121,129,66,19,55,120,473
283,2002-03,00,1610612761,TOR,32.0,29,0,673,106,302,0.351,34,107,0.318,34,47,0.723,15,44,59,71,35,5,57,50,280
283,2003-04,00,1610612765,DET,33.0,33,8,659,49,143,0.343,14,50,0.28,5,8,0.625,13,54,67,85,39,6,34,45,117
283,2004-05,00,1610612765,DET,34.0,76,3,1142,108,302,0.358,23,84,0.274,46,58,0.793,38,85,123,130,68,13,68,125,285
283,2005-06,00,1610612765,DET,35.0,30,1,353,37,100,0.37,11,43,0.256,2,4,0.5,10,30,40,62,19,1,20,44,87
283,2006-07,00,1610612765,DET,36.0,52,0,745,94,244,0.385,38,119,0.319,30,33,0.909,9,38,47,93,34,7,35,56,256
283,2007-08,00,1610612765,DET,37.0,24,0,215,22,64,0.344,7,26,0.269,7,9,0.778,4,9,13,33,13,2,13,30,58
283,2008-09,00,1610612741,CHI,38.0,28,0,266,27,82,0.329,16,48,0.333,3,5,0.6,2,10,12,37,20,1,19,28,73
283,2009-10,00,1610612741,CHI,39.0,13,0,122,5,30,0.167,1,13,0.077,2,2,1.0,1,13,14,9,1,0,4,12,13
2422,2002-03,00,1610612755,PHI,23.0,64,1,504,48,116,0.414,10,31,0.323,26,35,0.743,16,43,59,47,17,6,29,53,132
2422,2003-04,00,1610612755,PHI,24.0,77,24,1603,161,416,0.387,50,147,0.34,71,92,0.772,38,158,196,134,62,16,77,122,443
2422,2004-05,00,1610612755,PHI,25.0,58,8,992,85,210,0.405,31,91,0.341,35,48,0.729,12,109,121,114,40,13,51,92,236
2422,2005-06,00,1610612755,PHI,26.0,82,24,2059,219,521,0.42,26,87,0.299,155,200,0.775,48,172,220,223,73,13,125,178,619
2422,2006-07,00,1610612758,SAC,27.0,79,19,2135,236,517,0.456,40,112,0.357,159,204,0.779,47,217,264,254,73,27,119,177,671
2422,2007-08,00,1610612758,SAC,28.0,81,41,2517,381,799,0.477,39,120,0.325,214,260,0.823,76,273,349,208,93,31,170,171,1015
2422,2008-09,00,1610612758,SAC,29.0,53,53,1980,351,744,0.472,77,184,0.418,191,232,0.823,43,178,221,196,58,9,122,122,970
2422,2008-09,00,1610612741,CHI,29.0,26,21,979,165,349,0.473,49,118,0.415,97,115,0.843,16,96,112,53,25,15,43,60,476
2422,2008-09,00,0,TOT,29.0,79,74,2959,516,1093,0.472,126,302,0.417,288,347,0.83,59,274,333,249,83,24,165,182,1446
2422,2009-10,00,1610612741,CHI,30.0,51,28,1695,230,548,0.42,73,192,0.38,116,147,0.789,18,156,174,125,65,22,70,101,649
2422,2009-10,00,1610612749,MIL,30.0,30,28,1130,207,443,0.467,45,117,0.385,137,158,0.867,17,79,96,98,34,4,53,65,596
2422,2009-10,00,0,TOT,30.0,81,56,2825,437,991,0.441,118,309,0.382,253,305,0.83,35,235,270,223,99,26,123,166,1245
2422,2010-11,00,1610612749,MIL,31.0,73,70,2554,373,898,0.415,83,219,0.379,195,240,0.813,27,239,266,252,72,28,137,157,1024
2422,2011-12,00,1610612758,SAC,32.0,46,32,1250,141,345,0.409,33,112,0.295,29,45,0.644,20,114,134,93,37,7,45,77,344
2422,2012-13,00,1610612758,SAC,33.0,76,72,2278,244,612,0.399,99,267,0.371,85,110,0.773,33,174,207,226,51,25,85,143,672
2422,2013-14,00,1610612758,SAC,34.0,18,8,445,41,117,0.35,16,42,0.381,7,7,1.0,8,38,46,44,12,8,14,32,105
2422,2013-14,00,1610612761,TOR,34.0,60,0,1281,109,296,0.368,47,121,0.388,33,45,0.733,12,105,117,103,35,11,40,92,298
2422,2013-14,00,0,TOT,34.0,78,8,1726,150,413,0.363,63,163,0.387,40,52,0.769,20,143,163,147,47,19,54,124,403
2422,2014-15,00,1610612740,NOP,35.0,21,0,270,16,48,0.333,8,26,0.308,2,4,0.5,4,17,21,13,9,4,5,25,42
201634,2008-09,00,1610612744,GSW,23.0,13,5,171,24,54,0.444,0,3,0.0,5,14,0.357,6,18,24,13,9,2,15,24,53
200748,2006-07,00,1610612741,CHI,20.0,72,4,966,134,282,0.475,0,2,0.0,106,175,0.606,89,180,269,40,46,76,94,162,374
200748,2007-08,00,1610612741,CHI,21.0,74,27,1330,186,440,0.423,1,6,0.167,129,174,0.741,102,240,342,90,48,72,77,170,502
200748,2008-09,00,1610612741,CHI,22.0,79,61,2175,308,683,0.451,3,9,0.333,238,304,0.783,148,360,508,77,91,151,129,220,857
200748,2009-10,00,1610612741,CHI,23.0,29,3,678,99,205,0.483,0,1,0.0,58,90,0.644,42,141,183,33,40,48,52,64,256
200748,2009-10,00,1610612766,CHA,23.0,25,0,542,95,215,0.442,0,2,0.0,62,85,0.729,39,113,152,23,23,37,40,65,252
200748,2009-10,00,0,TOT,23.0,54,3,1220,194,420,0.462,0,3,0.0,120,175,0.686,81,254,335,56,63,85,92,129,508
200748,2010-11,00,1610612766,CHA,24.0,41,2,861,156,331,0.471,0,3,0.0,107,136,0.787,65,159,224,29,30,66,65,113,419
200748,2011-12,00,1610612766,CHA,25.0,54,30,1013,120,327,0.367,1,3,0.333,63,83,0.759,49,151,200,35,36,60,53,144,304
200748,2012-13,00,1610612766,CHA,26.0,26,2,360,48,136,0.353,3,8,0.375,26,31,0.839,16,44,60,19,14,15,17,51,125
200748,2014-15,00,1610612763,MEM,28.0,2,0,7,1,1,1.0,0,0,0.0,2,2,1.0,0,0,0,1,0,0,0,0,4
1744,1998-99,00,1610612758,SAC,23.0,16,0,42,9,24,0.375,0,0,0.0,6,12,0.5,6,11,17,1,2,6,9,11,24
1744,2001-02,00,1610612760,SEA,26.0,56,40,952,134,273,0.491,0,0,0.0,30,60,0.5,89,143,232,24,25,86,74,174,298
1744,2002-03,00,1610612760,SEA,27.0,51,16,766,111,232,0.478,0,0,0.0,54,92,0.587,78,138,216,27,12,82,75,166,276
1744,2003-04,00,1610612760,SEA,28.0,65,24,990,129,259,0.498,0,0,0.0,66,100,0.66,78,152,230,32,20,60,82,180,324
1744,2004-05,00,1610612760,SEA,29.0,80,80,1330,174,342,0.509,0,2,0.0,47,65,0.723,81,160,241,19,23,111,88,279,395
1744,2005-06,00,1610612752,NYK,30.0,45,9,406,56,121,0.463,0,0,0.0,25,40,0.625,39,52,91,12,3,23,51,104,137
1744,2006-07,00,1610612752,NYK,31.0,41,11,273,33,79,0.418,0,0,0.0,10,18,0.556,21,45,66,3,6,15,23,73,76
1744,2007-08,00,1610612752,NYK,32.0,2,0,5,1,1,1.0,0,0,0.0,2,2,1.0,0,3,3,0,0,0,0,0,4
1744,2008-09,00,1610612752,NYK,33.0,2,0,10,3,8,0.375,0,0,0.0,0,0,0.0,1,2,3,0,1,1,1,2,6
201189,2007-08,00,1610612741,CHI,23.0,61,1,613,103,204,0.505,0,1,0.0,56,99,0.566,70,98,168,41,21,16,57,117,262
201189,2008-09,00,1610612741,CHI,24.0,56,18,715,81,167,0.485,0,1,0.0,34,59,0.576,84,136,220,46,14,18,40,135,196
201189,2009-10,00,1610612741,CHI,25.0,8,0,50,8,21,0.381,0,0,0.0,2,7,0.286,5,11,16,2,0,0,1,10,18
201189,2009-10,00,1610612740,NOH,25.0,24,0,261,34,61,0.557,0,0,0.0,18,21,0.857,40,50,90,20,9,11,17,44,86
201189,2009-10,00,0,TOT,25.0,32,0,311,42,82,0.512,0,0,0.0,20,28,0.714,45,61,106,22,9,11,18,54,104
201189,2010-11,00,1610612740,NOH,26.0,41,6,531,56,99,0.566,0,0,0.0,17,34,0.5,59,112,171,16,11,12,32,96,129
201189,2011-12,00,1610612761,TOR,27.0,49,40,813,83,161,0.516,0,0,0.0,25,47,0.532,83,198,281,27,22,17,51,127,191
201189,2012-13,00,1610612761,TOR,28.0,42,16,513,48,90,0.533,0,0,0.0,23,44,0.523,48,85,133,33,7,5,36,85,119
201189,2013-14,00,1610612761,TOR,29.0,4,0,20,2,3,0.667,0,0,0.0,1,2,0.5,3,5,8,3,0,0,4,7,5
201189,2013-14,00,1610612758,SAC,29.0,33,6,335,25,58,0.431,0,1,0.0,10,18,0.556,39,64,103,19,10,8,27,57,60
201189,2013-14,00,0,TOT,29.0,37,6,354,27,61,0.443,0,1,0.0,11,20,0.55,42,69,111,22,10,8,31,64,65
2669,2003-04,00,1610612741,CHI,24.0,41,20,731,72,203,0.355,7,33,0.212,22,37,0.595,59,124,183,27,37,32,37,90,173
2669,2004-05,00,1610612759,SAS,25.0,2,0,15,0,2,0.0,0,1,0.0,0,0,0.0,0,3,3,0,1,0,1,1,0
2669,2005-06,00,1610612751,NJN,26.0,9,0,35,5,10,0.5,0,0,0.0,1,4,0.25,0,7,7,2,2,0,4,7,11
